WV (Vdc),Cap (µF),Case size φD×L(mm),tanδ,"Rated ripple current (mArms/ 105℃, 120Hz)",Part No.
200.0,3.3,6.3×11,0.2,28,EKMG201E□□3R3MF11D
200.0,4.7,8×11.5,0.2,39,EKMG201E□□4R7MHB5D
200.0,10,10×16,0.2,74,EKMG201E□□100MJ16S
200.0,22,10×20,0.2,120,EKMG201E□□220MJ20S
200.0,33,12.5×20,0.2,160,EKMG201E□□330MK20S
200.0,47,12.5×20,0.2,195,EKMG201E□□470MK20S
200.0,100,16×25,0.2,335,EKMG201E□□101ML25S
200.0,220,18×35.5,0.2,575,EKMG201E□□221MMP1S
250.0,2.2,6.3×11,0.2,23,EKMG251E□□2R2MF11D
250.0,3.3,8×11.5,0.2,32,EKMG251E□□3R3MHB5D
250.0,4.7,8×11.5,0.2,39,EKMG251E□□4R7MHB5D
250.0,10,10×16,0.2,74,EKMG251E□□100MJ16S
250.0,22,12.5×20,0.2,130,EKMG251E□□220MK20S
250.0,33,12.5×20,0.2,160,EKMG251E□□330MK20S
250.0,47,12.5×25,0.2,210,EKMG251E□□470MK25S
250.0,100,16×31.5,0.2,365,EKMG251E□□101MLN3S
250.0,220,18×40,0.2,585,EKMG251E□□221MM40S
350.0,1.0,6.3×11,0.24,15,EKMG351E□□1R0MF11D
350.0,2.2,8×11.5,0.24,26,EKMG351E□□2R2MHB5D
350.0,3.3,10×12.5,0.24,38,EKMG351E□□3R3MJC5S
350.0,4.7,10×16,0.24,50,EKMG351E□□4R7MJ16S
350.0,10,10×20,0.24,80,EKMG351E□□100MJ20S
350.0,22,12.5×20,0.24,130,EKMG351E□□220MK20S
350.0,33,16×25,0.24,195,EKMG351E□□330ML25S
350.0,47,16×25,0.24,230,EKMG351E□□470ML25S
350.0,100,18×31.5,0.24,375,EKMG351E□□101MMN3S
400.0,1.0,6.3×11,0.24,15,EKMG401E□□1R0MF11D
400.0,2.2,8×11.5,0.24,26,EKMG401E□□2R2MHB5D
400.0,3.3,10×12.5,0.24,38,EKMG401E□□3R3MJC5S
400.0,4.7,10×16,0.24,50,EKMG401E□□4R7MJ16S
400.0,10,10×20,0.24,80,EKMG401E□□100MJ20S
400.0,22,12.5×25,0.24,145,EKMG401E□□220MK25S
400.0,33,16×25,0.24,195,EKMG401E□□330ML25S
400.0,47,16×31.5,0.24,250,EKMG401E□□470MLN3S
400.0,100,16×40,0.24,350,EKMG401E□□101ML40S
450.0,2.2,10×12.5,0.24,23,EKMG451E□□2R2MJC5S
450.0,3.3,10×16,0.24,31,EKMG451E□□3R3MJ16S
450.0,4.7,10×20,0.24,40,EKMG451E□□4R7MJ20S
450.0,10,12.5×20,0.24,65,EKMG451E□□100MK20S
450.0,22,16×25,0.24,115,EKMG451E□□220ML25S
450.0,33,16×31.5,0.24,155,EKMG451E□□330MLN3S
450.0,47,16×35.5,0.24,185,EKMG451E□□470MLP1S
