WV(Vdc),Cap(μF),Case size φDxL(mm),ESR(Ωmax./100kHz) 20℃,ESR(Ωmax./100kHz) -40℃,Rated ripple current(mArms/125℃ 100kHz),Part No.
350,68,14.5×35,-,-,1590,EGXF351E□□680MU35S
350,75,18×25,-,-,1200,EGXF351E□□750MM25S
350,91,14.5×40,-,-,1820,EGXF351E□□910MU40S
400,12,10×20,-,-,460,EGXF401E□□120MJ20S
400,16,10×25,-,-,610,EGXF401E□□160MJ25S
400,20,10×30,-,-,720,EGXF401E□□200MJ30S
400,20,12.5×20,-,-,680,EGXF401E□□200MK20S
400,24,10×35,-,-,820,EGXF401E□□240MJ35S
400,24,14.5×20,-,-,870,EGXF401E□□240MU20S
400,27,12.5×25,-,-,980,EGXF401E□□270MK25S
400,30,10×40,-,-,940,EGXF401E□□300MJ40S
400,33,16×20,-,-,970,EGXF401E□□330ML20S
400,36,12.5×30,-,-,1210,EGXF401E□□360MK30S
400,36,14.5×25,-,-,1210,EGXF401E□□360MU25S
400,43,12.5×35,-,-,1330,EGXF401E□□430MK35S
400,43,18×20,-,-,1060,EGXF401E□□430MM20S
400,47,14.5×30,-,-,1410,EGXF401E□□470MU30S
400,47,16×25,-,-,1130,EGXF401E□□470ML25S
400,51,12.5×40,-,-,1450,EGXF401E□□510MK40S
400,56,14.5×35,-,-,1590,EGXF401E□□560MU35S
400,62,18×25,-,-,1200,EGXF401E□□620MM25S
400,68,14.5×40,-,-,1820,EGXF401E□□680MU40S
