WV (Vdc),Cap (µF),Case size φD×L(mm),tanδ,Rated ripple current (mArms/105℃ 120Hz),Part No.
250,330.0,18×40,0.2,1460,EKXJ251E□□331MM40S
250,330.0,18×45,0.2,1485,EKXJ251E□□331MM45S
250,390.0,18×50,0.2,1625,EKXJ251E□□391MM50S
350,12.0,10×16,0.24,135,EKXJ351E□□120MJ16S
350,22.0,10×20,0.24,200,EKXJ351E□□220MJ20S
350,27.0,10×25,0.24,240,EKXJ351E□□270MJ25S
350,27.0,10×30,0.24,255,EKXJ351E□□270MJ30S
350,33.0,12.5×20,0.24,330,EKXJ351E□□330MK20S
350,39.0,10×35,0.24,325,EKXJ351E□□390MJ35S
350,47.0,10×40,0.24,375,EKXJ351E□□470MJ40S
350,47.0,12.5×25,0.24,425,EKXJ351E□□470MK25S
350,47.0,14.5×20,0.24,420,EKXJ351E□□470MU20S
350,56.0,10×45,0.24,425,EKXJ351E□□560MJ45S
350,56.0,12.5×30,0.24,495,EKXJ351E□□560MK30S
350,56.0,16×20,0.24,475,EKXJ351E□□560ML20S
350,68.0,10×50,0.24,485,EKXJ351E□□680MJ50S
350,68.0,12.5×35,0.24,580,EKXJ351E□□680MK35S
350,68.0,14.5×25,0.24,545,EKXJ351E□□680MU25S
350,68.0,18×20,0.24,550,EKXJ351E□□680MM20S
350,82.0,12.5×40,0.24,655,EKXJ351E□□820MK40S
350,82.0,14.5×31.5,0.24,645,EKXJ351E□□820MUN3S
350,82.0,16×25,0.24,625,EKXJ351E□□820ML25S
350,100.0,12.5×45,0.24,750,EKXJ351E□□101MK45S
350,100.0,12.5×50,0.24,770,EKXJ351E□□101MK50S
350,100.0,14.5×35.5,0.24,740,EKXJ351E□□101MUP1S
350,100.0,16×31.5,0.24,740,EKXJ351E□□101MLN3S
350,100.0,18×25,0.24,710,EKXJ351E□□101MM25S
350,120.0,14.5×40,0.24,835,EKXJ351E□□121MU40S
350,120.0,14.5×45,0.24,860,EKXJ351E□□121MU45S
350,120.0,16×35.5,0.24,830,EKXJ351E□□121MLP1S
350,150.0,14.5×50,0.24,980,EKXJ351E□□151MU50S
350,150.0,16×40,0.24,960,EKXJ351E□□151ML40S
350,150.0,16×45,0.24,975,EKXJ351E□□151ML45S
350,150.0,18×31.5,0.24,940,EKXJ351E□□151MMN3S
350,180.0,16×50,0.24,1090,EKXJ351E□□181ML50S
350,180.0,18×35.5,0.24,1065,EKXJ351E□□181MMP1S
350,180.0,18×40,0.24,1080,EKXJ351E□□181MM40S
350,220.0,18×45,0.24,1210,EKXJ351E□□221MM45S
350,220.0,18×50,0.24,1220,EKXJ351E□□221MM50S
400,10.0,10×16,0.24,125,EKXJ401E□□100MJ16S
400,18.0,10×20,0.24,180,EKXJ401E□□180MJ20S
400,22.0,10×25,0.24,215,EKXJ401E□□220MJ25S
400,27.0,10×30,0.24,255,EKXJ401E□□270MJ30S
400,27.0,12.5×20,0.24,300,EKXJ401E□□270MK20S
400,33.0,10×35,0.24,300,EKXJ401E□□330MJ35S
400,39.0,10×40,0.24,340,EKXJ401E□□390MJ40S
400,39.0,10×45,0.24,355,EKXJ401E□□390MJ45S
400,39.0,12.5×25,0.24,390,EKXJ401E□□390MK25S
400,39.0,14.5×20,0.24,385,EKXJ401E□□390MU20S
400,47.0,12.5×30,0.24,455,EKXJ401E□□470MK30S
400,47.0,16×20,0.24,435,EKXJ401E□□470ML20S
400,56.0,10×50,0.24,440,EKXJ401E□□560MJ50S
400,56.0,12.5×35,0.24,525,EKXJ401E□□560MK35S
400,56.0,14.5×25,0.24,495,EKXJ401E□□560MU25S
400,56.0,18×20,0.24,500,EKXJ401E□□560MM20S
400,68.0,12.5×40,0.24,600,EKXJ401E□□680MK40S
400,68.0,14.5×31.5,0.24,585,EKXJ401E□□680MUN3S
400,68.0,16×25,0.24,570,EKXJ401E□□680ML25S
400,82.0,12.5×45,0.24,680,EKXJ401E□□820MK45S
400,82.0,12.5×50,0.24,700,EKXJ401E□□820MK50S
400,82.0,14.5×35.5,0.24,670,EKXJ401E□□820MUP1S
400,82.0,16×31.5,0.24,670,EKXJ401E□□820MLN3S
400,82.0,18×25,0.24,640,EKXJ401E□□820MM25S
400,100.0,14.5×40,0.24,760,EKXJ401E□□101MU40S
400,100.0,14.5×45,0.24,785,EKXJ401E□□101MU45S
400,100.0,16×35.5,0.24,760,EKXJ401E□□101MLP1S
400,120.0,14.5×50,0.24,875,EKXJ401E□□121MU50S
400,120.0,16×40,0.24,860,EKXJ401E□□121ML40S
400,120.0,16×45,0.24,875,EKXJ401E□□121ML45S
400,120.0,18×31.5,0.24,840,EKXJ401E□□121MMN3S
400,120.0,18×35.5,0.24,870,EKXJ401E□□121MMP1S
400,150.0,16×50,0.24,995,EKXJ401E□□151ML50S
400,150.0,18×40,0.24,985,EKXJ401E□□151MM40S
400,180.0,18×45,0.24,1095,EKXJ401E□□181MM45S
400,220.0,18×50,0.24,1220,EKXJ401E□□221MM50S
420,6.8,10×16,0.24,105,EKXJ421E□□6R8MJ16S
420,12.0,10×20,0.24,150,EKXJ421E□□120MJ20S
420,15.0,10×25,0.24,185,EKXJ421E□□150MJ25S
420,18.0,10×30,0.24,215,EKXJ421E□□180MJ30S
420,22.0,12.5×20,0.24,285,EKXJ421E□□220MK20S
420,27.0,10×35,0.24,275,EKXJ421E□□270MJ35S
420,27.0,10×40,0.24,290,EKXJ421E□□270MJ40S
420,27.0,12.5×25,0.24,340,EKXJ421E□□270MK25S
420,27.0,14.5×20,0.24,335,EKXJ421E□□270MU20S
420,33.0,10×45,0.24,335,EKXJ421E□□330MJ45S
420,33.0,12.5×30,0.24,400,EKXJ421E□□330MK30S
420,33.0,16×20,0.24,385,EKXJ421E□□330ML20S
420,39.0,10×50,0.24,375,EKXJ421E□□390MJ50S
420,39.0,14.5×25,0.24,435,EKXJ421E□□390MU25S
420,47.0,12.5×35,0.24,505,EKXJ421E□□470MK35S
420,47.0,16×25,0.24,500,EKXJ421E□□470ML25S
420,47.0,18×20,0.24,480,EKXJ421E□□470MM20S
420,56.0,12.5×40,0.24,570,EKXJ421E□□560MK40S
420,56.0,12.5×45,0.24,590,EKXJ421E□□560MK45S
420,56.0,14.5×31.5,0.24,560,EKXJ421E□□560MUN3S
420,68.0,12.5×50,0.24,670,EKXJ421E□□680MK50S
420,68.0,14.5×35.5,0.24,640,EKXJ421E□□680MUP1S
420,68.0,14.5×40,0.24,660,EKXJ421E□□680MU40S
420,68.0,16×31.5,0.24,645,EKXJ421E□□680MLN3S
420,68.0,18×25,0.24,615,EKXJ421E□□680MM25S
420,82.0,14.5×45,0.24,750,EKXJ421E□□820MU45S
420,82.0,16×35.5,0.24,725,EKXJ421E□□820MLP1S
420,82.0,18×31.5,0.24,730,EKXJ421E□□820MMN3S
420,100.0,14.5×50,0.24,845,EKXJ421E□□101MU50S
420,100.0,16×40,0.24,825,EKXJ421E□□101ML40S
420,100.0,16×45,0.24,840,EKXJ421E□□101ML45S
420,100.0,18×35.5,0.24,835,EKXJ421E□□101MMP1S
420,120.0,16×50,0.24,935,EKXJ421E□□121ML50S
420,120.0,18×40,0.24,930,EKXJ421E□□121MM40S
420,120.0,18×45,0.24,945,EKXJ421E□□121MM45S
