WV,Cap,Case size,Impedance (20C),Impedance (-10C),Rated ripple current,Part No.
63.0,390.0,16×20,0.085,0.22,1100,ELXV630E□□391ML20S
63.0,470.0,12.5×35,0.063,0.16,1390,ELXV630E□□471MK35S
63.0,470.0,16×25,0.055,0.14,1480,ELXV630E□□471ML25S
63.0,560.0,12.5×40,0.051,0.13,1530,ELXV630E□□561MK40S
63.0,560.0,18×20,0.085,0.22,1170,ELXV630E□□561MM20S
63.0,680.0,16×30,0.046,0.12,1720,ELXV630E□□681ML30S
63.0,680.0,18×25,0.055,0.14,1520,ELXV630E□□681MM25S
63.0,820.0,16×35,0.04,0.1,1910,ELXV630E□□821ML35S
63.0,820.0,18×30,0.046,0.12,1770,ELXV630E□□821MM30S
63.0,1000.0,16×40,0.036,0.09,2070,ELXV630E□□102ML40S
63.0,1000.0,18×35,0.04,0.1,1970,ELXV630E□□102MM35S
63.0,1200.0,18×40,0.036,0.09,2130,ELXV630E□□122MM40S
80.0,8.2,5×11.5,1.9,5.1,100,ELXV800E□□8R2MEB5D
80.0,18.0,6.3×11.5,1.1,3.0,150,ELXV800E□□180MFB5D
80,27,6.3×15,0.62,1.7,220,ELXV800E□□270MF15D
80,33,8×12,0.53,1.5,275,ELXV800E□□330MH12D
80,39,10×12.5,0.47,1.3,380,ELXV800E□□390MJC5S
80,47,8×15,0.35,0.97,360,ELXV800E□□470MH15D
80,56,8×20,0.27,0.74,490,ELXV800E□□560MH20D
80,56,10×16,0.33,0.90,500,ELXV800E□□560MJ16S
80,82,10×20,0.26,0.70,620,ELXV800E□□820MJ20S
80,100,10×25,0.19,0.52,795,ELXV800E□□101MJ25S
80,150,10×30,0.15,0.41,955,ELXV800E□□151MJ30S
80,150,12.5×20,0.15,0.41,890,ELXV800E□□151MK20S
80,180,12.5×25,0.11,0.30,1040,ELXV800E□□181MK25S
80,270,12.5×30,0.094,0.26,1270,ELXV800E□□271MK30S
80,270,16×20,0.11,0.30,1240,ELXV800E□□271ML20S
80,330,12.5×35,0.087,0.24,1450,ELXV800E□□331MK35S
80,330,16×25,0.081,0.22,1440,ELXV800E□□331ML25S
80,390,12.5×40,0.060,0.17,1610,ELXV800E□□391MK40S
80,390,18×20,0.085,0.23,1450,ELXV800E□□391MM20S
80,470,16×30,0.058,0.16,1790,ELXV800E□□471ML30S
80,470,18×25,0.070,0.19,1650,ELXV800E□□471MM25S
80,560,16×35,0.052,0.14,2000,ELXV800E□□561ML35S
80,680,16×40,0.041,0.11,2200,ELXV800E□□681ML40S
80,680,18×30,0.058,0.16,1850,ELXV800E□□681MM30S
80,820,18×35,0.052,0.14,1990,ELXV800E□□821MM35S
80,1000,18×40,0.041,0.11,2370,ELXV800E□□102MM40S
100,5.6,5×11.5,1.9,5.1,100,ELXV101E□□5R6MEB5D
100,12,6.3×11.5,1.1,3.0,150,ELXV101E□□120MFB5D
100,18,6.3×15,0.62,1.7,220,ELXV101E□□180MF15D
100,22,8×12,0.53,1.5,275,ELXV101E□□220MH12D
100,27,10×12.5,0.47,1.3,380,ELXV101E□□270MJC5S
100,33,8×15,0.35,0.97,360,ELXV101E□□330MH15D
100,33,10×16,0.33,0.90,500,ELXV101E□□330MJ16S
100,39,8×20,0.27,0.74,490,ELXV101E□□390MH20D
100,56,10×20,0.26,0.70,620,ELXV101E□□560MJ20S
100,68,10×25,0.19,0.52,795,ELXV101E□□680MJ25S
100,100,10×30,0.15,0.41,955,ELXV101E□□101MJ30S
100,100,12.5×20,0.15,0.41,890,ELXV101E□□101MK20S
100,120,12.5×25,0.11,0.30,1040,ELXV101E□□121MK25S
100,180,12.5×30,0.094,0.26,1270,ELXV101E□□181MK30S
100,180,16×20,0.11,0.30,1240,ELXV101E□□181ML20S
100,220,12.5×35,0.087,0.24,1450,ELXV101E□□221MK35S
100,220,16×25,0.081,0.22,1440,ELXV101E□□221ML25S
100,270,12.5×40,0.060,0.17,1610,ELXV101E□□271MK40S
100,270,18×20,0.085,0.23,1450,ELXV101E□□271MM20S
100,330,16×30,0.058,0.16,1790,ELXV101E□□331ML30S
100,330,18×25,0.070,0.19,1650,ELXV101E□□331MM25S
100,390,16×35,0.052,0.14,2000,ELXV101E□□391ML35S
100,390,18×30,0.058,0.16,1850,ELXV101E□□391MM30S
100,470,16×40,0.041,0.11,2200,ELXV101E□□471ML40S
100,560,18×35,0.052,0.14,1990,ELXV101E□□561MM35S
100,680,18×40,0.041,0.11,2370,ELXV101E□□681MM40S
