Part Number,Status,Rated Voltage Range (V.D.C),Rated Capacitance Range (μF),Product diameter : D(mm),Product height : L(mm),Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Endurance (h),Weight (g),Tangent of loss angle (tanδ),Leakage Current  (µA),Ripple Rating (105℃/120Hz),Rated Ripple2(mArms),ESR(Ω)（20℃/100kHz）,ESR(Ω) (-40℃/100kHz）,ESR(Ω) after endurance test,"ESL(Typ.)（nH,40MHz）",Impedance (Ω)(-10℃/100kHz),Impedance (Ω)(20℃/100kHz),Minimum Quantity,Product category,Product summary,Polarity type,Vibration resistant
UCY2E151MHD,MP,250.0,150.00,18.0,25.0,-40,105,12000,10.60,0.20,1600,970,,,,,,,,300,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCY2E181MHD,MP,250.0,180.00,16.0,30.5,-40,105,12000,9.60,0.20,1900,1110,,,,,,,,300,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCY2E181MHD6,MP,250.0,180.00,18.0,25.0,-40,105,12000,10.60,0.20,1900,1050,,,,,,,,300,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCY2E221MHD9,MP,250.0,220.00,16.0,35.5,-40,105,12000,11.80,0.20,2300,1220,,,,,,,,300,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCY2E221MHD,MP,250.0,220.00,16.0,40.0,-40,105,12000,14.10,0.20,2300,1295,,,,,,,,300,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCY2E221MHD3,MP,250.0,220.00,18.0,30.5,-40,105,12000,13.10,0.20,2300,1160,,,,,,,,300,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCY2E271MHD6,MP,250.0,270.00,16.0,40.0,-40,105,12000,14.10,0.20,2800,1350,,,,,,,,300,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCY2E271MHD,MP,250.0,270.00,18.0,35.5,-40,105,12000,14.20,0.20,2800,1450,,,,,,,,250,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCY2E331MHD9,MP,250.0,330.00,18.0,40.0,-40,105,12000,17.70,0.20,3400,1530,,,,,,,,200,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCY2E331MHD,MP,250.0,330.00,18.0,46.0,-40,105,12000,20.90,0.20,3400,1600,,,,,,,,200,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCY2V120MPD,MP,350.0,12.00,10.0,16.0,-40,105,10000,1.77,0.24,268,160,,,,,,,,1800,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCY2V150MPD,MP,350.0,15.00,10.0,20.0,-40,105,10000,2.34,0.24,310,180,,,,,,,,1400,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCY2V180MPD,MP,350.0,18.00,10.0,20.0,-40,105,10000,2.34,0.24,352,215,,,,,,,,1400,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCY2V220MPD9,MP,350.0,22.00,10.0,20.0,-40,105,10000,2.34,0.24,408,215,,,,,,,,1400,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCY2V220MPD,MP,350.0,22.00,10.0,25.0,-40,105,12000,3.07,0.24,408,255,,,,,,,,1200,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCY2V220MHD3,MP,350.0,22.00,12.5,20.0,-40,105,10000,3.43,0.24,408,325,,,,,,,,1000,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCY2V270MPD9,MP,350.0,27.00,10.0,25.0,-40,105,12000,3.07,0.24,478,255,,,,,,,,1200,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCY2V270MPD,MP,350.0,27.00,10.0,30.5,-40,105,12000,3.21,0.24,478,305,,,,,,,,1000,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCY2V330MHD,MP,350.0,33.00,12.5,20.0,-40,105,10000,3.43,0.24,562,380,,,,,,,,1000,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCY2V330MHD3,MP,350.0,33.00,16.0,20.0,-40,105,10000,6.60,0.24,562,450,,,,,,,,600,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCY2V390MHD,MP,350.0,39.00,12.5,25.0,-40,105,12000,4.56,0.24,646,455,,,,,,,,800,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCY2V470MHD,MP,350.0,47.00,12.5,25.0,-40,105,12000,4.56,0.24,758,510,,,,,,,,800,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCY2V470MHD3,MP,350.0,47.00,16.0,20.0,-40,105,10000,6.60,0.24,758,540,,,,,,,,600,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
