Part Number,Status,Rated Voltage Range (V.D.C),Rated Capacitance Range (μF),Product diameter : D(mm),Product height : L(mm),Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Endurance (h),Weight (g),Tangent of loss angle (tanδ),Leakage Current  (µA),Ripple Rating (105℃/100kHz),Rated Ripple2(mArms),ESR(Ω)（20℃/100kHz）,ESR(Ω) (-40℃/100kHz）,ESR(Ω) after endurance test,"ESL(Typ.)（nH,40MHz）",Impedance (Ω)(-10℃/100kHz),Impedance (Ω)(20℃/100kHz),Minimum Quantity,Product category,Product summary,Polarity type,Vibration resistant
UPA1V391MPD,MP,35.0,390.00,8.0,20.0,-55,105,3000,1.66,0.12,410,1220,,,,,,0.088,0.044,2000,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPA1V391MPD6,MP,35.0,390.00,10.0,16.0,-55,105,4000,1.77,0.12,410,1240,,,,,,0.098,0.049,1800,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPA1V561MPD,MP,35.0,560.00,10.0,20.0,-55,105,4000,2.34,0.12,588,1490,,,,,,0.07,0.035,1400,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPA1V681MPD,MP,35.0,680.00,10.0,25.0,-55,105,4000,3.07,0.12,714,1680,,,,,,0.066,0.033,1200,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPA1V821MHD,MP,35.0,820.00,12.5,20.0,-55,105,5000,3.43,0.12,861,1890,,,,,,0.058,0.029,1000,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPA1V102MHD,MP,35.0,1000.00,12.5,20.0,-55,105,5000,3.43,0.12,1050,1890,,,,,,0.058,0.029,1000,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPA1V122MHD,MP,35.0,1200.00,12.5,25.0,-55,105,5000,4.56,0.12,1260,2280,,,,,,0.044,0.022,800,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPA1V152MHD,MP,35.0,1500.00,12.5,30.5,-55,105,5000,6.01,0.12,1575,2720,,,,,,0.036,0.018,600,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPA1V152MHD6,MP,35.0,1500.00,16.0,20.0,-55,105,5000,6.60,0.12,1575,2330,,,,,,0.052,0.026,600,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPA1V182MHD,MP,35.0,1800.00,12.5,35.5,-55,105,5000,7.06,0.12,1890,2940,,,,,,0.032,0.016,500,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPA1V182MHD6,MP,35.0,1800.00,16.0,20.0,-55,105,5000,6.60,0.12,1890,2330,,,,,,0.052,0.026,600,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPA1V222MHD,MP,35.0,2200.00,16.0,25.0,-55,105,5000,8.20,0.14,2310,2760,,,,,,0.038,0.019,400,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPA1V222MHD6,MP,35.0,2200.00,18.0,20.0,-55,105,5000,9.00,0.14,2310,2640,,,,,,0.05,0.025,400,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPA1V272MHD,MP,35.0,2700.00,16.0,30.5,-55,105,5000,9.60,0.14,2835,2810,,,,,,0.035,0.017,300,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPA1V272MHD6,MP,35.0,2700.00,18.0,25.0,-55,105,5000,10.60,0.14,2835,2850,,,,,,0.036,0.018,300,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPA1V332MHD,MP,35.0,3300.00,18.0,30.5,-55,105,5000,13.10,0.16,3465,2910,,,,,,0.032,0.016,300,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
