Voltage,Capacitance,Dissipation Factor,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),ESR(est.) 20°C@120Hz,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,Ripple Current 105°C@300Hz,Ripple Current 105°C@50Hz,Status,V,VC,Vibration resistant,Weight (g)
35,2200,0.16,16,25,-55,105,0.121,2000,2310,400,UVZ1V222MHD,Uni-Polar,Radial Lead,6mmL Wide Temp. Range,1449,1449,1260,1423.8,1386,1071,MP,6.3 to 100,77000,Normal,8.2
35,3300,0.18,16,35.5,-55,105,0.096,2000,3465,300,UVZ1V332MHD,Uni-Polar,Radial Lead,6mmL Wide Temp. Range,1851.5,1851.5,1610,1819.3,1771,1368.5,MP,6.3 to 100,115500,Normal,11.8
35,4700,0.2,18,35.5,-55,105,0.079,2000,4935,250,UVZ1V472MHD,Uni-Polar,Radial Lead,6mmL Wide Temp. Range,2196.5,2196.5,1910,2158.3,2101,1623.5,MP,6.3 to 100,164500,Normal,14.2
35,6800,0.24,20,40,-55,105,0.07,2000,7140,150,UVZ1V682MRD,Uni-Polar,Radial Lead,6mmL Wide Temp. Range,2472.5,2472.5,2150,2429.5,2365,1827.5,EOL,6.3 to 100,238000,Normal,19.6
35,10000,0.32,22,50,-55,105,0.069,2000,10500,250,UVZ1V103MRD,Uni-Polar,Radial Lead,6mmL Wide Temp. Range,3047.5,3047.5,2650,2994.5,2915,2252.5,EOL,6.3 to 100,350000,Normal,27.4
35,15000,0.42,25,50,-55,105,0.064,2000,15750,140,UVZ1V153MRD,Uni-Polar,Radial Lead,6mmL Wide Temp. Range,3565,3565,3100,3503,3410,2635,EOL,6.3 to 100,525000,Normal,38.8
50,2.2,0.12,5,11,-55,105,72.343,1000,4,6000,UVZ1H2R2MDD,Uni-Polar,Radial Lead,6mmL Wide Temp. Range,32,32,20,28,25,16,EOL,160 to 450,110.00000000000001,Normal,0.44
50,3.3,0.12,5,11,-55,105,48.229,1000,5,6000,UVZ1H3R3MDD,Uni-Polar,Radial Lead,6mmL Wide Temp. Range,40,40,25,35,31.25,20,EOL,160 to 450,165,Normal,0.44
50,4.7,0.12,5,11,-55,105,33.863,1000,7,6000,UVZ1H4R7MDD,Uni-Polar,Radial Lead,6mmL Wide Temp. Range,48,48,30,42,37.5,24,EOL,160 to 450,235,Normal,0.44
50,10,0.12,5,11,-55,105,15.916,1000,15,6000,UVZ1H100MDD,Uni-Polar,Radial Lead,6mmL Wide Temp. Range,73.6,73.6,46,64.4,57.5,36.8,EOL,160 to 450,500,Normal,0.44
50,22,0.12,5,11,-55,105,7.234,1000,33,6000,UVZ1H220MDD,Uni-Polar,Radial Lead,6mmL Wide Temp. Range,108.8,108.8,68,95.2,85,54.4,EOL,160 to 450,1100,Normal,0.44
50,33,0.12,5,11,-55,105,4.823,1000,50,6000,UVZ1H330MDD,Uni-Polar,Radial Lead,6mmL Wide Temp. Range,180,180,90,141.3,121.5,67.5,EOL,6.3 to 100,1650,Normal,0.44
50,33,0.12,5,11,-55,105,4.823,1000,50,6000,UVZ1H330MDD,Uni-Polar,Radial Lead,6mmL Wide Temp. Range,144,144,90,126,112.5,72,EOL,160 to 450,1650,Normal,0.44
50,47,0.12,6.3,11,-55,105,3.386,1000,71,4000,UVZ1H470MED,Uni-Polar,Radial Lead,6mmL Wide Temp. Range,230,230,115,180.55,155.25,86.25,EOL,6.3 to 100,2350,Normal,0.59
50,47,0.12,6.3,11,-55,105,3.386,1000,71,4000,UVZ1H470MED,Uni-Polar,Radial Lead,6mmL Wide Temp. Range,184,184,115,161,143.75,92,EOL,160 to 450,2350,Normal,0.59
50,100,0.12,8,11.5,-55,105,1.592,1000,150,3000,UVZ1H101MPD,Uni-Polar,Radial Lead,6mmL Wide Temp. Range,285,285,190,254.6,233.7,152,MP,6.3 to 100,5000,Normal,1.19
