Voltage,Capacitance,ESR(est.) 20°C@10kHz,ESR(est.) 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR(est.) 20°C@120Hz,Part Number,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,VC
450,22,2.858,2.315,12.5,16,0.24,14.469,EKXN451E□□220MK16S,637.5,573.75,255,446.25,9900
450,27,2.329,1.886,10,25,0.24,11.789,EKXN451E□□270MJ25S,737.5,663.75,295,516.25,12150
450,33,1.905,1.543,10,30,0.24,9.646,EKXN451E□□330MJ30S,900,810,360,630,14850
450,33,1.905,1.543,12.5,20,0.24,9.646,EKXN451E□□330MK20S,875,787.5,350,612.5,14850
450,39,1.612,1.306,10,35,0.24,8.162,EKXN451E□□390MJ35S,1025,922.5,410,717.5,17550
450,39,1.612,1.306,16,16,0.24,8.162,EKXN451E□□390ML16S,1000,900,400,700,17550
450,47,1.338,1.084,10,40,0.24,6.773,EKXN451E□□470MJ40S,1162.5,1046.25,465,813.75,21150
450,47,1.338,1.084,10,45,0.24,6.773,EKXN451E□□470MJ45S,1212.5,1091.25,485,848.75,21150
450,47,1.338,1.084,12.5,25,0.24,6.773,EKXN451E□□470MK25S,1137.5,1023.75,455,796.25,21150
450,47,1.338,1.084,18,16,0.24,6.773,EKXN451E□□470MM16S,1137.5,1023.75,455,796.25,21150
450,56,1.123,0.909,10,50,0.24,5.684,EKXN451E□□560MJ50S,1362.5,1226.25,545,953.75,25200
450,56,1.123,0.909,12.5,30,0.24,5.684,EKXN451E□□560MK30S,1325,1192.5,530,927.5,25200
450,56,1.123,0.909,16,20,0.24,5.684,EKXN451E□□560ML20S,1275,1147.5,510,892.5,25200
450,68,0.925,0.749,12.5,35,0.24,4.681,EKXN451E□□680MK35S,1537.5,1383.75,615,1076.25,30600
450,82,0.767,0.621,12.5,40,0.24,3.882,EKXN451E□□820MK40S,1762.5,1586.25,705,1233.75,36900
450,82,0.767,0.621,12.5,45,0.24,3.882,EKXN451E□□820MK45S,1812.5,1631.25,725,1268.75,36900
450,82,0.767,0.621,16,25,0.24,3.882,EKXN451E□□820ML25S,1675,1507.5,670,1172.5,36900
450,82,0.767,0.621,18,20,0.24,3.882,EKXN451E□□820MM20S,1612.5,1451.25,645,1128.75,36900
450,100,0.757,0.629,12.5,50,0.24,3.183,EKXN451E□□101MK50S,1856.25,1691.25,825,1377.75,45000
450,100,0.757,0.629,16,30,0.24,3.183,EKXN451E□□101ML30S,1788.75,1629.75,795,1327.65,45000
450,100,0.757,0.629,18,25,0.24,3.183,EKXN451E□□101MM25S,1710,1558,760,1269.2,45000
450,120,0.631,0.524,16,35,0.24,2.653,EKXN451E□□121ML35S,2002.5,1824.5,890,1486.3,54000
450,120,0.631,0.524,16,40,0.24,2.653,EKXN451E□□121ML40S,2070,1886,920,1536.4,54000
450,120,0.631,0.524,18,30,0.24,2.653,EKXN451E□□121MM30S,2002.5,1824.5,890,1486.3,54000
450,150,0.505,0.419,16,45,0.24,2.122,EKXN451E□□151ML45S,2340,2132,1040,1736.8,67500
450,150,0.505,0.419,18,35,0.24,2.122,EKXN451E□□151MM35S,2317.5,2111.5,1030,1720.1,67500
450,180,0.421,0.349,16,50,0.24,1.768,EKXN451E□□181ML50S,2610,2378,1160,1937.2,81000
450,180,0.421,0.349,18,40,0.24,1.768,EKXN451E□□181MM40S,2610,2378,1160,1937.2,81000
450,180,0.421,0.349,18,45,0.24,1.768,EKXN451E□□181MM45S,2655,2419,1180,1970.6,81000
450,220,0.344,0.286,18,50,0.24,1.447,EKXN451E□□221MM50S,2947.5,2685.5,1310,2187.7,99000
