Voltage,Capacitance,ESR(est.) 20°C@100kHz,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR(est.) 20°C@120Hz,Frequency Coefficient 100kHz,Frequency Coefficient 10kHz,Frequency Coefficient 120Hz,Frequency Coefficient 1kHz,Impedance -10°C@100kHz,Part Number,Ripple Current 105°C@100kHz,VC
50,1000,0.057,0.021,16,25,0.1,0.159,1.67,1.58,1.0,1.45,0.056,EKZE500E□□102ML25S,3010,50000.0
63,15,1.273,0.88,5,11,0.09,7.958,2.5,2.25,1.0,1.88,3.5,EKZE630E□□150ME11D,165,945.0
63,33,0.579,0.35,6.3,11,0.09,3.617,2.5,2.25,1.0,1.88,1.4,EKZE630E□□330MF11D,265,2079.0
63,56,0.341,0.22,8,11.5,0.09,2.132,2.5,2.25,1.0,1.88,0.88,EKZE630E□□560MHB5D,500,3528.0
63,82,0.233,0.16,8,15,0.09,1.456,2.5,2.25,1.0,1.88,0.64,EKZE630E□□820MH15D,665,5166.0
63,82,0.233,0.11,10,12.5,0.09,1.456,2.5,2.25,1.0,1.88,0.44,EKZE630E□□820MJC5S,690,5166.0
63,120,0.159,0.12,8,20,0.09,0.995,2.5,2.25,1.0,1.88,0.48,EKZE630E□□121MH20D,820,7560.0
63,120,0.159,0.076,10,16,0.09,0.995,2.5,2.25,1.0,1.88,0.31,EKZE630E□□121MJ16S,950,7560.0
63,180,0.106,0.056,10,20,0.09,0.663,2.5,2.25,1.0,1.88,0.23,EKZE630E□□181MJ20S,1150,11340.0
63,180,0.106,0.072,12.5,16,0.09,0.663,2.5,2.25,1.0,1.88,0.29,EKZE630E□□181MK16S,1150,11340.0
63,220,0.136,0.046,10,25,0.09,0.543,2.0,1.88,1.0,1.7,0.19,EKZE630E□□221MJ25S,1350,13860.0
63,270,0.111,0.041,12.5,20,0.09,0.442,2.0,1.88,1.0,1.7,0.13,EKZE630E□□271MK20S,1500,17010.0
63,390,0.077,0.031,12.5,25,0.09,0.306,2.0,1.88,1.0,1.7,0.093,EKZE630E□□391MK25S,1900,24570.0
63,470,0.063,0.028,12.5,30,0.09,0.254,2.0,1.88,1.0,1.7,0.084,EKZE630E□□471MK30S,2300,29610.0
63,470,0.063,0.032,16,20,0.09,0.254,2.0,1.88,1.0,1.7,0.096,EKZE630E□□471ML20S,2000,29610.0
63,560,0.053,0.024,12.5,35,0.09,0.213,2.0,1.88,1.0,1.7,0.072,EKZE630E□□561MK35S,2500,35280.0
63,680,0.063,0.021,12.5,40,0.09,0.176,1.67,1.58,1.0,1.45,0.063,EKZE630E□□681MK40S,2800,42840.0
63,680,0.063,0.025,16,25,0.09,0.176,1.67,1.58,1.0,1.45,0.075,EKZE630E□□681ML25S,2600,42840.0
63,680,0.063,0.03,18,20,0.09,0.176,1.67,1.58,1.0,1.45,0.09,EKZE630E□□681MM20S,2500,42840.0
63,820,0.052,0.021,16,31.5,0.09,0.146,1.67,1.58,1.0,1.45,0.063,EKZE630E□□821MLN3S,2850,51660.0
63,820,0.052,0.024,18,25,0.09,0.146,1.67,1.58,1.0,1.45,0.072,EKZE630E□□821MM25S,2800,51660.0
63,1000,0.052,0.019,16,35.5,0.09,0.146,1.67,1.58,1.0,1.45,0.057,EKZE630E□□102MLP1S,2900,63000.0
63,1200,0.044,0.018,16,40,0.09,0.122,1.67,1.58,1.0,1.45,0.054,EKZE630E□□122ML40S,3400,75600.0
63,1200,0.044,0.02,18,31.5,0.09,0.122,1.67,1.58,1.0,1.45,0.06,EKZE630E□□122MMN3S,3300,75600.0
63,1500,0.035,0.018,18,35.5,0.09,0.097,1.67,1.58,1.0,1.45,0.054,EKZE630E□□152MMP1S,3400,94500.0
63,1800,0.029,0.017,18,40,0.09,0.081,1.67,1.58,1.0,1.45,0.051,EKZE630E□□182MM40S,3500,113400.0
80,68,0.281,0.17,10,12.5,0.09,1.755,2.5,2.25,1.0,1.88,0.66,EKZE800E□□680MJC5S,480,5440.0
80,100,0.191,0.11,10,16,0.09,1.194,2.5,2.25,1.0,1.88,0.47,EKZE800E□□101MJ16S,600,8000.0
80,120,0.159,0.084,10,20,0.09,0.995,2.5,2.25,1.0,1.88,0.34,EKZE800E□□121MJ20S,800,9600.0
80,150,0.127,0.069,10,25,0.09,0.796,2.5,2.25,1.0,1.88,0.28,EKZE800E□□151MJ25S,900,12000.0
80,150,0.127,0.11,12.5,16,0.09,0.796,2.5,2.25,1.0,1.88,0.34,EKZE800E□□151MK16S,750,12000.0
80,220,0.136,0.062,12.5,20,0.09,0.543,2.0,1.88,1.0,1.7,0.18,EKZE800E□□221MK20S,1100,17600.0
80,330,0.09,0.047,12.5,25,0.09,0.362,2.0,1.88,1.0,1.7,0.14,EKZE800E□□331MK25S,1250,26400.0
80,330,0.09,0.048,16,20,0.09,0.362,2.0,1.88,1.0,1.7,0.15,EKZE800E□□331ML20S,1350,26400.0
80,390,0.077,0.042,12.5,30,0.09,0.306,2.0,1.88,1.0,1.7,0.13,EKZE800E□□391MK30S,1500,31200.0
80,470,0.063,0.036,12.5,35,0.09,0.254,2.0,1.88,1.0,1.7,0.11,EKZE800E□□471MK35S,1650,37600.0
80,470,0.063,0.038,16,25,0.09,0.254,2.0,1.88,1.0,1.7,0.12,EKZE800E□□471ML25S,1700,37600.0
80,470,0.063,0.045,18,20,0.09,0.254,2.0,1.88,1.0,1.7,0.14,EKZE800E□□471MM20S,1500,37600.0
80,560,0.053,0.032,12.5,40,0.09,0.213,2.0,1.88,1.0,1.7,0.095,EKZE800E□□561MK40S,1800,44800.0
80,680,0.063,0.032,16,31.5,0.09,0.176,1.67,1.58,1.0,1.45,0.095,EKZE800E□□681MLN3S,1850,54400.0
80,680,0.063,0.036,18,25,0.09,0.176,1.67,1.58,1.0,1.45,0.11,EKZE800E□□681MM25S,1750,54400.0
80,820,0.052,0.029,16,35.5,0.09,0.146,1.67,1.58,1.0,1.45,0.086,EKZE800E□□821MLP1S,2000,65600.0
80,820,0.052,0.03,18,31.5,0.09,0.146,1.67,1.58,1.0,1.45,0.09,EKZE800E□□821MMN3S,1900,65600.0
80,1000,0.052,0.027,16,40,0.09,0.146,1.67,1.58,1.0,1.45,0.081,EKZE800E□□102ML40S,2200,80000.0
80,1000,0.052,0.027,18,35.5,0.09,0.146,1.67,1.58,1.0,1.45,0.081,EKZE800E□□102MMP1S,2200,80000.0
80,1200,0.044,0.026,18,40,0.09,0.122,1.67,1.58,1.0,1.45,0.077,EKZE800E□□122MM40S,2700,96000.0
100,6.8,2.497,1.4,5,11,0.08,15.603,2.5,2.25,1.0,1.88,5.6,EKZE101E□□6R8ME11D,125,680.0
100,15,1.132,0.57,6.3,11,0.08,7.074,2.5,2.25,1.0,1.88,2.3,EKZE101E□□150MF11D,205,1500.0
100,27,0.629,0.36,8,11.5,0.08,3.93,2.5,2.25,1.0,1.88,1.4,EKZE101E□□270MHB5D,355,2700.0
100,39,0.435,0.25,8,15,0.08,2.721,2.5,2.25,1.0,1.88,1.0,EKZE101E□□390MH15D,450,3900.0
100,47,0.361,0.17,10,12.5,0.08,2.258,2.5,2.25,1.0,1.88,0.66,EKZE101E□□470MJC5S,480,4700.0
100,56,0.303,0.19,8,20,0.08,1.895,2.5,2.25,1.0,1.88,0.76,EKZE101E□□560MH20D,565,5600.0
100,68,0.25,0.11,10,16,0.08,1.56,2.5,2.25,1.0,1.88,0.47,EKZE101E□□680MJ16S,600,6800.0
100,82,0.207,0.084,10,20,0.08,1.294,2.5,2.25,1.0,1.88,0.34,EKZE101E□□820MJ20S,800,8200.0
100,100,0.17,0.11,12.5,16,0.08,1.061,2.5,2.25,1.0,1.88,0.34,EKZE101E□□101MK16S,750,10000.0
100,120,0.141,0.069,10,25,0.08,0.884,2.5,2.25,1.0,1.88,0.28,EKZE101E□□121MJ25S,900,12000.0
100,150,0.113,0.062,12.5,20,0.08,0.707,2.5,2.25,1.0,1.88,0.18,EKZE101E□□151MK20S,1100,15000.0
100,220,0.121,0.047,12.5,25,0.08,0.482,2.0,1.88,1.0,1.7,0.14,EKZE101E□□221MK25S,1250,22000.0
100,220,0.121,0.048,16,20,0.08,0.482,2.0,1.88,1.0,1.7,0.15,EKZE101E□□221ML20S,1350,22000.0
100,270,0.098,0.042,12.5,30,0.08,0.393,2.0,1.88,1.0,1.7,0.13,EKZE101E□□271MK30S,1500,27000.0
100,330,0.08,0.036,12.5,35,0.08,0.322,2.0,1.88,1.0,1.7,0.11,EKZE101E□□331MK35S,1650,33000.0
