Voltage,Capacitance,ESR(est.) 20°C@10kHz,ESR(est.) 20°C@100kHz,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR(est.) 20°C@120Hz,Impedance -10°C@100kHz,Part Number,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,VC
25,390,0.135,0.119,0.08,8,20,0.14,0.476,0.16,ELXZ250E□□391MH20D,810,761.4,405,688.5,9750
25,470,0.112,0.099,0.068,10,16,0.14,0.395,0.136,ELXZ250E□□471MJ16S,1050,987,525,892.5,11750
25,680,0.109,0.098,0.052,10,20,0.14,0.273,0.104,ELXZ250E□□681MJ20S,1220,1154.25,730.54,1059.28,17000
25,820,0.091,0.081,0.045,10,25,0.14,0.226,0.09,ELXZ250E□□821MJ25S,1440,1362.4,862.28,1250.3,20500
25,1000,0.085,0.076,0.037,10,30,0.14,0.212,0.074,ELXZ250E□□102MJ30S,1690,1598.92,1011.98,1467.37,25000
25,1000,0.085,0.076,0.038,12.5,20,0.14,0.212,0.076,ELXZ250E□□102MK20S,1660,1570.54,994.01,1441.32,25000
25,1500,0.057,0.051,0.03,12.5,25,0.14,0.141,0.06,ELXZ250E□□152MK25S,1950,1844.91,1167.66,1693.11,37500
25,1800,0.047,0.042,0.025,12.5,30,0.14,0.118,0.05,ELXZ250E□□182MK30S,2310,2185.51,1383.23,2005.69,45000
25,1800,0.047,0.042,0.029,16,20,0.14,0.118,0.058,ELXZ250E□□182ML20S,2210,2090.9,1323.35,1918.86,45000
25,2200,0.067,0.061,0.025,12.5,30,0.14,0.109,0.05,ELXZ250E□□222MK30S,2310,2205.79,1736.84,2084.21,55000
25,2200,0.067,0.061,0.022,12.5,35,0.14,0.109,0.044,ELXZ250E□□222MK35S,2510,2396.77,1887.22,2264.66,55000
25,2200,0.067,0.061,0.028,18,20,0.14,0.109,0.056,ELXZ250E□□222MM20S,2490,2377.67,1872.18,2246.62,55000
25,2700,0.055,0.05,0.017,12.5,40,0.14,0.088,0.034,ELXZ250E□□272MK40S,2870,2740.53,2157.89,2589.47,67500
25,2700,0.055,0.05,0.022,16,25,0.14,0.088,0.044,ELXZ250E□□272ML25S,2560,2444.51,1924.81,2309.77,67500
25,3300,0.05,0.045,0.022,16,25,0.14,0.08,0.044,ELXZ250E□□332ML25S,2560,2444.51,1924.81,2309.77,82500
25,3300,0.05,0.045,0.019,16,30,0.14,0.08,0.038,ELXZ250E□□332ML30S,3010,2874.21,2263.16,2715.79,82500
25,3300,0.05,0.045,0.028,18,20,0.14,0.08,0.056,ELXZ250E□□332MM20S,2490,2377.67,1872.18,2246.62,82500
25,3300,0.05,0.045,0.02,18,25,0.14,0.08,0.04,ELXZ250E□□332MM25S,2740,2616.39,2060.15,2472.18,82500
25,3900,0.042,0.038,0.017,16,35,0.14,0.068,0.034,ELXZ250E□□392ML35S,3150,3007.89,2368.42,2842.11,97500
25,3900,0.042,0.038,0.018,18,30,0.14,0.068,0.036,ELXZ250E□□392MM30S,3330,3179.77,2503.76,3004.51,97500
25,4700,0.047,0.045,0.015,16,40,0.14,0.062,0.03,ELXZ250E□□472ML40S,3710,3615.68,3144.07,3521.36,117500
25,4700,0.047,0.045,0.016,18,35,0.14,0.062,0.032,ELXZ250E□□472MM35S,3680,3586.44,3118.64,3492.88,117500
25,5600,0.043,0.041,0.015,18,40,0.14,0.057,0.03,ELXZ250E□□562MM40S,3800,3703.39,3220.34,3606.78,140000
35,33,0.953,0.772,0.5,5,11.5,0.12,4.823,1,ELXZ350E□□330MEB5D,175,157.5,70,131.6,1155
35,56,0.561,0.455,0.25,6.3,11.5,0.12,2.842,0.5,ELXZ350E□□560MFB5D,290,261,116,218.08,1960
35,100,0.314,0.255,0.18,6.3,15,0.12,1.592,0.36,ELXZ350E□□101MF15D,400,360,160,300.8,3500
35,150,0.21,0.17,0.12,8,12,0.12,1.061,0.24,ELXZ350E□□151MH12D,555,499.5,222,417.36,5250
35,220,0.205,0.181,0.09,8,15,0.12,0.723,0.18,ELXZ350E□□221MH15D,730,686.2,365,620.5,7700
35,220,0.205,0.181,0.09,10,12.5,0.12,0.723,0.18,ELXZ350E□□221MJC5S,760,714.4,380,646,7700
35,270,0.167,0.147,0.08,8,20,0.12,0.589,0.16,ELXZ350E□□271MH20D,810,761.4,405,688.5,9450
35,330,0.136,0.121,0.068,10,16,0.12,0.482,0.136,ELXZ350E□□331MJ16S,1050,987,525,892.5,11550
35,470,0.096,0.085,0.052,10,20,0.12,0.339,0.104,ELXZ350E□□471MJ20S,1220,1146.8,610,1037,16450
35,560,0.08,0.071,0.052,10,20,0.12,0.284,0.104,ELXZ350E□□561MJ20S,1220,1146.8,610,1037,19600
