Voltage,Capacitance,ESR(est.) 20°C@10kHz,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,10kHz.1,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,ESR(est.) 20°C@120Hz,Endurance,Frequency Coefficient 10kHz,Frequency Coefficient 120Hz,Frequency Coefficient 1kHz,Impedance -10°C@100kHz,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 105°C@100kHz,Status,VC,Vibration resistant,Weight (g)
16,1500,0.06,0.02,10,20,1.0,-40,105,0.15,0.15,10000,1.58,1.0,1.45,0.06,240,1400,UHW1C152MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2500,MP,24000.0,Normal,2.34
16,1800,0.05,0.017,10,25,1.0,-40,105,0.15,0.125,10000,1.58,1.0,1.45,0.051,288,1200,UHW1C182MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2900,MP,28800.0,Normal,3.07
16,2200,0.078,0.017,12.5,20,1.0,-40,105,0.17,0.127,10000,1.27,1.0,1.2,0.051,352,1000,UHW1C222MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2600,MP,35200.0,Normal,3.43
16,2700,0.064,0.015,12.5,25,1.0,-40,105,0.17,0.103,10000,1.27,1.0,1.2,0.045,432,800,UHW1C272MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3200,MP,43200.0,Normal,4.56
16,3300,0.062,0.015,12.5,25,1.0,-40,105,0.19,0.1,10000,1.27,1.0,1.2,0.045,528,800,UHW1C332MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3200,MP,52800.0,Normal,4.56
16,3300,0.062,0.015,16,20,1.0,-40,105,0.19,0.1,10000,1.27,1.0,1.2,0.045,528,600,UHW1C332MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3575,MP,52800.0,Normal,6.6
16,3900,0.053,0.012,12.5,30.5,1.0,-40,105,0.19,0.085,10000,1.27,1.0,1.2,0.036,624,600,UHW1C392MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3795,MP,62400.0,Normal,6.01
16,3900,0.053,0.015,16,20,1.0,-40,105,0.19,0.085,10000,1.27,1.0,1.2,0.045,624,600,UHW1C392MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3575,MP,62400.0,Normal,6.6
16,4700,0.062,0.011,12.5,35.5,1.0,-40,105,0.21,0.082,10000,1.15,1.0,1.12,0.033,752,500,UHW1C472MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,4120,MP,75200.0,Normal,7.06
16,4700,0.062,0.013,16,25,1.0,-40,105,0.21,0.082,10000,1.15,1.0,1.12,0.039,752,400,UHW1C472MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3810,MP,75200.0,Normal,8.2
16,5600,0.059,0.013,16,25,1.0,-40,105,0.23,0.078,10000,1.15,1.0,1.12,0.039,896,400,UHW1C562MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3810,MP,89600.0,Normal,8.2
16,6800,0.055,0.011,16,30.5,1.0,-40,105,0.25,0.072,10000,1.15,1.0,1.12,0.033,1088,300,UHW1C682MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,4000,MP,108800.0,Normal,9.6
16,8200,0.055,0.01,16,35.5,1.0,-40,105,0.29,0.073,10000,1.15,1.0,1.12,0.03,1312,300,UHW1C822MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,4200,MP,131200.0,Normal,11.8
25,68,0.501,0.47,5,11,1.0,-40,105,0.13,2.536,7000,2.25,1.0,1.88,1.5,17,6000,UHW1E680MDD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,450,EOL,1700.0,Normal,0.44
