Voltage,Capacitance,ESR 20°C@120Hz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current,Status,Vibration resistant,Weight (g)
100,3300,0.048,25,50,-55,105,0.12,2000,9900,140,UVY2A332MRD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,2070,EOL,Normal,38.8
160,10,26.526,8,11.5,-40,105,0.2,1000,164,3000,UVY2C100MPD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,41,MP,Normal,1.19
160,22,12.057,10,12.5,-40,105,0.2,2000,241,2000,UVY2C220MPD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,92,MP,Normal,1.49
160,33,8.038,10,16,-40,105,0.2,2000,311,1800,UVY2C330MPD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,125,MP,Normal,1.77
160,47,5.644,10,20,-40,105,0.2,2000,401,1400,UVY2C470MPD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,150,MP,Normal,2.34
160,68,3.901,12.5,20,-40,105,0.2,2000,535,1000,UVY2C680MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,250,MP,Normal,3.43
160,100,2.653,12.5,25,-40,105,0.2,2000,740,800,UVY2C101MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,310,MP,Normal,4.56
160,220,1.206,16,30.5,-40,105,0.2,2000,1508,300,UVY2C221MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,410,MP,Normal,9.6
160,330,0.804,18,35.5,-40,105,0.2,2000,2212,250,UVY2C331MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,570,MP,Normal,14.2
160,470,0.564,18,40,-40,105,0.2,2000,3108,200,UVY2C471MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,855,MP,Normal,17.7
160,1000,0.265,25,50,-40,105,0.2,2000,6500,140,UVY2C102MRD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,1350,EOL,Normal,38.8
200,0.47,564.38,6.3,11,-40,105,0.2,1000,49,4000,UVY2DR47MED,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,11,EOL,Normal,0.59
200,1,265.258,6.3,11,-40,105,0.2,1000,60,4000,UVY2D010MED,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,16,EOL,Normal,0.59
200,2.2,120.572,6.3,11,-40,105,0.2,1000,84,4000,UVY2D2R2MED,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,25,EOL,Normal,0.59
200,3.3,80.381,6.3,11,-40,105,0.2,1000,106,4000,UVY2D3R3MED,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,30,EOL,Normal,0.59
200,4.7,56.438,6.3,11,-40,105,0.2,1000,134,4000,UVY2D4R7MED,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,35,EOL,Normal,0.59
200,10,26.526,8,11.5,-40,105,0.2,1000,180,3000,UVY2D100MPD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,57,MP,Normal,1.19
200,22,12.057,10,16,-40,105,0.2,2000,276,1800,UVY2D220MPD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,105,MP,Normal,1.77
200,33,8.038,10,20,-40,105,0.2,2000,364,1400,UVY2D330MPD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,140,MP,Normal,2.34
200,47,5.644,12.5,20,-40,105,0.2,2000,476,1000,UVY2D470MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,195,MP,Normal,3.43
200,68,3.901,12.5,25,-40,105,0.2,2000,644,800,UVY2D680MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,250,MP,Normal,4.56
200,100,2.653,16,25,-40,105,0.2,2000,900,400,UVY2D101MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,320,MP,Normal,8.2
200,220,1.206,16,35.5,-40,105,0.2,2000,1860,300,UVY2D221MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,500,MP,Normal,11.8
200,330,0.804,18,40,-40,105,0.2,2000,2740,200,UVY2D331MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,675,MP,Normal,17.7
200,470,0.564,22,40,-40,105,0.2,2000,3860,250,UVY2D471MRD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,925,EOL,Normal,23.8
250,3.3,80.381,6.3,11,-40,105,0.2,1000,123,4000,UVY2E3R3MED,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,28,EOL,Normal,0.59
250,4.7,56.438,6.3,11,-40,105,0.2,1000,147,4000,UVY2E4R7MED,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,35,EOL,Normal,0.59
250,10,26.526,10,12.5,-40,105,0.2,2000,200,2000,UVY2E100MPD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,71,MP,Normal,1.49
250,22,12.057,10,20,-40,105,0.2,2000,320,1400,UVY2E220MPD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,105,MP,Normal,2.34
250,33,8.038,10,20,-40,105,0.2,2000,430,1400,UVY2E330MPD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,140,MP,Normal,2.34
250,47,5.644,12.5,20,-40,105,0.2,2000,570,1000,UVY2E470MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,190,MP,Normal,3.43
250,68,3.901,16,25,-40,105,0.2,2000,780,400,UVY2E680MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,270,MP,Normal,8.2
250,100,2.653,16,25,-40,105,0.2,2000,1100,400,UVY2E101MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,310,MP,Normal,8.2
250,220,1.206,18,35.5,-40,105,0.2,2000,2300,250,UVY2E221MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,485,MP,Normal,14.2
250,330,0.804,20,40,-40,105,0.2,2000,3400,150,UVY2E331MRD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,710,EOL,Normal,19.6
250,470,0.564,22,50,-40,105,0.2,2000,4800,250,UVY2E471MRD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,1000,EOL,Normal,27.4
350,2.2,150.715,6.3,11,-40,105,0.25,1000,117,4000,UVY2V2R2MED,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,21,EOL,Normal,0.59
350,3.3,100.477,8,11.5,-40,105,0.25,1000,146,3000,UVY2V3R3MPD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,30,MP,Normal,1.19
350,4.7,70.547,8,11.5,-40,105,0.25,1000,166,3000,UVY2V4R7MPD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,39,MP,Normal,1.19
350,10,33.157,10,12.5,-40,105,0.25,2000,240,2000,UVY2V100MPD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,64,MP,Normal,1.49
350,22,15.072,12.5,20,-40,105,0.25,2000,408,1000,UVY2V220MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,105,MP,Normal,3.43
350,33,10.048,12.5,25,-40,105,0.25,2000,562,800,UVY2V330MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,170,MP,Normal,4.56
350,47,7.055,16,25,-40,105,0.25,2000,758,400,UVY2V470MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,210,MP,Normal,8.2
350,68,4.876,16,25,-40,105,0.25,2000,1052,400,UVY2V680MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,285,MP,Normal,8.2
350,100,3.316,18,35.5,-40,105,0.25,2000,1500,250,UVY2V101MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,370,MP,Normal,14.2
