Voltage,Capacitance,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,ESR(est.) 20°C@120Hz,Endurance,Frequency Coefficient 10kHz,Frequency Coefficient 120Hz,Frequency Coefficient 1kHz,Frequency Coefficient 300Hz,Frequency Coefficient 50Hz,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 85°C@120Hz,Status,VC,Vibration resistant,Weight (g)
35,470,10,16,-40,85,0.14,0.395,2000,1.5,1.0,1.34,1.23,0.8,494,1800,UKW1V471MPD,Uni-Polar,Radial Lead,Standard,630,MP,16450.0,Normal,1.77
35,1000,12.5,20,-40,85,0.14,0.212,2000,1.15,1.0,1.13,1.1,0.85,1050,1000,UKW1V102MHD,Uni-Polar,Radial Lead,Standard,1100,MP,35000.0,Normal,3.43
35,2200,16,25,-40,85,0.16,0.121,2000,1.15,1.0,1.13,1.1,0.85,2310,400,UKW1V222MHD,Uni-Polar,Radial Lead,Standard,1800,MP,77000.0,Normal,8.2
35,3300,16,35.5,-40,85,0.18,0.096,2000,1.15,1.0,1.13,1.1,0.85,3465,300,UKW1V332MHD,Uni-Polar,Radial Lead,Standard,2220,MP,115500.0,Normal,11.8
35,4700,18,35.5,-40,85,0.2,0.079,2000,1.15,1.0,1.13,1.1,0.85,4935,250,UKW1V472MHD,Uni-Polar,Radial Lead,Standard,2490,MP,164500.0,Normal,14.2
35,6800,20,40,-40,85,0.24,0.07,2000,1.15,1.0,1.13,1.1,0.85,7140,150,UKW1V682MRD,Uni-Polar,Radial Lead,Standard,3000,EOL,238000.0,Normal,19.6
35,10000,22,50,-40,85,0.32,0.069,2000,1.15,1.0,1.13,1.1,0.85,10500,250,UKW1V103MRD,Uni-Polar,Radial Lead,Standard,3700,EOL,350000.0,Normal,27.4
35,15000,25,50,-40,85,0.42,0.064,2000,1.15,1.0,1.13,1.1,0.85,15750,140,UKW1V153MRD,Uni-Polar,Radial Lead,Standard,4300,EOL,525000.0,Normal,38.8
50,2.2,5,11,-40,85,0.12,72.343,2000,,,,,,4,6000,UKW1H2R2MDD,Uni-Polar,Radial Lead,Standard,23,EOL,110.00000000000001,Normal,0.44
50,3.3,5,11,-40,85,0.12,48.229,2000,,,,,,5,6000,UKW1H3R3MDD,Uni-Polar,Radial Lead,Standard,35,EOL,165.0,Normal,0.44
50,4.7,5,11,-40,85,0.12,33.863,2000,,,,,,7,6000,UKW1H4R7MDD,Uni-Polar,Radial Lead,Standard,40,EOL,235.0,Normal,0.44
50,10,5,11,-40,85,0.12,15.916,2000,,,,,,15,6000,UKW1H100MDD,Uni-Polar,Radial Lead,Standard,65,EOL,500.0,Normal,0.44
50,22,5,11,-40,85,0.12,7.234,2000,,,,,,33,6000,UKW1H220MDD,Uni-Polar,Radial Lead,Standard,95,EOL,1100.0,Normal,0.44
50,33,5,11,-40,85,0.12,4.823,2000,2.0,1.0,1.57,1.35,0.75,50,6000,UKW1H330MDD,Uni-Polar,Radial Lead,Standard,120,EOL,1650.0,Normal,0.44
50,47,6.3,11,-40,85,0.12,3.386,2000,2.0,1.0,1.57,1.35,0.75,71,4000,UKW1H470MED,Uni-Polar,Radial Lead,Standard,150,EOL,2350.0,Normal,0.59
50,100,8,11.5,-40,85,0.12,1.592,2000,1.5,1.0,1.34,1.23,0.8,150,3000,UKW1H101MPD,Uni-Polar,Radial Lead,Standard,250,MP,5000.0,Normal,1.19
50,220,10,12.5,-40,85,0.12,0.723,2000,1.5,1.0,1.34,1.23,0.8,330,2000,UKW1H221MPD,Uni-Polar,Radial Lead,Standard,410,MP,11000.0,Normal,1.49
50,330,10,16,-40,85,0.12,0.482,2000,1.5,1.0,1.34,1.23,0.8,495,1800,UKW1H331MPD,Uni-Polar,Radial Lead,Standard,570,MP,16500.0,Normal,1.77
50,470,12.5,20,-40,85,0.12,0.339,2000,1.5,1.0,1.34,1.23,0.8,705,1000,UKW1H471MHD,Uni-Polar,Radial Lead,Standard,760,MP,23500.0,Normal,3.43
50,1000,12.5,25,-40,85,0.12,0.186,2000,1.15,1.0,1.13,1.1,0.85,1500,800,UKW1H102MHD,Uni-Polar,Radial Lead,Standard,1300,MP,50000.0,Normal,4.56
50,2200,16,35.5,-40,85,0.14,0.109,2000,1.15,1.0,1.13,1.1,0.85,3300,300,UKW1H222MHD,Uni-Polar,Radial Lead,Standard,2090,MP,110000.0,Normal,11.8
50,3300,18,35.5,-40,85,0.16,0.088,2000,1.15,1.0,1.13,1.1,0.85,4950,250,UKW1H332MHD,Uni-Polar,Radial Lead,Standard,2360,MP,165000.0,Normal,14.2
50,4700,20,40,-40,85,0.18,0.073,2000,1.15,1.0,1.13,1.1,0.85,7050,150,UKW1H472MRD,Uni-Polar,Radial Lead,Standard,2900,EOL,235000.0,Normal,19.6
50,6800,22,50,-40,85,0.22,0.066,2000,1.15,1.0,1.13,1.1,0.85,10200,250,UKW1H682MRD,Uni-Polar,Radial Lead,Standard,3500,EOL,340000.0,Normal,27.4
50,10000,25,50,-40,85,0.3,0.066,2000,1.15,1.0,1.13,1.1,0.85,15000,140,UKW1H103MRD,Uni-Polar,Radial Lead,Standard,4000,EOL,500000.0,Normal,38.8
63,10,5,11,-40,85,0.1,13.263,2000,,,,,,19,6000,UKW1J100MDD,Uni-Polar,Radial Lead,Standard,70,EOL,630.0,Normal,0.44
63,22,5,11,-40,85,0.1,6.029,2000,,,,,,42,6000,UKW1J220MDD,Uni-Polar,Radial Lead,Standard,100,EOL,1386.0,Normal,0.44
63,33,6.3,11,-40,85,0.1,4.019,2000,2.0,1.0,1.57,1.35,0.75,62,4000,UKW1J330MED,Uni-Polar,Radial Lead,Standard,140,EOL,2079.0,Normal,0.59
63,47,6.3,11,-40,85,0.1,2.822,2000,2.0,1.0,1.57,1.35,0.75,89,4000,UKW1J470MED,Uni-Polar,Radial Lead,Standard,165,EOL,2961.0,Normal,0.59
