Voltage,Capacitance,Dissipation Factor,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),ESR(est.) 20°C@120Hz,Endurance,Impedance -10°C@100kHz,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,Ripple Current 105°C@300Hz,Status,VC,Vibration resistant,Weight (g)
10,8200,0.33,0.021,18,35.5,-55,105,0.079,5000,0.042,2460,250,UPM1A822MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,,,2740,,,MP,82000,Normal,14.2
10,10000,0.37,0.017,18,40,-55,105,0.076,5000,0.034,3000,200,UPM1A103MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3296.7,3296.7,2970,3237.3,3148.2,MP,100000,Normal,17.7
16,47,0.16,0.8,5,11,-55,105,4.515,2000,1.6,23,6000,UPM1C470MDD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,153.64,153.64,92,130.64,103.96,EOL,752,Normal,0.44
16,56,0.16,0.65,5,11,-55,105,3.789,2000,1.3,27,6000,UPM1C560MDD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,,,105,,,EOL,896,Normal,0.44
16,68,0.16,0.5,6.3,11,-55,105,3.121,2000,1,33,4000,UPM1C680MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,214.65,214.65,135,186.3,149.85,EOL,1088,Normal,0.59
16,82,0.16,0.42,6.3,11,-55,105,2.588,2000,0.84,39,4000,UPM1C820MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,,,155,,,EOL,1312,Normal,0.59
16,100,0.16,0.35,6.3,11,-55,105,2.122,2000,0.7,48,4000,UPM1C101MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,269.5,269.5,175,236.25,196,EOL,1600,Normal,0.59
16,120,0.16,0.29,6.3,11,-55,105,1.768,2000,0.58,58,4000,UPM1C121MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,,,195,,,EOL,1920,Normal,0.59
16,150,0.16,0.23,6.3,15,-55,105,1.415,2000,0.46,72,4000,UPM1C151MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,382.2,382.2,260,343.2,286,EOL,2400,Normal,0.72
16,180,0.16,0.2,6.3,15,-55,105,1.179,2000,0.4,86,4000,UPM1C181MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,,,285,,,EOL,2880,Normal,0.72
16,220,0.16,0.16,8,11.5,-55,105,0.965,3000,0.32,106,3000,UPM1C221MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,472.35,472.35,335,428.8,368.5,MP,3520,Normal,1.19
16,270,0.16,0.14,8,15,-55,105,0.786,3000,0.28,130,2000,UPM1C271MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,,,410,,,MP,4320,Normal,1.36
16,270,0.16,0.14,10,12.5,-55,105,0.786,5000,0.28,130,2000,UPM1C271MPD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,,,470,,,MP,4320,Normal,1.49
16,330,0.16,0.12,8,15,-55,105,0.643,3000,0.24,158,2000,UPM1C331MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,614.25,614.25,455,573.3,495.95,MP,5280,Normal,1.36
16,330,0.16,0.12,10,12.5,-55,105,0.643,5000,0.24,158,2000,UPM1C331MPD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,688.5,688.5,510,642.6,555.9,MP,5280,Normal,1.49
16,390,0.16,0.1,8,20,-55,105,0.544,3000,0.2,187,2000,UPM1C391MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,,,570,,,MP,6240,Normal,1.66
16,390,0.16,0.1,10,16,-55,105,0.544,5000,0.2,187,1800,UPM1C391MPD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,,,570,,,MP,6240,Normal,1.77
16,470,0.16,0.09,8,20,-55,105,0.452,3000,0.18,226,2000,UPM1C471MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,799.5,799.5,615,750.3,664.2,MP,7520,Normal,1.66
16,470,0.16,0.09,10,16,-55,105,0.452,5000,0.18,226,1800,UPM1C471MPD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,858,858,660,805.2,712.8,MP,7520,Normal,1.77
