Voltage,Capacitance,ESR 20°C@120Hz,ESR 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,Part Number,RC 100 kHz 105°C (mA),Surge Voltage
400,22,1205.72,2.25,8,50,20,ESL226M400AGG(1),475,450
400,33,803.814,1.7,10,50,20,ESL336M400AHE(1),610,450
400,33,803.814,1.7,16,25,20,ESL336M400AM7AA,610,450
400,47,564.38,1.7,18,25,20,ESL476M400AN5AA,795,450
400,56,473.676,1.7,12.5,50,20,ESL566M400AKB(1),820,450
400,56,473.676,1.7,16,30,20,ESL566M400AM9AA,820,450
400,68,390.086,1.38,18,30,20,ESL686M400AN8AA,910,450
400,82,323.486,1.25,16,40,20,ESL826M400AM4AA,980,450
400,82,323.486,1.25,18,35,20,ESL826M400ANAAA,980,450
400,100,265.258,0.97,18,40,20,ESL107M400AN3AA,1100,450
450,1.2,22104.872,25,6.3,11,20,ESL125M450AE3(1),55,500
450,1.5,17683.898,25,8,11.5,20,ESL155M450AGM(1),80,500
450,1.8,14736.581,20,8,11.5,20,ESL185M450AGM(1),85,500
450,2.2,12057.203,15.72,8,16,20,ESL225M450AG8(1),95,500
450,2.7,9824.388,15.72,8,16,20,ESL275M450AG8(1),100,500
450,3.3,8038.135,15.72,8,16,20,ESL335M450AG8(1),110,500
450,3.9,6801.499,15.72,8,16,20,ESL395M450AG8(1),120,500
450,4.7,5643.797,10.51,10,16,20,ESL475M450AH8(1),150,500
450,4.7,5643.797,10.51,8,20,20,ESL475M450AG6(1),150,500
450,5.6,4736.758,7.5,10,16,20,ESL565M450AH8(1),180,500
450,5.6,4736.758,7.5,8,20,20,ESL565M450AG6(1),180,500
450,6.8,3900.86,7.5,10,16,20,ESL685M450AH8(1),220,500
450,8.2,3234.859,6.2,10,20,20,ESL825M450AH4(1),265,500
450,10,2652.585,6.2,10,25,20,ESL106M450AH5(1),305,500
450,10,2652.585,5.2,12.5,20,20,ESL106M450AK5(1),305,500
450,15,1768.39,5.2,12.5,20,20,ESL156M450AK5(1),400,500
450,15,1768.39,5.2,8,50,20,ESL156M450AGG(1),400,500
450,18,1473.658,3.6,12.5,25,20,ESL186M450AK1(1),470,500
450,22,1205.72,2.02,10,40,20,ESL226M450AHB(1),550,500
450,22,1205.72,2.02,16,20,20,ESL226M450AM5AA,550,500
450,33,803.814,1.82,10,50,20,ESL336M450AHE(1),665,500
450,33,803.814,1.82,16,25,20,ESL336M450AM7AA,665,500
450,47,564.38,1.38,12.5,50,20,ESL476M450AKB(1),730,500
450,47,564.38,1.38,16,35,20,ESL476M450AMPAA,730,500
450,56,473.676,1.38,16,35,20,ESL566M450AMPAA,750,500
450,68,390.086,1.25,18,35,20,ESL686M450ANAAA,970,500
450,82,323.486,0.97,18,40,20,ESL826M450AN3AA,1030,500
