Voltage,Capacitance,ESR 20°C@120Hz,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current,Status,Vibration resistant,Weight (g)
35,1500,0.106,38,16,25,-55,105,0.12,3000,1575,400,UPS1V152MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1900,MP,Normal,8.2
35,2200,0.084,33,16,30.5,-55,105,0.14,3000,2310,300,UPS1V222MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,2350,MP,Normal,9.6
35,3300,0.064,30,18,35.5,-55,105,0.16,3000,3465,250,UPS1V332MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,2700,MP,Normal,14.2
35,4700,0.051,27,18,40,-55,105,0.18,3000,4935,200,UPS1V472MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,3300,MP,Normal,17.7
50,2.2,60.286,4500,5,11,-55,105,0.1,2000,4,6000,UPS1H2R2MDD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,55,EOL,Normal,0.44
50,3.3,40.191,3900,5,11,-55,105,0.1,2000,5,6000,UPS1H3R3MDD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,65,EOL,Normal,0.44
50,4.7,28.219,3500,5,11,-55,105,0.1,2000,7,6000,UPS1H4R7MDD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,90,EOL,Normal,0.44
50,10,13.263,2100,5,11,-55,105,0.1,2000,15,6000,UPS1H100MDD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,120,EOL,Normal,0.44
50,22,6.029,1800,5,11,-55,105,0.1,2000,33,6000,UPS1H220MDD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,150,EOL,Normal,0.44
50,33,4.019,650,6.3,11,-55,105,0.1,2000,50,4000,UPS1H330MED,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,250,EOL,Normal,0.59
50,47,2.822,650,6.3,11,-55,105,0.1,2000,71,4000,UPS1H470MED,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,250,EOL,Normal,0.59
50,100,1.326,360,8,11.5,-55,105,0.1,2000,150,3000,UPS1H101MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,340,MP,Normal,1.19
50,150,0.884,260,10,12.5,-55,105,0.1,2000,225,2000,UPS1H151MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,490,MP,Normal,1.49
50,220,0.603,180,10,16,-55,105,0.1,2000,330,1800,UPS1H221MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,650,MP,Normal,1.77
50,330,0.402,150,10,20,-55,105,0.1,2000,495,1400,UPS1H331MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,810,MP,Normal,2.34
50,470,0.282,130,12.5,20,-55,105,0.1,3000,705,1000,UPS1H471MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1100,MP,Normal,3.43
50,680,0.195,100,12.5,25,-55,105,0.1,3000,1020,800,UPS1H681MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1200,MP,Normal,4.56
50,1000,0.133,58,16,25,-55,105,0.1,3000,1500,400,UPS1H102MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1600,MP,Normal,8.2
50,1500,0.088,40,16,30.5,-55,105,0.1,3000,2250,300,UPS1H152MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,2000,MP,Normal,9.6
50,2200,0.072,35,18,35.5,-55,105,0.12,3000,3300,250,UPS1H222MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,2300,MP,Normal,14.2
63,4.7,25.397,4700,5,11,-55,105,0.09,2000,9,6000,UPS1J4R7MDD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,68,EOL,Normal,0.44
