Voltage,Capacitance,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,ESR(est.) 20°C@120Hz,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 85°C@120Hz,Status,Vibration resistant,Weight (g)
50,220,12.5,20,-40,85,0.1,0.603,1000,110,1000,UFG1H221MHM,Uni-Polar,Radial Lead,Hi-Grade For Audio,390,EOL,Normal,3.43
50,330,12.5,20,-40,85,0.1,0.402,1000,165,1000,UFG1H331MHM,Uni-Polar,Radial Lead,Hi-Grade For Audio,488,EOL,Normal,3.43
50,470,16,25,-40,85,0.1,0.282,1000,235,400,UFG1H471MHM,Uni-Polar,Radial Lead,Hi-Grade For Audio,650,EOL,Normal,8.2
50,1000,16,30.5,-40,85,0.1,0.159,1000,500,300,UFG1H102MHM,Uni-Polar,Radial Lead,Hi-Grade For Audio,1143,EOL,Normal,9.6
63,10,6.3,11,-40,85,0.09,11.937,1000,6,4000,UFG1J100MEM,Uni-Polar,Radial Lead,Hi-Grade For Audio,50,EOL,Normal,0.59
63,22,8,11.5,-40,85,0.09,5.426,1000,14,3000,UFG1J220MPM,Uni-Polar,Radial Lead,Hi-Grade For Audio,85,EOL,Normal,1.19
63,33,8,11.5,-40,85,0.09,3.617,1000,21,3000,UFG1J330MPM,Uni-Polar,Radial Lead,Hi-Grade For Audio,105,EOL,Normal,1.19
63,47,10,12.5,-40,85,0.09,2.54,1000,30,2000,UFG1J470MPM,Uni-Polar,Radial Lead,Hi-Grade For Audio,140,EOL,Normal,1.49
63,100,10,20,-40,85,0.09,1.194,1000,63,1400,UFG1J101MPM,Uni-Polar,Radial Lead,Hi-Grade For Audio,255,EOL,Normal,2.34
63,220,12.5,20,-40,85,0.09,0.543,1000,139,1000,UFG1J221MHM,Uni-Polar,Radial Lead,Hi-Grade For Audio,420,EOL,Normal,3.43
63,330,12.5,25,-40,85,0.09,0.362,1000,208,800,UFG1J331MHM,Uni-Polar,Radial Lead,Hi-Grade For Audio,541,EOL,Normal,4.56
63,470,16,25,-40,85,0.09,0.254,1000,296,400,UFG1J471MHM,Uni-Polar,Radial Lead,Hi-Grade For Audio,840,EOL,Normal,8.2
63,1000,18,35.5,-40,85,0.09,0.146,1000,630,250,UFG1J102MHM,Uni-Polar,Radial Lead,Hi-Grade For Audio,1400,EOL,Normal,14.2
80,10,6.3,11,-40,85,0.09,11.937,1000,8,4000,UFG1K100MEM,Uni-Polar,Radial Lead,Hi-Grade For Audio,55,EOL,Normal,0.59
80,22,8,11.5,-40,85,0.09,5.426,1000,18,3000,UFG1K220MPM,Uni-Polar,Radial Lead,Hi-Grade For Audio,100,EOL,Normal,1.19
80,33,10,12.5,-40,85,0.09,3.617,1000,26,2000,UFG1K330MPM,Uni-Polar,Radial Lead,Hi-Grade For Audio,130,EOL,Normal,1.49
80,47,10,16,-40,85,0.09,2.54,1000,38,1800,UFG1K470MPM,Uni-Polar,Radial Lead,Hi-Grade For Audio,170,EOL,Normal,1.77
80,100,12.5,20,-40,85,0.09,1.194,1000,80,1000,UFG1K101MHM,Uni-Polar,Radial Lead,Hi-Grade For Audio,270,EOL,Normal,3.43
80,220,12.5,25,-40,85,0.09,0.543,1000,176,800,UFG1K221MHM,Uni-Polar,Radial Lead,Hi-Grade For Audio,490,EOL,Normal,4.56
80,330,16,30.5,-40,85,0.09,0.362,1000,264,300,UFG1K331MHM,Uni-Polar,Radial Lead,Hi-Grade For Audio,650,EOL,Normal,9.6
80,470,16,35.5,-40,85,0.09,0.254,1000,376,300,UFG1K471MHM,Uni-Polar,Radial Lead,Hi-Grade For Audio,920,EOL,Normal,11.8
100,1,5,11,-40,85,0.08,106.103,1000,3,6000,UFG2A010MDM,Uni-Polar,Radial Lead,Hi-Grade For Audio,15,EOL,Normal,0.44
100,2.2,5,11,-40,85,0.08,48.229,1000,3,6000,UFG2A2R2MDM,Uni-Polar,Radial Lead,Hi-Grade For Audio,22,EOL,Normal,0.44
100,3.3,5,11,-40,85,0.08,32.153,1000,3,6000,UFG2A3R3MDM,Uni-Polar,Radial Lead,Hi-Grade For Audio,27,EOL,Normal,0.44
100,4.7,5,11,-40,85,0.08,22.575,1000,5,6000,UFG2A4R7MDM,Uni-Polar,Radial Lead,Hi-Grade For Audio,36,EOL,Normal,0.44
100,10,8,11.5,-40,85,0.08,10.61,1000,10,3000,UFG2A100MPM,Uni-Polar,Radial Lead,Hi-Grade For Audio,65,EOL,Normal,1.19
100,22,10,12.5,-40,85,0.08,4.823,1000,22,2000,UFG2A220MPM,Uni-Polar,Radial Lead,Hi-Grade For Audio,110,EOL,Normal,1.49
100,33,10,16,-40,85,0.08,3.215,1000,33,1800,UFG2A330MPM,Uni-Polar,Radial Lead,Hi-Grade For Audio,150,EOL,Normal,1.77
100,47,10,20,-40,85,0.08,2.258,1000,47,1400,UFG2A470MPM,Uni-Polar,Radial Lead,Hi-Grade For Audio,190,EOL,Normal,2.34
100,100,12.5,20,-40,85,0.08,1.061,1000,100,1000,UFG2A101MHM,Uni-Polar,Radial Lead,Hi-Grade For Audio,300,EOL,Normal,3.43
100,220,16,25,-40,85,0.08,0.482,1000,220,400,UFG2A221MHM,Uni-Polar,Radial Lead,Hi-Grade For Audio,549,EOL,Normal,8.2
100,330,16,30.5,-40,85,0.08,0.322,1000,330,300,UFG2A331MHM,Uni-Polar,Radial Lead,Hi-Grade For Audio,734,EOL,Normal,9.6
100,470,18,35.5,-40,85,0.08,0.226,1000,470,250,UFG2A471MHM,Uni-Polar,Radial Lead,Hi-Grade For Audio,980,EOL,Normal,14.2
