Voltage,Capacitance,ESR 20°C@120Hz,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,Endurance,Impedance -10°C@100kHz,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 105°C@100kHz,Status,Vibration resistant,Weight (g)
35,680,0.215,0.017,10,25,-40,105,0.11,10000,0.051,238,1200,UHW1V681MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2900,MP,Normal,3.07
35,820,0.178,0.017,10,25,-40,105,0.11,10000,0.051,287,1200,UHW1V821MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2900,MP,Normal,3.07
35,820,0.178,0.017,12.5,20,-40,105,0.11,10000,0.051,287,1000,UHW1V821MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2600,MP,Normal,3.43
35,1000,0.146,0.017,12.5,20,-40,105,0.11,10000,0.051,350,1000,UHW1V102MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2600,MP,Normal,3.43
35,1200,0.122,0.015,12.5,25,-40,105,0.11,10000,0.045,420,800,UHW1V122MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3200,MP,Normal,4.56
35,1500,0.097,0.015,16,20,-40,105,0.11,10000,0.045,525,600,UHW1V152MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3575,MP,Normal,6.6
35,1800,0.081,0.012,12.5,30.5,-40,105,0.11,10000,0.036,630,600,UHW1V182MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3795,MP,Normal,6.01
35,1800,0.081,0.013,16,25,-40,105,0.11,10000,0.039,630,400,UHW1V182MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3810,MP,Normal,8.2
35,2200,0.078,0.011,12.5,35.5,-40,105,0.13,10000,0.033,770,500,UHW1V222MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,4120,MP,Normal,7.06
35,2200,0.078,0.013,16,25,-40,105,0.13,10000,0.039,770,400,UHW1V222MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3810,MP,Normal,8.2
35,3300,0.06,0.011,16,30.5,-40,105,0.15,10000,0.033,1155,300,UHW1V332MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,4000,MP,Normal,9.6
35,3900,0.051,0.01,16,35.5,-40,105,0.15,10000,0.03,1365,300,UHW1V392MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,4200,MP,Normal,11.8
50,27,4.912,0.47,5,11,-40,105,0.1,7000,1.5,14,6000,UHW1H270MDD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,450,EOL,Normal,0.44
50,56,2.368,0.2,6.3,11,-40,105,0.1,7000,0.66,28,4000,UHW1H560MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,700,EOL,Normal,0.59
50,100,1.326,0.1,8,11.5,-40,105,0.1,9000,0.36,50,3000,UHW1H101MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1200,MP,Normal,1.19
50,120,1.105,0.1,8,11.5,-40,105,0.1,9000,0.36,60,3000,UHW1H121MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1200,MP,Normal,1.19
50,150,0.884,0.054,8,15,-40,105,0.1,10000,0.17,75,2000,UHW1H151MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1600,MP,Normal,1.36
50,180,0.737,0.048,10,12.5,-40,105,0.1,10000,0.15,90,2000,UHW1H181MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1700,MP,Normal,1.49
50,220,0.603,0.048,10,12.5,-40,105,0.1,10000,0.15,110,2000,UHW1H221MPD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1700,MP,Normal,1.49
50,220,0.603,0.042,10,16,-40,105,0.1,10000,0.126,110,1800,UHW1H221MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1650,MP,Normal,1.77
50,270,0.491,0.038,8,20,-40,105,0.1,10000,0.12,135,2000,UHW1H271MPD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1960,MP,Normal,1.66
50,270,0.491,0.03,10,20,-40,105,0.1,10000,0.09,135,1400,UHW1H271MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2060,MP,Normal,2.34
50,330,0.402,0.03,10,20,-40,105,0.1,10000,0.09,165,1400,UHW1H331MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2060,MP,Normal,2.34
50,390,0.34,0.03,10,20,-40,105,0.1,10000,0.09,195,1400,UHW1H391MPD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2060,MP,Normal,2.34
50,390,0.34,0.028,10,25,-40,105,0.1,10000,0.084,195,1200,UHW1H391MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2420,MP,Normal,3.07
50,470,0.282,0.028,10,25,-40,105,0.1,10000,0.084,235,1200,UHW1H471MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2420,MP,Normal,3.07
50,470,0.282,0.027,12.5,20,-40,105,0.1,10000,0.081,235,1000,UHW1H471MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2300,MP,Normal,3.43
50,560,0.237,0.027,12.5,20,-40,105,0.1,10000,0.081,280,1000,UHW1H561MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2300,MP,Normal,3.43
50,680,0.195,0.023,12.5,25,-40,105,0.1,10000,0.069,340,800,UHW1H681MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2800,MP,Normal,4.56
50,820,0.162,0.023,12.5,25,-40,105,0.1,10000,0.069,410,800,UHW1H821MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2800,MP,Normal,4.56
50,820,0.162,0.023,16,20,-40,105,0.1,10000,0.069,410,600,UHW1H821MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3070,MP,Normal,6.6
50,1000,0.133,0.02,12.5,30.5,-40,105,0.1,10000,0.06,500,600,UHW1H102MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3500,MP,Normal,6.01
50,1000,0.133,0.021,16,25,-40,105,0.1,10000,0.063,500,400,UHW1H102MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3270,MP,Normal,8.2
50,1200,0.111,0.021,16,25,-40,105,0.1,10000,0.063,600,400,UHW1H122MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3270,MP,Normal,8.2
50,1500,0.088,0.019,12.5,35.5,-40,105,0.1,10000,0.057,750,500,UHW1H152MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3810,MP,Normal,7.06
50,1500,0.088,0.021,16,25,-40,105,0.1,10000,0.063,750,400,UHW1H152MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3270,MP,Normal,8.2
50,1800,0.074,0.019,16,30.5,-40,105,0.1,10000,0.057,900,300,UHW1H182MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3430,MP,Normal,9.6
50,2200,0.072,0.019,16,30.5,-40,105,0.12,10000,0.057,1100,300,UHW1H222MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3430,MP,Normal,9.6
50,2700,0.059,0.018,16,35.5,-40,105,0.12,10000,0.054,1350,300,UHW1H272MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3600,MP,Normal,11.8
