Voltage,Capacitance,Dissipation Factor,Case Size Diameter,Case Size Length,ESR(est.) 20°C@120Hz,Endurance,Lead Diameter,Lead Space,Lead Space Taping,Lead Space Taping_1,Part Number,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,Ripple Current 105°C@60Hz,Straight leads,Taping,VC
400,10,0.24,10,20,31.831,5000,0.6,5,5,,EEUEB2G100(),412.5,387.5,250,350,187.5,200,500,4000
400,22,0.24,12.5,25,14.469,5000,0.6,5,5,,EEUEB2G220(),533,512.5,410,492,348.5,200,500,8800
400,22,0.24,16,20,14.469,5000,0.8,7.5,7.5,,EEUEB2G220S(),533,512.5,410,492,348.5,100,250,8800
400,33,0.24,16,25,9.646,5000,0.8,7.5,7.5,,EEUEB2G330(),780,750,600,720,510,100,250,13200
400,33,0.24,18,20,9.646,5000,0.8,7.5,7.5,,EEUEB2G330S(),780,750,600,720,510,100,250,13200
400,47,0.24,16,31.5,6.773,5000,0.8,7.5,,,EEUEB2G470,949,912.5,730,876,620.5,100,,18800
400,47,0.24,18,25,6.773,5000,0.8,7.5,7.5,,EEUEB2G470S(),949,912.5,730,876,620.5,100,250,18800
450,10,0.24,12.5,20,31.831,5000,0.6,5,5,,EEUEB2W100(),511.5,480.5,310,434,232.5,200,500,4500
450,22,0.24,16,25,14.469,5000,0.8,7.5,7.5,,EEUEB2W220(),728,700,560,672,476,100,250,9900
450,22,0.24,18,20,14.469,5000,0.8,7.5,7.5,,EEUEB2W220S(),728,700,560,672,476,100,250,9900
450,33,0.24,16,31.5,9.646,5000,0.8,7.5,,,EEUEB2W330(),884,850,680,816,578,100,,14850
450,33,0.24,18,25,9.646,5000,0.8,7.5,7.5,,EEUEB2W330S(),884,850,680,816,578,100,250,14850
450,47,0.24,18,31.5,6.773,5000,0.8,7.5,,,EEUEB2W470,1105,1062.5,850,1020,722.5,50,,21150
