Voltage,Capacitance,ESR(est.) 20°C@10kHz,ESR(est.) 20°C@100kHz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,ESR(est.) 20°C@120Hz,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,Ripple Current 105°C@300Hz,Ripple Current 105°C@50Hz,Status,VC,Vibration resistant,Weight (g)
35,100,0.943,0.943,6.3,11,-55,105,0.16,2.122,2000,105,4000,UKA1V101MED,Uni-Polar,Radial Lead,105degC Hi-Grade,225,225,150,201,184.5,120,EOL,3500,Normal,0.59
35,220,0.429,0.429,8,11.5,-55,105,0.16,0.965,2000,231,3000,UKA1V221MPD,Uni-Polar,Radial Lead,105degC Hi-Grade,390,390,260,348.4,319.8,208,MP,7700,Normal,1.19
35,330,0.286,0.286,10,12.5,-55,105,0.16,0.643,2000,347,2000,UKA1V331MPD,Uni-Polar,Radial Lead,105degC Hi-Grade,525,525,350,469,430.5,280,MP,11550,Normal,1.49
35,470,0.201,0.201,10,16,-55,105,0.16,0.452,2000,494,1800,UKA1V471MPD,Uni-Polar,Radial Lead,105degC Hi-Grade,690,690,460,616.4,565.8,368,MP,16450,Normal,1.77
35,1000,0.181,0.181,12.5,25,-55,105,0.16,0.239,2000,1050,800,UKA1V102MHD,Uni-Polar,Radial Lead,105degC Hi-Grade,989,989,860,971.8,946,731,MP,35000,Normal,4.56
35,2200,0.1,0.1,12.5,40,-55,105,0.18,0.133,2000,2310,400,UKA1V222MHD,Uni-Polar,Radial Lead,105degC Hi-Grade,1449,1449,1260,1423.8,1386,1071,MP,77000,Normal,7.57
35,3300,0.079,0.079,16,35.5,-55,105,0.2,0.104,2000,3465,300,UKA1V332MHD,Uni-Polar,Radial Lead,105degC Hi-Grade,1851.5,1851.5,1610,1819.3,1771,1368.5,MP,115500,Normal,11.8
35,4700,0.064,0.064,18,35.5,-55,105,0.22,0.085,2000,4935,250,UKA1V472MHD,Uni-Polar,Radial Lead,105degC Hi-Grade,2196.5,2196.5,1910,2158.3,2101,1623.5,MP,164500,Normal,14.2
50,22,,,5,11,-55,105,0.14,8.44,2000,33,6000,UKA1H220MDD,Uni-Polar,Radial Lead,105degC Hi-Grade,,,68,,,,EOL,1100,Normal,0.44
50,33,,,5,11,-55,105,0.14,5.627,2000,50,6000,UKA1H330MDD,Uni-Polar,Radial Lead,105degC Hi-Grade,,,90,,,,EOL,1650,Normal,0.44
50,47,,,6.3,11,-55,105,0.14,3.951,2000,71,4000,UKA1H470MED,Uni-Polar,Radial Lead,105degC Hi-Grade,,,115,,,,EOL,2350,Normal,0.59
50,100,0.825,0.825,8,11.5,-55,105,0.14,1.857,2000,150,3000,UKA1H101MPD,Uni-Polar,Radial Lead,105degC Hi-Grade,285,285,190,254.6,233.7,152,MP,5000,Normal,1.19
50,220,0.375,0.375,10,12.5,-55,105,0.14,0.844,2000,330,2000,UKA1H221MPD,Uni-Polar,Radial Lead,105degC Hi-Grade,450,450,300,402,369,240,MP,11000,Normal,1.49
50,330,0.25,0.25,10,16,-55,105,0.14,0.563,2000,495,1800,UKA1H331MPD,Uni-Polar,Radial Lead,105degC Hi-Grade,615,615,410,549.4,504.3,328,MP,16500,Normal,1.77
50,470,0.176,0.176,12.5,20,-55,105,0.14,0.395,2000,705,1000,UKA1H471MHD,Uni-Polar,Radial Lead,105degC Hi-Grade,795,795,530,710.2,651.9,424,MP,23500,Normal,3.43
50,1000,0.16,0.16,12.5,30.5,-55,105,0.14,0.212,2000,1500,600,UKA1H102MHD,Uni-Polar,Radial Lead,105degC Hi-Grade,1196,1196,1040,1175.2,1144,884,MP,50000,Normal,6.01
50,2200,0.091,0.091,16,35.5,-55,105,0.16,0.121,2000,3300,300,UKA1H222MHD,Uni-Polar,Radial Lead,105degC Hi-Grade,1690.5,1690.5,1470,1661.1,1617,1249.5,MP,110000,Normal,11.8
50,3300,0.073,0.073,18,35.5,-55,105,0.18,0.096,2000,4950,250,UKA1H332MHD,Uni-Polar,Radial Lead,105degC Hi-Grade,2035.5,2035.5,1770,2000.1,1947,1504.5,MP,165000,Normal,14.2
