Voltage,Capacitance,Dissipation Factor,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),ESR(est.) 20°C@120Hz,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,Ripple Current 105°C@500Hz,Ripple Current 105°C@60Hz,Status,V,VC,Vibration resistant,Weight (g)
420,150,0.2,18,40,-40,105,1.768,2000,2620,200,UPZW6151MHD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,1065,1065,710,994,887.5,568,MP,400 to 450,63000,Normal,17.7
450,18,0.2,10,30.5,-40,105,14.737,2000,424,1000,UPZ2W180MPD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,252,252,180,234,216,144,MP,200,8100,Normal,3.21
450,18,0.2,10,30.5,-40,105,14.737,2000,424,1000,UPZ2W180MPD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,270,270,180,252,225,144,MP,400 to 450,8100,Normal,3.21
450,33,0.2,10,40,-40,105,8.038,2000,694,500,UPZ2W330MND9,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,504,504,360,468,432,288,LTB,200,14850,Normal,5.24
450,33,0.2,10,40,-40,105,8.038,2000,694,500,UPZ2W330MND9,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,540,540,360,504,450,288,LTB,400 to 450,14850,Normal,5.24
450,33,0.2,12.5,30.5,-40,105,8.038,2000,694,600,UPZ2W330MHD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,392,392,280,364,336,224,MP,200,14850,Normal,6.01
450,33,0.2,12.5,30.5,-40,105,8.038,2000,694,600,UPZ2W330MHD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,420,420,280,392,350,224,MP,400 to 450,14850,Normal,6.01
450,39,0.2,12.5,35.5,-40,105,6.801,2000,802,500,UPZ2W390MHD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,448,448,320,416,384,256,MP,200,17550,Normal,7.06
450,39,0.2,12.5,35.5,-40,105,6.801,2000,802,500,UPZ2W390MHD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,480,480,320,448,400,256,MP,400 to 450,17550,Normal,7.06
450,47,0.2,10,50,-40,105,5.644,2000,946,300,UPZ2W470MND9,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,630,630,450,585,540,360,LTB,200,21150,Normal,6.45
450,47,0.2,10,50,-40,105,5.644,2000,946,300,UPZ2W470MND9,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,675,675,450,630,562.5,360,LTB,400 to 450,21150,Normal,6.45
450,47,0.2,12.5,40,-40,105,5.644,2000,946,400,UPZ2W470MHD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,532,532,380,494,456,304,MP,200,21150,Normal,7.57
450,47,0.2,12.5,40,-40,105,5.644,2000,946,400,UPZ2W470MHD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,570,570,380,532,475,304,MP,400 to 450,21150,Normal,7.57
450,56,0.2,16,30.5,-40,105,4.737,2000,1108,300,UPZ2W560MHD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,616,616,440,572,528,352,MP,200,25200,Normal,9.6
450,56,0.2,16,30.5,-40,105,4.737,2000,1108,300,UPZ2W560MHD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,660,660,440,616,550,352,MP,400 to 450,25200,Normal,9.6
