Voltage,Capacitance,ESR(est.) 20°C@10kHz,ESR(est.) 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR(est.) 20°C@120Hz,Part Number,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,Ripple Current 105°C@300Hz,Ripple Current 105°C@50Hz,VC
200,100,1.353,1.179,16,25,0.2,2.653,EKMG201E□□101ML25S,502.5,469,335,435.5,385.25,268,20000
200,220,0.615,0.536,18,35.5,0.2,1.206,EKMG201E□□221MMP1S,862.5,805,575,747.5,661.25,460,44000
250,2.2,22.792,19.292,6.3,11,0.2,120.572,EKMG251E□□2R2MF11D,57.5,52.9,23,40.25,31.05,14.95,550
250,3.3,15.195,12.861,8,11.5,0.2,80.381,EKMG251E□□3R3MHB5D,80,73.6,32,56,43.2,20.8,825
250,4.7,10.669,9.03,8,11.5,0.2,56.438,EKMG251E□□4R7MHB5D,97.5,89.7,39,68.25,52.65,25.35,1175
250,10,8.662,8.187,10,16,0.2,26.526,EKMG251E□□100MJ16S,133.2,129.5,74,111,92.5,55.5,2500
250,22,3.937,3.721,12.5,20,0.2,12.057,EKMG251E□□220MK20S,234,227.5,130,195,162.5,97.5,5500
250,33,2.625,2.481,12.5,20,0.2,8.038,EKMG251E□□330MK20S,288,280,160,240,200,120,8250
250,47,1.843,1.742,12.5,25,0.2,5.644,EKMG251E□□470MK25S,378,367.5,210,315,262.5,157.5,11750
250,100,1.353,1.179,16,31.5,0.2,2.653,EKMG251E□□101MLN3S,547.5,511,365,474.5,419.75,292,25000
250,220,0.615,0.536,18,40,0.2,1.206,EKMG251E□□221MM40S,877.5,819,585,760.5,672.75,468,55000
350,1,60.172,50.93,6.3,11,0.24,318.31,EKMG351E□□1R0MF11D,37.5,34.5,15,26.25,20.25,9.75,350
350,2.2,27.351,23.15,8,11.5,0.24,144.686,EKMG351E□□2R2MHB5D,65,59.8,26,45.5,35.1,16.9,770.0000000000001
350,3.3,18.234,15.433,10,12.5,0.24,96.458,EKMG351E□□3R3MJC5S,95,87.4,38,66.5,51.3,24.7,1155
350,4.7,12.803,10.836,10,16,0.24,67.726,EKMG351E□□4R7MJ16S,125,115,50,87.5,67.5,32.5,1645
350,10,10.394,9.824,10,20,0.24,31.831,EKMG351E□□100MJ20S,144,140,80,120,100,60,3500
350,22,4.724,4.466,12.5,20,0.24,14.469,EKMG351E□□220MK20S,234,227.5,130,195,162.5,97.5,7700
350,33,3.15,2.977,16,25,0.24,9.646,EKMG351E□□330ML25S,351,341.25,195,292.5,243.75,146.25,11550
350,47,2.211,2.09,16,25,0.24,6.773,EKMG351E□□470ML25S,414,402.5,230,345,287.5,172.5,16450
350,100,1.624,1.415,18,31.5,0.24,3.183,EKMG351E□□101MMN3S,562.5,525,375,487.5,431.25,300,35000
400,1,60.172,50.93,6.3,11,0.24,318.31,EKMG401E□□1R0MF11D,37.5,34.5,15,26.25,20.25,9.75,400
400,2.2,27.351,23.15,8,11.5,0.24,144.686,EKMG401E□□2R2MHB5D,65,59.8,26,45.5,35.1,16.9,880.0000000000001
400,3.3,18.234,15.433,10,12.5,0.24,96.458,EKMG401E□□3R3MJC5S,95,87.4,38,66.5,51.3,24.7,1320
400,4.7,12.803,10.836,10,16,0.24,67.726,EKMG401E□□4R7MJ16S,125,115,50,87.5,67.5,32.5,1880
400,10,10.394,9.824,10,20,0.24,31.831,EKMG401E□□100MJ20S,144,140,80,120,100,60,4000
400,22,4.724,4.466,12.5,25,0.24,14.469,EKMG401E□□220MK25S,261,253.75,145,217.5,181.25,108.75,8800
400,33,3.15,2.977,16,25,0.24,9.646,EKMG401E□□330ML25S,351,341.25,195,292.5,243.75,146.25,13200
400,47,2.211,2.09,16,31.5,0.24,6.773,EKMG401E□□470MLN3S,450,437.5,250,375,312.5,187.5,18800
400,100,1.624,1.415,16,40,0.24,3.183,EKMG401E□□101ML40S,525,490,350,455,402.5,280,40000
450,2.2,27.351,23.15,10,12.5,0.24,144.686,EKMG451E□□2R2MJC5S,57.5,52.9,23,40.25,31.05,14.95,990.0000000000001
450,3.3,18.234,15.433,10,16,0.24,96.458,EKMG451E□□3R3MJ16S,77.5,71.3,31,54.25,41.85,20.15,1485
450,4.7,12.803,10.836,10,20,0.24,67.726,EKMG451E□□4R7MJ20S,100,92,40,70,54,26,2115
450,10,10.394,9.824,12.5,20,0.24,31.831,EKMG451E□□100MK20S,117,113.75,65,97.5,81.25,48.75,4500
450,22,4.724,4.466,16,25,0.24,14.469,EKMG451E□□220ML25S,207,201.25,115,172.5,143.75,86.25,9900
450,33,3.15,2.977,16,31.5,0.24,9.646,EKMG451E□□330MLN3S,279,271.25,155,232.5,193.75,116.25,14850
450,47,2.211,2.09,16,35.5,0.24,6.773,EKMG451E□□470MLP1S,333,323.75,185,277.5,231.25,138.75,21150
