Voltage,Capacitance,Dissipation Factor,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),ESR(est.) 20°C@120Hz,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,Ripple Current 105°C@300Hz,Ripple Current 105°C@50Hz,Status,VC,Vibration resistant,Weight (g)
16,6800,0.26,0.03,18,35.5,-55,105,0.074,3000,3264,250,UPS1C682MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,2700,2700,2347.83,2653.04,2582.61,2019.13,MP,108800,Normal,14.2
16,10000,0.34,0.027,18,40,-55,105,0.072,3000,4800,200,UPS1C103MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,3300,3300,2869.57,3242.61,3156.52,2467.83,MP,160000,Normal,17.7
25,4.7,0.14,1.5,5,11,-55,105,39.507,2000,4,6000,UPS1E4R7MDD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,160,,,,,,EOL,117.5,Normal,0.44
25,10,0.14,1.5,5,11,-55,105,18.568,2000,8,6000,UPS1E100MDD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,160,,,,,,EOL,250,Normal,0.44
25,22,0.14,1.5,5,11,-55,105,8.44,2000,17,6000,UPS1E220MDD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,160,160,27.21,103.95,63.95,,EOL,550,Normal,0.44
25,33,0.14,1.5,5,11,-55,105,5.627,2000,25,6000,UPS1E330MDD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,160,160,27.21,103.95,63.95,,EOL,825,Normal,0.44
25,47,0.14,1.5,5,11,-55,105,3.951,2000,35,6000,UPS1E470MDD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,160,160,27.21,103.95,63.95,,EOL,1175,Normal,0.44
25,100,0.14,0.5,6.3,11,-55,105,1.857,2000,75,4000,UPS1E101MED,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,250,250,125,200,162.5,75,EOL,2500,Normal,0.59
25,150,0.14,0.28,8,11.5,-55,105,1.238,2000,113,3000,UPS1E151MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,410,410,205,328,266.5,123,MP,3750,Normal,1.19
25,220,0.14,0.28,8,11.5,-55,105,0.844,2000,165,3000,UPS1E221MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,410,410,205,328,266.5,123,MP,5500,Normal,1.19
25,330,0.14,0.19,10,12.5,-55,105,0.563,2000,248,2000,UPS1E331MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,600,600,425.53,540.43,489.36,340.43,MP,8250,Normal,1.49
25,470,0.14,0.14,10,16,-55,105,0.395,2000,353,1800,UPS1E471MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,800,800,567.38,720.57,652.48,453.9,MP,11750,Normal,1.77
25,680,0.14,0.11,10,20,-55,105,0.273,2000,510,1400,UPS1E681MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1000,1000,709.22,900.71,815.6,567.38,MP,17000,Normal,2.34
25,1000,0.14,0.075,12.5,20,-55,105,0.212,3000,750,1000,UPS1E102MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1250,1250,1086.96,1228.26,1195.65,934.78,MP,25000,Normal,3.43
