Voltage,Capacitance,ESR(est.) 20°C@10kHz,ESR(est.) 20°C@100kHz,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,ESR(est.) 20°C@120Hz,Endurance,Impedance -10°C@100kHz,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,Ripple Current 105°C@300Hz,Ripple Current 105°C@50Hz,Status,VC,Vibration resistant,Weight (g)
16,1000,0.135,0.135,0.035,10,20,-55,105,0.16,0.239,4000,0.07,480,1400,UPA1C102MPD3,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1490,1490,1120.3,1344.36,1198.72,1041.88,MP,16000,Normal,2.34
16,1200,0.143,0.143,0.035,10,20,-55,105,0.16,0.199,4000,0.07,576,1400,UPA1C122MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1490,1490,1262.71,1414.24,1338.47,1186.95,MP,19200,Normal,2.34
16,1500,0.114,0.114,0.033,10,25,-55,105,0.16,0.159,4000,0.066,720,1200,UPA1C152MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1680,1680,1423.73,1594.58,1509.15,1338.31,MP,24000,Normal,3.07
16,2200,0.095,0.095,0.029,12.5,20,-55,105,0.18,0.133,5000,0.058,1056,1000,UPA1C222MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1890,1890,1601.69,1793.9,1697.8,1505.59,MP,35200,Normal,3.43
16,2200,0.095,0.095,0.022,12.5,25,-55,105,0.18,0.133,5000,0.044,1056,800,UPA1C222MHD3,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,2280,2280,1932.2,2164.07,2048.14,1816.27,MP,35200,Normal,4.56
16,2700,0.078,0.078,0.022,12.5,25,-55,105,0.18,0.108,5000,0.044,1296,800,UPA1C272MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,2280,2280,1932.2,2164.07,2048.14,1816.27,MP,43200,Normal,4.56
16,3300,0.075,0.075,0.018,12.5,30.5,-55,105,0.2,0.104,5000,0.036,1584,600,UPA1C332MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,2720,2720,2305.08,2581.69,2443.39,2166.78,MP,52800,Normal,6.01
16,3300,0.075,0.075,0.026,16,20,-55,105,0.2,0.104,5000,0.052,1584,600,UPA1C332MHD6,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,2330,2330,1974.58,2211.53,2093.05,1856.1,MP,52800,Normal,6.6
16,3900,0.064,0.064,0.016,12.5,35.5,-55,105,0.2,0.088,5000,0.032,1872,500,UPA1C392MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,2940,2940,2491.53,2790.51,2641.02,2342.03,MP,62400,Normal,7.06
16,4700,0.061,0.061,0.019,16,25,-55,105,0.22,0.085,5000,0.038,2256,400,UPA1C472MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,2760,2760,2338.98,2619.66,2479.32,2198.64,MP,75200,Normal,8.2
16,4700,0.061,0.061,0.025,18,20,-55,105,0.22,0.085,5000,0.05,2256,400,UPA1C472MHD6,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,2640,2640,2237.29,2505.76,2371.53,2103.05,MP,75200,Normal,9
16,5600,0.058,0.058,0.017,16,30.5,-55,105,0.24,0.081,5000,0.035,2688,300,UPA1C562MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,2810,2810,2381.36,2667.12,2524.24,2238.47,MP,89600,Normal,9.6
16,5600,0.058,0.058,0.018,18,25,-55,105,0.24,0.081,5000,0.036,2688,300,UPA1C562MHD6,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,2850,2850,2415.25,2705.08,2560.17,2270.34,MP,89600,Normal,10.6
16,6800,0.053,0.053,0.018,18,25,-55,105,0.26,0.074,5000,0.036,3264,300,UPA1C682MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,2850,2850,2415.25,2705.08,2560.17,2270.34,MP,108800,Normal,10.6
25,270,0.29,0.29,0.09,8,11.5,-55,105,0.14,0.688,3000,0.18,203,3000,UPA1E271MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,630,630,409.09,535.91,470.45,347.73,MP,6750,Normal,1.19
25,330,0.237,0.237,0.09,8,11.5,-55,105,0.14,0.563,3000,0.18,248,3000,UPA1E331MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,630,630,409.09,535.91,470.45,347.73,MP,8250,Normal,1.19
25,390,0.269,0.269,0.062,8,15,-55,105,0.14,0.476,3000,0.124,293,2000,UPA1E391MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,860,860,646.62,775.94,691.88,601.35,MP,9750,Normal,1.36
25,470,0.223,0.223,0.062,8,15,-55,105,0.14,0.395,3000,0.124,353,2000,UPA1E471MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,860,860,646.62,775.94,691.88,601.35,MP,11750,Normal,1.36
25,470,0.223,0.223,0.063,10,12.5,-55,105,0.14,0.395,4000,0.126,353,2000,UPA1E471MPD6,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,900,900,676.69,812.03,724.06,629.32,MP,11750,Normal,1.49
25,560,0.187,0.187,0.044,8,20,-55,105,0.14,0.332,3000,0.088,420,2000,UPA1E561MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1220,1220,917.29,1100.75,981.5,853.08,MP,14000,Normal,1.66
25,560,0.187,0.187,0.049,10,16,-55,105,0.14,0.332,4000,0.098,420,1800,UPA1E561MPD6,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1240,1240,932.33,1118.8,997.59,867.07,MP,14000,Normal,1.77
25,680,0.154,0.154,0.049,10,16,-55,105,0.14,0.273,4000,0.098,510,1800,UPA1E681MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1240,1240,932.33,1118.8,997.59,867.07,MP,17000,Normal,1.77
25,820,0.128,0.128,0.035,10,20,-55,105,0.14,0.226,4000,0.07,615,1400,UPA1E821MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1490,1490,1120.3,1344.36,1198.72,1041.88,MP,20500,Normal,2.34
25,1000,0.12,0.12,0.033,10,25,-55,105,0.14,0.212,4000,0.066,750,1200,UPA1E102MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1680,1680,1263.16,1515.79,1351.58,1174.74,MP,25000,Normal,3.07
25,1000,0.12,0.12,0.029,12.5,20,-55,105,0.14,0.212,5000,0.058,750,1000,UPA1E102MHD3,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1890,1890,1421.05,1705.26,1520.53,1321.58,MP,25000,Normal,3.43
25,1200,0.127,0.127,0.029,12.5,20,-55,105,0.14,0.177,5000,0.058,900,1000,UPA1E122MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1890,1890,1601.69,1793.9,1697.8,1505.59,MP,30000,Normal,3.43
25,1800,0.085,0.085,0.022,12.5,25,-55,105,0.14,0.118,5000,0.044,1350,800,UPA1E182MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,2280,2280,1932.2,2164.07,2048.14,1816.27,MP,45000,Normal,4.56
25,2200,0.087,0.087,0.018,12.5,30.5,-55,105,0.16,0.121,5000,0.036,1650,600,UPA1E222MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,2720,2720,2305.08,2581.69,2443.39,2166.78,MP,55000,Normal,6.01
25,2200,0.087,0.087,0.026,16,20,-55,105,0.16,0.121,5000,0.052,1650,600,UPA1E222MHD6,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,2330,2330,1974.58,2211.53,2093.05,1856.1,MP,55000,Normal,6.6
25,2700,0.071,0.071,0.016,12.5,35.5,-55,105,0.16,0.098,5000,0.032,2025,500,UPA1E272MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,2940,2940,2491.53,2790.51,2641.02,2342.03,MP,67500,Normal,7.06
25,3300,0.069,0.069,0.019,16,25,-55,105,0.18,0.096,5000,0.038,2475,400,UPA1E332MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,2760,2760,2338.98,2619.66,2479.32,2198.64,MP,82500,Normal,8.2
25,3300,0.069,0.069,0.025,18,20,-55,105,0.18,0.096,5000,0.05,2475,400,UPA1E332MHD6,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,2640,2640,2237.29,2505.76,2371.53,2103.05,MP,82500,Normal,9
25,4700,0.057,0.057,0.018,18,25,-55,105,0.2,0.079,5000,0.036,3525,300,UPA1E472MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,2850,2850,2415.25,2705.08,2560.17,2270.34,MP,117500,Normal,10.6
35,180,0.373,0.373,0.09,8,11.5,-55,105,0.12,0.884,3000,0.18,189,3000,UPA1V181MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,630,630,409.09,535.91,470.45,347.73,MP,6300,Normal,1.19
35,270,0.249,0.249,0.062,8,15,-55,105,0.12,0.589,3000,0.124,284,2000,UPA1V271MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,860,860,558.44,731.56,642.21,474.68,MP,9450,Normal,1.36
35,270,0.249,0.249,0.063,10,12.5,-55,105,0.12,0.589,4000,0.126,284,2000,UPA1V271MPD6,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,900,900,584.42,765.58,672.08,496.75,MP,9450,Normal,1.49
35,390,0.231,0.231,0.044,8,20,-55,105,0.12,0.408,3000,0.088,410,2000,UPA1V391MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1220,1220,917.29,1100.75,981.5,853.08,MP,13650,Normal,1.66
35,390,0.231,0.231,0.049,10,16,-55,105,0.12,0.408,4000,0.098,410,1800,UPA1V391MPD6,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1240,1240,932.33,1118.8,997.59,867.07,MP,13650,Normal,1.77
35,560,0.161,0.161,0.035,10,20,-55,105,0.12,0.284,4000,0.07,588,1400,UPA1V561MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1490,1490,1120.3,1344.36,1198.72,1041.88,MP,19600,Normal,2.34
35,680,0.132,0.132,0.033,10,25,-55,105,0.12,0.234,4000,0.066,714,1200,UPA1V681MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1680,1680,1263.16,1515.79,1351.58,1174.74,MP,23800,Normal,3.07
35,820,0.11,0.11,0.029,12.5,20,-55,105,0.12,0.194,5000,0.058,861,1000,UPA1V821MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1890,1890,1421.05,1705.26,1520.53,1321.58,MP,28700,Normal,3.43
35,1000,0.105,0.105,0.029,12.5,20,-55,105,0.12,0.186,5000,0.058,1050,1000,UPA1V102MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1890,1890,1421.05,1705.26,1520.53,1321.58,MP,35000,Normal,3.43
35,1200,0.111,0.111,0.022,12.5,25,-55,105,0.12,0.155,5000,0.044,1260,800,UPA1V122MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,2280,2280,1932.2,2164.07,2048.14,1816.27,MP,42000,Normal,4.56
