Voltage,Capacitance,ESR(est.) 20°C@10kHz,ESR(est.) 20°C@100kHz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,ESR(est.) 20°C@120Hz,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,Ripple Current 105°C@300Hz,Ripple Current 105°C@50Hz,Status,VC,Vibration resistant,Weight (g)
450,27,3.838,,12.5,30.5,-40,105,0.2,9.824,5000,739,600,UPT2W270MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Long Life,400,250,350,312.5,200,MP,12150,Normal,6.01
450,33,3.14,,12.5,35.5,-40,105,0.2,8.038,5000,901,500,UPT2W330MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Long Life,448,280,392,350,224,MP,14850,Normal,7.06
450,39,2.657,,12.5,40,-40,105,0.2,6.801,5000,1063,400,UPT2W390MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Long Life,512,320,448,400,256,MP,17550,Normal,7.57
450,47,2.205,,16,30.5,-40,105,0.2,5.644,5000,1279,300,UPT2W470MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Long Life,608,380,532,475,304,MP,21150,Normal,9.6
450,56,1.85,,16,35.5,-40,105,0.2,4.737,5000,1522,300,UPT2W560MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Long Life,704,440,616,550,352,MP,25200,Normal,11.8
450,68,1.524,,16,40,-40,105,0.2,3.901,5000,1846,300,UPT2W680MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Long Life,784,490,686,612.5,392,MP,30600,Normal,14.1
450,68,1.524,,18,30.5,-40,105,0.2,3.901,5000,1846,300,UPT2W680MHD6,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Long Life,768,480,672,600,384,MP,30600,Normal,13.1
450,82,1.264,,18,35.5,-40,105,0.2,3.235,5000,2224,250,UPT2W820MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Long Life,880,550,770,687.5,440,MP,36900,Normal,14.2
450,100,1.036,,18,40,-40,105,0.2,2.653,5000,2710,200,UPT2W101MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Long Life,1040,650,910,812.5,520,MP,45000,Normal,17.7
450,120,0.863,,22,40,-40,105,0.2,2.21,5000,3250,250,UPT2W121MRD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Long Life,1232,770,1078,962.5,616,EOL,54000,Normal,23.8
450,150,0.691,,22,50,-40,105,0.2,1.768,5000,4060,250,UPT2W151MRD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Long Life,1472,920,1288,1150,736,EOL,67500,Normal,27.4
450,150,0.691,,25,40,-40,105,0.2,1.768,5000,4060,180,UPT2W151MRD6,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Long Life,1472,920,1288,1150,736,EOL,67500,Normal,27.4
450,180,0.576,,25,50,-40,105,0.2,1.474,5000,4870,140,UPT2W181MRD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Long Life,1760,1100,1540,1375,880,EOL,81000,Normal,38.8
