Voltage,Capacitance,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,100k,10k,1k,Dissipation Factor,ESR(est.) 20°C@120Hz,Frequency Coefficient 120Hz,Impedance -10°C@100kHz,Part Number,Ripple Current 105°C@100kHz,VC
6.3,100,0.9,5,11,1.0,0.9,0.75,0.22,2.918,1.0,3.6,EKYA6R3E□□101ME11D,150,630.0
6.3,180,0.4,5,11,1.0,0.9,0.75,0.22,1.621,1.0,1.6,EKYA6R3E□□181ME11D,250,1134.0
6.3,220,0.4,5,11,1.0,0.94,0.85,0.22,1.326,1.0,1.6,EKYA6R3E□□221ME11D,250,1386.0
6.3,330,0.22,6.3,11,1.0,0.94,0.85,0.22,0.884,1.0,0.87,EKYA6R3E□□331MF11D,400,2079.0
6.3,470,0.22,6.3,11,1.0,0.94,0.85,0.22,0.621,1.0,0.87,EKYA6R3E□□471MF11D,400,2961.0
6.3,820,0.13,8,11.5,1.0,0.95,0.87,0.22,0.356,1.0,0.52,EKYA6R3E□□821MHB5D,640,5166.0
6.3,1200,0.08,10,12.5,1.0,0.95,0.87,0.22,0.265,1.0,0.32,EKYA6R3E□□122MJC5S,865,7560.0
6.3,1200,0.087,8,15,1.0,0.95,0.87,0.22,0.265,1.0,0.35,EKYA6R3E□□122MH15D,840,7560.0
6.3,1500,0.069,8,20,1.0,0.95,0.87,0.22,0.212,1.0,0.27,EKYA6R3E□□152MH20D,1050,9450.0
6.3,1800,0.06,10,16,1.0,0.95,0.87,0.22,0.177,1.0,0.24,EKYA6R3E□□182MJ16S,1300,11340.0
6.3,2700,0.046,10,20,1.0,0.95,0.9,0.22,0.128,1.0,0.18,EKYA6R3E□□272MJ20S,1400,17010.0
6.3,3300,0.042,10,25,1.0,0.95,0.9,0.22,0.113,1.0,0.17,EKYA6R3E□□332MJ25S,1650,20790.0
6.3,3900,0.035,12.5,20,1.0,0.95,0.9,0.22,0.095,1.0,0.12,EKYA6R3E□□392MK20S,1900,24570.0
6.3,4700,0.027,12.5,25,1.0,0.98,0.95,0.22,0.085,1.0,0.089,EKYA6R3E□□472MK25S,2230,29610.0
6.3,5600,0.027,12.5,25,,,,0.22,0.076,,0.089,EKYA6R3E□□562MK25S,2230,35280.0
6.3,10000,0.021,16,25,,,,0.22,0.056,,0.06,EKYA6R3E□□103ML25S,2930,63000.0
6.3,12000,0.017,16,31.5,,,,0.22,0.051,,0.05,EKYA6R3E□□123MLN3S,3450,75600.0
6.3,15000,0.015,16,35.5,,,,0.22,0.046,,0.044,EKYA6R3E□□153MLP1S,3610,94500.0
10,100,0.9,5,11,1.0,0.9,0.75,0.19,2.52,1.0,3.6,EKYA100E□□101ME11D,150,1000.0
10,120,0.4,5,11,1.0,0.9,0.75,0.19,2.1,1.0,1.6,EKYA100E□□121ME11D,250,1200.0
10,330,0.22,6.3,11,1.0,0.94,0.85,0.19,0.764,1.0,0.87,EKYA100E□□331MF11D,400,3300.0
10,560,0.13,8,11.5,1.0,0.94,0.85,0.19,0.45,1.0,0.52,EKYA100E□□561MHB5D,640,5600.0
10,820,0.087,8,15,1.0,0.95,0.87,0.19,0.307,1.0,0.35,EKYA100E□□821MH15D,840,8200.0
10,820,0.08,10,12.5,1.0,0.95,0.87,0.19,0.307,1.0,0.32,EKYA100E□□821MJC5S,865,8200.0
10,1000,0.08,10,12.5,1.0,0.95,0.87,0.19,0.279,1.0,0.32,EKYA100E□□102MJC5S,865,10000.0
10,1200,0.069,8,20,1.0,0.95,0.87,0.19,0.232,1.0,0.27,EKYA100E□□122MH20D,1050,12000.0
10,1200,0.06,10,16,1.0,0.95,0.87,0.19,0.232,1.0,0.24,EKYA100E□□122MJ16S,1300,12000.0
10,1800,0.046,10,20,1.0,0.95,0.87,0.19,0.155,1.0,0.18,EKYA100E□□182MJ20S,1400,18000.0
10,2200,0.042,10,25,1.0,0.95,0.9,0.19,0.139,1.0,0.17,EKYA100E□□222MJ25S,1650,22000.0
10,3300,0.035,12.5,20,1.0,0.95,0.9,0.19,0.1,1.0,0.12,EKYA100E□□332MK20S,1900,33000.0
10,3900,0.027,12.5,25,1.0,0.95,0.9,0.19,0.085,1.0,0.089,EKYA100E□□392MK25S,2230,39000.0
10,6800,0.021,16,25,,,,0.19,0.06,,0.06,EKYA100E□□682ML25S,2930,68000.0
10,10000,0.017,16,31.5,,,,0.19,0.052,,0.05,EKYA100E□□103MLN3S,3450,100000.0
10,12000,0.015,16,35.5,,,,0.19,0.048,,0.044,EKYA100E□□123MLP1S,3610,120000.0
16,47,0.4,5,11,1.0,0.9,0.75,0.16,4.515,1.0,1.6,EKYA160E□□470ME11D,250,752.0
16,100,0.4,5,11,1.0,0.9,0.75,0.16,2.122,1.0,1.6,EKYA160E□□101ME11D,250,1600.0
16,220,0.22,6.3,11,1.0,0.94,0.85,0.16,0.965,1.0,0.87,EKYA160E□□221MF11D,400,3520.0
16,270,0.22,6.3,11,1.0,0.94,0.85,0.16,0.786,1.0,0.87,EKYA160E□□271MF11D,400,4320.0
16,470,0.13,8,11.5,1.0,0.94,0.85,0.16,0.452,1.0,0.52,EKYA160E□□471MHB5D,640,7520.0
16,680,0.087,8,15,1.0,0.95,0.87,0.16,0.312,1.0,0.35,EKYA160E□□681MH15D,840,10880.0
16,680,0.08,10,12.5,1.0,0.95,0.87,0.16,0.312,1.0,0.32,EKYA160E□□681MJC5S,865,10880.0
16,820,0.069,8,20,1.0,0.95,0.87,0.16,0.259,1.0,0.27,EKYA160E□□821MH20D,1050,13120.0
16,1000,0.06,10,16,1.0,0.95,0.87,0.16,0.239,1.0,0.24,EKYA160E□□102MJ16S,1300,16000.0
