Voltage,Capacitance,Dissipation Factor,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,ESR(est.) 20°C@120Hz,Endurance,Lead Diameter,Lead Space,Lead Space Taping,Lead Space Taping_1,Part Number,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,Ripple Current 105°C@60Hz,Straight leads,Taping,VC
50,560,0.1,0.018,12.5,25,0.237,10000,0.6,5,5,,EEUFR1H561( ),2660,2620,2000,2400,1740,200,500,28000
50,680,0.1,0.016,12.5,30,0.195,10000,0.8,5,,,EEUFR1H681L,3160,3112.48,2375.94,2851.13,2067.07,100,,34000
50,820,0.1,0.014,12.5,35,0.162,10000,0.8,5,,,EEUFR1H821L,3270,3220.83,2458.65,2950.38,2139.02,100,,41000
50,820,0.1,0.019,16,20,0.162,10000,0.8,7.5,7.5,,EEUFR1H821S( ),2870,2826.84,2157.89,2589.47,1877.37,100,250,41000
50,1000,0.1,0.016,16,25,0.159,10000,0.8,7.5,7.5,,EEUFR1H102( ),3320,3270.08,2496.24,2995.49,2171.73,100,250,50000
63,18,0.09,0.51,5,11,6.631,5000,0.5,2,5,2.5,EEUFR1J180( ),175,157.69,96.15,130.77,78.85,200,2000,1134
63,47,0.09,0.21,6.3,11.2,2.54,5000,0.5,2.5,5,2.5,EEUFR1J470( ),284,270.1,198.6,240.31,170.8,200,2000,2961
63,82,0.09,0.092,8,11.5,1.456,6000,0.6,3.5,5,,EEUFR1J820( ),566,538.29,395.8,478.92,340.39,200,1000,5166
63,100,0.09,0.068,8,15,1.194,8000,0.6,3.5,5,,EEUFR1J101L( ),741,704.73,518.18,627,445.64,200,1000,6300
63,100,0.09,0.063,10,12.5,1.194,6000,0.6,5,5,,EEUFR1J101( ),761,723.75,532.17,643.92,457.66,200,500,6300
63,120,0.09,0.05,8,20,0.995,9000,0.6,3.5,5,,EEUFR1J121L( ),930,884.48,650.35,786.92,559.3,200,1000,7560
63,120,0.09,0.045,10,16,0.995,8000,0.6,5,5,,EEUFR1J121( ),1073,1020.48,750.35,907.92,645.3,200,500,7560
63,150,0.09,0.05,8,20,0.796,9000,0.6,3.5,5,,EEUFR1J151L( ),930,884.48,650.35,786.92,559.3,200,1000,9450
63,150,0.09,0.045,10,16,0.796,8000,0.6,5,5,,EEUFR1J151( ),1073,1020.48,750.35,907.92,645.3,200,500,9450
63,180,0.09,0.035,10,20,0.663,10000,0.6,5,5,,EEUFR1J181( ),1229,1168.84,859.44,1039.92,739.12,200,500,11340
63,220,0.09,0.033,10,25,0.543,10000,0.6,5,5,,EEUFR1J221L( ),1500,1426.57,1048.95,1269.23,902.1,200,500,13860
63,270,0.09,0.035,10,20,0.442,10000,0.6,5,5,,EEUFR1J271U( ),1229,1168.84,859.44,1039.92,739.12,200,500,17010
63,270,0.09,0.033,10,25,0.442,10000,0.6,5,5,,EEUFR1J271L( ),1500,1426.57,1048.95,1269.23,902.1,200,500,17010
63,330,0.09,0.033,12.5,20,0.362,10000,0.6,5,5,,EEUFR1J271( ),1582,1504.56,1106.29,1338.62,951.41,200,500,20790
63,390,0.09,0.027,12.5,25,0.306,10000,0.6,5,5,,EEUFR1J391( ),1995,1965,1500,1800,1305,200,500,24570
63,470,0.09,0.027,12.5,25,0.254,10000,0.6,5,5,,EEUFR1J471( ),1995,1965,1500,1800,1305,200,500,29610
63,560,0.09,0.024,12.5,30,0.213,10000,0.8,5,,,EEUFR1J561L,2528,2489.98,1900.75,2280.9,1653.65,100,,35280
63,560,0.09,0.029,16,20,0.213,10000,0.8,7.5,7.5,,EEUFR1J561S( ),2153,2120.62,1618.8,1942.56,1408.35,100,250,35280
63,680,0.09,0.021,12.5,35,0.176,10000,0.8,5,,,EEUFR1J681L,2780,2738.2,2090.23,2508.27,1818.5,100,,42840
63,820,0.09,0.024,16,25,0.146,10000,0.8,7.5,7.5,,EEUFR1J821( ),2988,2943.07,2246.62,2695.94,1954.56,100,250,51660
100,100,0.08,0.084,10,20,1.061,10000,0.6,5,5,,EEUFR2A101( ),1500,1426.57,1048.95,1269.23,902.1,200,500,10000
