Voltage,Capacitance,ESR(est.) 20°C@100kHz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,ESR(est.) 20°C@120Hz,Endurance,Frequency Coefficient 100kHz,Frequency Coefficient 10kHz,Frequency Coefficient 120Hz,Frequency Coefficient 1kHz,Frequency Coefficient 300Hz,Frequency Coefficient 50Hz,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 85°C@120Hz,Status,V,VC,Vibration resistant,Weight (g)
16,33,3.14,5,11,-40,85,0.2,8.038,2000,1.6,1.6,1.0,1.4,1.25,0.8,16,6000,UVR1C330MDD,Uni-Polar,Radial Lead,Standard,90,EOL,160 to 450,528.0,Normal,0.44
16,47,1.411,5,11,-40,85,0.2,5.644,2000,2.0,2.0,1.0,1.57,1.35,0.75,23,6000,UVR1C470MDD,Uni-Polar,Radial Lead,Standard,110,EOL,6.3 to 100,752.0,Normal,0.44
16,47,2.205,5,11,-40,85,0.2,5.644,2000,1.6,1.6,1.0,1.4,1.25,0.8,23,6000,UVR1C470MDD,Uni-Polar,Radial Lead,Standard,110,EOL,160 to 450,752.0,Normal,0.44
16,100,1.179,5,11,-40,85,0.2,2.653,2000,1.5,1.5,1.0,1.34,1.23,0.8,48,6000,UVR1C101MDD,Uni-Polar,Radial Lead,Standard,160,EOL,6.3 to 100,1600.0,Normal,0.44
16,100,1.036,5,11,-40,85,0.2,2.653,2000,1.6,1.6,1.0,1.4,1.25,0.8,48,6000,UVR1C101MDD,Uni-Polar,Radial Lead,Standard,160,EOL,160 to 450,1600.0,Normal,0.44
16,220,0.536,6.3,11,-40,85,0.2,1.206,2000,1.5,1.5,1.0,1.34,1.23,0.8,106,4000,UVR1C221MED,Uni-Polar,Radial Lead,Standard,260,EOL,6.3 to 100,3520.0,Normal,0.59
16,220,0.471,6.3,11,-40,85,0.2,1.206,2000,1.6,1.6,1.0,1.4,1.25,0.8,106,4000,UVR1C221MED,Uni-Polar,Radial Lead,Standard,260,EOL,160 to 450,3520.0,Normal,0.59
16,330,0.357,8,11.5,-40,85,0.2,0.804,2000,1.5,1.5,1.0,1.34,1.23,0.8,158,3000,UVR1C331MPD,Uni-Polar,Radial Lead,Standard,370,MP,6.3 to 100,5280.0,Normal,1.19
16,330,0.608,8,11.5,-40,85,0.2,0.804,2000,1.15,1.15,1.0,1.13,1.1,0.9,158,3000,UVR1C331MPD,Uni-Polar,Radial Lead,Standard,370,MP,160 to 450,5280.0,Normal,1.19
16,470,0.251,8,11.5,-40,85,0.2,0.564,2000,1.5,1.5,1.0,1.34,1.23,0.8,226,3000,UVR1C471MPD,Uni-Polar,Radial Lead,Standard,440,MP,6.3 to 100,7520.0,Normal,1.19
16,1000,0.221,10,16,-40,85,0.2,0.292,2000,1.15,1.15,1.0,1.13,1.1,0.85,480,1800,UVR1C102MPD,Uni-Polar,Radial Lead,Standard,790,MP,6.3 to 100,16000.0,Normal,1.77
16,2200,0.119,12.5,20,-40,85,0.22,0.157,2000,1.15,1.15,1.0,1.13,1.1,0.85,1056,1000,UVR1C222MHD,Uni-Polar,Radial Lead,Standard,1300,MP,6.3 to 100,35200.0,Normal,3.43
16,3300,0.091,12.5,25,-40,85,0.24,0.121,2000,1.15,1.15,1.0,1.13,1.1,0.85,1584,800,UVR1C332MHD,Uni-Polar,Radial Lead,Standard,1700,MP,6.3 to 100,52800.0,Normal,4.56
16,4700,0.073,16,25,-40,85,0.26,0.096,2000,1.15,1.15,1.0,1.13,1.1,0.85,2256,400,UVR1C472MHD,Uni-Polar,Radial Lead,Standard,2100,MP,6.3 to 100,75200.0,Normal,8.2
16,6800,0.062,16,35.5,-40,85,0.3,0.082,2000,1.15,1.15,1.0,1.13,1.1,0.85,3264,300,UVR1C682MHD,Uni-Polar,Radial Lead,Standard,2650,MP,6.3 to 100,108800.0,Normal,11.8
16,10000,0.058,18,35.5,-40,85,0.38,0.077,2000,1.15,1.15,1.0,1.13,1.1,0.85,4800,250,UVR1C103MHD,Uni-Polar,Radial Lead,Standard,2950,MP,6.3 to 100,160000.0,Normal,14.2
16,10000,0.058,20,31,-40,85,0.38,0.077,2000,1.15,1.15,1.0,1.13,1.1,0.85,4800,200,UVR1C103MRD6,Uni-Polar,Radial Lead,Standard,3000,EOL,6.3 to 100,160000.0,Normal,13.7
16,15000,0.052,20,40,-40,85,0.48,0.069,2000,1.15,1.15,1.0,1.13,1.1,0.85,7200,150,UVR1C153MRD,Uni-Polar,Radial Lead,Standard,3400,EOL,6.3 to 100,240000.0,Normal,19.6
16,15000,0.052,25,30,-40,85,0.48,0.069,2000,1.15,1.15,1.0,1.13,1.1,0.85,7200,160,UVR1C153MRD6,Uni-Polar,Radial Lead,Standard,3300,EOL,6.3 to 100,240000.0,Normal,21.5
16,22000,0.048,22,50,-40,85,0.62,0.064,2000,1.15,1.15,1.0,1.13,1.1,0.85,10560,250,UVR1C223MRD,Uni-Polar,Radial Lead,Standard,4200,EOL,6.3 to 100,352000.0,Normal,27.4
16,22000,0.048,25,40,-40,85,0.62,0.064,2000,1.15,1.15,1.0,1.13,1.1,0.85,10560,180,UVR1C223MRD6,Uni-Polar,Radial Lead,Standard,4000,EOL,6.3 to 100,352000.0,Normal,27.4
16,33000,0.06,25,50,-40,85,0.84,0.06,2000,,,,,,,15840,140,UVR1C333MRD,Uni-Polar,Radial Lead,Standard,4800,EOL,,528000.0,Normal,38.8
25,4.7,17.637,5,11,-40,85,0.16,45.15,2000,1.6,1.6,1.0,1.4,1.25,0.8,4,6000,UVR1E4R7MDD,Uni-Polar,Radial Lead,Standard,35,EOL,160 to 450,117.5,Normal,0.44
25,10,8.289,5,11,-40,85,0.16,21.221,2000,1.6,1.6,1.0,1.4,1.25,0.8,8,6000,UVR1E100MDD,Uni-Polar,Radial Lead,Standard,55,EOL,160 to 450,250.0,Normal,0.44
25,22,3.768,5,11,-40,85,0.16,9.646,2000,1.6,1.6,1.0,1.4,1.25,0.8,17,6000,UVR1E220MDD,Uni-Polar,Radial Lead,Standard,80,EOL,160 to 450,550.0,Normal,0.44
25,33,1.608,5,11,-40,85,0.16,6.431,2000,2.0,2.0,1.0,1.57,1.35,0.75,25,6000,UVR1E330MDD,Uni-Polar,Radial Lead,Standard,95,EOL,6.3 to 100,825.0,Normal,0.44
25,33,2.512,5,11,-40,85,0.16,6.431,2000,1.6,1.6,1.0,1.4,1.25,0.8,25,6000,UVR1E330MDD,Uni-Polar,Radial Lead,Standard,95,EOL,160 to 450,825.0,Normal,0.44
25,47,1.129,5,11,-40,85,0.16,4.515,2000,2.0,2.0,1.0,1.57,1.35,0.75,35,6000,UVR1E470MDD,Uni-Polar,Radial Lead,Standard,115,EOL,6.3 to 100,1175.0,Normal,0.44
25,47,1.764,5,11,-40,85,0.16,4.515,2000,1.6,1.6,1.0,1.4,1.25,0.8,35,6000,UVR1E470MDD,Uni-Polar,Radial Lead,Standard,115,EOL,160 to 450,1175.0,Normal,0.44
25,100,0.943,6.3,11,-40,85,0.16,2.122,2000,1.5,1.5,1.0,1.34,1.23,0.8,75,4000,UVR1E101MED,Uni-Polar,Radial Lead,Standard,190,EOL,6.3 to 100,2500.0,Normal,0.59
25,100,0.829,6.3,11,-40,85,0.16,2.122,2000,1.6,1.6,1.0,1.4,1.25,0.8,75,4000,UVR1E101MED,Uni-Polar,Radial Lead,Standard,190,EOL,160 to 450,2500.0,Normal,0.59
25,220,0.429,8,11.5,-40,85,0.16,0.965,2000,1.5,1.5,1.0,1.34,1.23,0.8,165,3000,UVR1E221MPD,Uni-Polar,Radial Lead,Standard,330,MP,6.3 to 100,5500.0,Normal,1.19
25,220,0.377,8,11.5,-40,85,0.16,0.965,2000,1.6,1.6,1.0,1.4,1.25,0.8,165,3000,UVR1E221MPD,Uni-Polar,Radial Lead,Standard,330,MP,160 to 450,5500.0,Normal,1.19
25,330,0.286,10,12.5,-40,85,0.16,0.643,2000,1.5,1.5,1.0,1.34,1.23,0.8,248,2000,UVR1E331MPD,Uni-Polar,Radial Lead,Standard,440,MP,6.3 to 100,8250.0,Normal,1.49
25,330,0.486,10,12.5,-40,85,0.16,0.643,2000,1.15,1.15,1.0,1.13,1.1,0.9,248,2000,UVR1E331MPD,Uni-Polar,Radial Lead,Standard,440,MP,160 to 450,8250.0,Normal,1.49
25,470,0.201,10,12.5,-40,85,0.16,0.452,2000,1.5,1.5,1.0,1.34,1.23,0.8,353,2000,UVR1E471MPD,Uni-Polar,Radial Lead,Standard,550,MP,6.3 to 100,11750.0,Normal,1.49
25,1000,0.181,10,20,-40,85,0.16,0.239,2000,1.15,1.15,1.0,1.13,1.1,0.85,750,1400,UVR1E102MPD,Uni-Polar,Radial Lead,Standard,960,MP,6.3 to 100,25000.0,Normal,2.34
25,2200,0.1,12.5,25,-40,85,0.18,0.133,2000,1.15,1.15,1.0,1.13,1.1,0.85,1650,800,UVR1E222MHD,Uni-Polar,Radial Lead,Standard,1550,MP,6.3 to 100,55000.0,Normal,4.56
25,3300,0.079,16,25,-40,85,0.2,0.104,2000,1.15,1.15,1.0,1.13,1.1,0.85,2475,400,UVR1E332MHD,Uni-Polar,Radial Lead,Standard,1980,MP,6.3 to 100,82500.0,Normal,8.2
25,4700,0.064,16,30.5,-40,85,0.22,0.085,2000,1.15,1.15,1.0,1.13,1.1,0.85,3525,300,UVR1E472MHD,Uni-Polar,Radial Lead,Standard,2450,MP,6.3 to 100,117500.0,Normal,9.6
25,6800,0.056,18,35.5,-40,85,0.26,0.074,2000,1.15,1.15,1.0,1.13,1.1,0.85,5100,250,UVR1E682MHD,Uni-Polar,Radial Lead,Standard,2900,MP,6.3 to 100,170000.0,Normal,14.2
25,6800,0.056,20,31,-40,85,0.26,0.074,2000,1.15,1.15,1.0,1.13,1.1,0.85,5100,200,UVR1E682MRD6,Uni-Polar,Radial Lead,Standard,2700,EOL,6.3 to 100,170000.0,Normal,13.7
25,10000,0.054,20,40,-40,85,0.34,0.072,2000,1.15,1.15,1.0,1.13,1.1,0.85,7500,150,UVR1E103MRD,Uni-Polar,Radial Lead,Standard,3000,EOL,6.3 to 100,250000.0,Normal,19.6
25,10000,0.054,25,30,-40,85,0.34,0.072,2000,1.15,1.15,1.0,1.13,1.1,0.85,7500,160,UVR1E103MRD6,Uni-Polar,Radial Lead,Standard,2900,EOL,6.3 to 100,250000.0,Normal,21.5
25,15000,0.049,22,50,-40,85,0.44,0.065,2000,1.15,1.15,1.0,1.13,1.1,0.85,11250,250,UVR1E153MRD,Uni-Polar,Radial Lead,Standard,3800,EOL,6.3 to 100,375000.0,Normal,27.4
25,15000,0.049,25,40,-40,85,0.44,0.065,2000,1.15,1.15,1.0,1.13,1.1,0.85,11250,180,UVR1E153MRD6,Uni-Polar,Radial Lead,Standard,3600,EOL,6.3 to 100,375000.0,Normal,27.4
25,22000,0.046,25,50,-40,85,0.58,0.061,2000,1.15,1.15,1.0,1.13,1.1,0.85,16500,140,UVR1E223MRD,Uni-Polar,Radial Lead,Standard,4500,EOL,6.3 to 100,550000.0,Normal,38.8
35,4.7,15.432,5,11,-40,85,0.14,39.507,2000,1.6,1.6,1.0,1.4,1.25,0.8,5,6000,UVR1V4R7MDD,Uni-Polar,Radial Lead,Standard,40,EOL,160 to 450,164.5,Normal,0.44
35,10,7.253,5,11,-40,85,0.14,18.568,2000,1.6,1.6,1.0,1.4,1.25,0.8,11,6000,UVR1V100MDD,Uni-Polar,Radial Lead,Standard,60,EOL,160 to 450,350.0,Normal,0.44
35,22,3.297,5,11,-40,85,0.14,8.44,2000,1.6,1.6,1.0,1.4,1.25,0.8,23,6000,UVR1V220MDD,Uni-Polar,Radial Lead,Standard,90,EOL,160 to 450,770.0,Normal,0.44
35,33,1.407,5,11,-40,85,0.14,5.627,2000,2.0,2.0,1.0,1.57,1.35,0.75,35,6000,UVR1V330MDD,Uni-Polar,Radial Lead,Standard,105,EOL,6.3 to 100,1155.0,Normal,0.44
35,33,2.198,5,11,-40,85,0.14,5.627,2000,1.6,1.6,1.0,1.4,1.25,0.8,35,6000,UVR1V330MDD,Uni-Polar,Radial Lead,Standard,105,EOL,160 to 450,1155.0,Normal,0.44
