Voltage,Capacitance,ESR 20°C@120Hz,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,Endurance,Impedance -10°C@100kHz,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 105°C@120Hz,Status,Vibration resistant,Weight (g)
16,470,0.452,0.09,8,20,-55,105,0.16,3000,0.18,226,2000,UPM1C471MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,615,MP,Normal,1.66
16,470,0.452,0.09,10,16,-55,105,0.16,5000,0.18,226,1800,UPM1C471MPD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,660,MP,Normal,1.77
16,560,0.379,0.075,10,20,-55,105,0.16,5000,0.15,269,1400,UPM1C561MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,775,MP,Normal,2.34
16,560,0.379,0.08,12.5,15,-55,105,0.16,5000,0.16,269,1200,UPM1C561MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,750,MP,Normal,2.96
16,680,0.312,0.065,10,20,-55,105,0.16,5000,0.13,326,1400,UPM1C681MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,880,MP,Normal,2.34
16,680,0.312,0.07,12.5,15,-55,105,0.16,5000,0.14,326,1200,UPM1C681MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,820,MP,Normal,2.96
16,820,0.259,0.055,10,25,-55,105,0.16,5000,0.11,394,1200,UPM1C821MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1070,MP,Normal,3.07
16,820,0.259,0.06,12.5,15,-55,105,0.16,5000,0.12,394,1200,UPM1C821MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,900,MP,Normal,2.96
16,1000,0.212,0.047,10,30.5,-55,105,0.16,5000,0.094,480,1000,UPM1C102MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1220,MP,Normal,3.21
16,1000,0.212,0.055,16,15,-55,105,0.16,5000,0.11,480,700,UPM1C102MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1100,MP,Normal,4.74
