Voltage,Capacitance,Dissipation Factor,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),ESR(est.) 20°C@120Hz,Endurance,Impedance -10°C@100kHz,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,Ripple Current 105°C@50Hz,Status,VC,Vibration resistant,Weight (g)
25,820,0.14,0.022,10,25,-40,105,0.226,4000,0.066,205,1200,UHD1E821MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2150,2117.67,1616.54,1939.85,1406.39,MP,20500,Normal,3.07
25,1000,0.14,0.021,12.5,20,-40,105,0.212,5000,0.053,250,1000,UHD1E102MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2360,2324.51,1774.44,2129.32,1543.76,MP,25000,Normal,3.43
25,1500,0.14,0.018,12.5,25,-40,105,0.141,5000,0.045,375,800,UHD1E152MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2770,2770,2216,2637.04,2083.04,MP,37500,Normal,4.56
25,1800,0.14,0.016,12.5,30.5,-40,105,0.118,5000,0.041,450,600,UHD1E182MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3290,3290,2632,3132.08,2474.08,MP,45000,Normal,6.01
25,1800,0.14,0.018,16,20,-40,105,0.118,5000,0.045,450,600,UHD1E182MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3140,3140,2512,2989.28,2361.28,MP,45000,Normal,6.6
25,2200,0.16,0.015,12.5,35.5,-40,105,0.121,5000,0.039,550,500,UHD1E222MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3400,3400,2720,3236.8,2556.8,MP,55000,Normal,7.06
25,2700,0.16,0.016,16,25,-40,105,0.098,5000,0.043,675,400,UHD1E272MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3460,3460,2768,3293.92,2601.92,MP,67500,Normal,8.2
35,33,0.12,0.3,5,11,-40,105,4.823,2000,1,12,6000,UHD1V330MDD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,250,,,,,EOL,1155,Normal,0.44
35,56,0.12,0.13,6.3,11,-40,105,2.842,2000,0.41,20,4000,UHD1V560MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,405,,,,,EOL,1960,Normal,0.59
35,150,0.12,0.072,8,11.5,-40,105,1.061,3000,0.22,53,3000,UHD1V151MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,760,722.8,531.47,643.08,457.06,MP,5250,Normal,1.19
35,220,0.12,0.056,8,15,-40,105,0.723,3000,0.17,77,2000,UHD1V221MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,995,946.29,695.8,841.92,598.39,MP,7700,Normal,1.36
35,220,0.12,0.053,10,12.5,-40,105,0.723,4000,0.16,77,2000,UHD1V221MPD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1030,979.58,720.28,871.54,619.44,MP,7700,Normal,1.49
35,270,0.12,0.041,8,20,-40,105,0.589,3000,0.13,95,2000,UHD1V271MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1250,1188.81,874.13,1057.69,751.75,MP,9450,Normal,1.66
35,330,0.12,0.038,10,16,-40,105,0.482,4000,0.12,116,1800,UHD1V331MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1430,1360,1000,1210,860,MP,11550,Normal,1.77
35,470,0.12,0.023,10,20,-40,105,0.339,4000,0.069,165,1400,UHD1V471MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1820,1792.63,1368.42,1642.11,1190.53,MP,16450,Normal,2.34
35,560,0.12,0.022,10,25,-40,105,0.284,4000,0.066,196,1200,UHD1V561MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2150,2117.67,1616.54,1939.85,1406.39,MP,19600,Normal,3.07
35,680,0.12,0.021,12.5,20,-40,105,0.234,5000,0.053,238,1000,UHD1V681MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2360,2324.51,1774.44,2129.32,1543.76,MP,23800,Normal,3.43
35,1000,0.12,0.018,12.5,25,-40,105,0.186,5000,0.045,350,800,UHD1V102MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2770,2728.35,2082.71,2499.25,1811.95,MP,35000,Normal,4.56
35,1200,0.12,0.016,12.5,30.5,-40,105,0.155,5000,0.041,420,600,UHD1V122MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3290,3290,2632,3132.08,2474.08,MP,42000,Normal,6.01
35,1200,0.12,0.018,16,20,-40,105,0.155,5000,0.045,420,600,UHD1V122MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3140,3140,2512,2989.28,2361.28,MP,42000,Normal,6.6
35,1500,0.12,0.015,12.5,35.5,-40,105,0.124,5000,0.039,525,500,UHD1V152MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3400,3400,2720,3236.8,2556.8,MP,52500,Normal,7.06
35,1800,0.12,0.016,16,25,-40,105,0.103,5000,0.043,630,400,UHD1V182MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3460,3460,2768,3293.92,2601.92,MP,63000,Normal,8.2
