Voltage,Capacitance,ESR 20°C@120Hz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 85°C@120Hz,Status,Vibration resistant,Weight (g)
63,6800,0.039,25,50,-40,85,0.2,2000,12852,140,UKW1J682MRD,Uni-Polar,Radial Lead,Standard,3500,EOL,Normal,38.8
100,2.2,48.229,5,11,-40,85,0.08,2000,7,6000,UKW2A2R2MDD,Uni-Polar,Radial Lead,Standard,30,EOL,Normal,0.44
100,3.3,32.153,5,11,-40,85,0.08,2000,10,6000,UKW2A3R3MDD,Uni-Polar,Radial Lead,Standard,40,EOL,Normal,0.44
100,4.7,22.575,5,11,-40,85,0.08,2000,14,6000,UKW2A4R7MDD,Uni-Polar,Radial Lead,Standard,45,EOL,Normal,0.44
100,10,10.61,6.3,11,-40,85,0.08,2000,30,4000,UKW2A100MED,Uni-Polar,Radial Lead,Standard,75,EOL,Normal,0.59
100,22,4.823,6.3,11,-40,85,0.08,2000,66,4000,UKW2A220MED,Uni-Polar,Radial Lead,Standard,120,EOL,Normal,0.59
100,33,3.215,8,11.5,-40,85,0.08,2000,99,3000,UKW2A330MPD,Uni-Polar,Radial Lead,Standard,160,MP,Normal,1.19
100,47,2.258,10,12.5,-40,85,0.08,2000,141,2000,UKW2A470MPD,Uni-Polar,Radial Lead,Standard,210,MP,Normal,1.49
100,100,1.061,10,20,-40,85,0.08,2000,300,1400,UKW2A101MPD,Uni-Polar,Radial Lead,Standard,350,MP,Normal,2.34
100,220,0.482,12.5,25,-40,85,0.08,2000,660,800,UKW2A221MHD,Uni-Polar,Radial Lead,Standard,600,MP,Normal,4.56
100,330,0.322,12.5,25,-40,85,0.08,2000,990,800,UKW2A331MHD,Uni-Polar,Radial Lead,Standard,750,MP,Normal,4.56
100,470,0.226,16,25,-40,85,0.08,2000,1410,400,UKW2A471MHD,Uni-Polar,Radial Lead,Standard,1000,MP,Normal,8.2
100,1000,0.106,18,40,-40,85,0.08,2000,3000,200,UKW2A102MHD,Uni-Polar,Radial Lead,Standard,1370,MP,Normal,17.7
100,2200,0.06,22,50,-40,85,0.1,2000,6600,250,UKW2A222MRD,Uni-Polar,Radial Lead,Standard,2400,EOL,Normal,27.4
100,3300,0.048,25,50,-40,85,0.12,2000,9900,140,UKW2A332MRD,Uni-Polar,Radial Lead,Standard,2900,EOL,Normal,38.8
