Voltage,Capacitance,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,ESR(est.) 20°C@120Hz,Endurance,Frequency Coefficient 10kHz,Frequency Coefficient 120Hz,Frequency Coefficient 1kHz,Frequency Coefficient 200kHz,Frequency Coefficient 300Hz,Impedance -10°C@100kHz,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 105°C@100kHz,Ripple Current 105°C@120Hz,Status,VC,Vibration resistant,Weight (g)
10,100,0.84,6.3,11,-55,105,0.19,2.52,2000,1.49,1.0,1.4,1.49,1.15,2.1,30,4000,UPJ1A101MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,210,135.0,EOL,1000.0,Normal,0.59
10,120,0.72,6.3,11,-55,105,0.19,2.1,2000,,,,,,1.8,36,4000,UPJ1A121MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,235,160.0,EOL,1200.0,Normal,0.59
10,150,0.55,6.3,11,-55,105,0.19,1.68,2000,1.43,1.0,1.36,1.43,1.13,1.4,45,4000,UPJ1A151MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,265,185.0,EOL,1500.0,Normal,0.59
10,180,0.46,6.3,11,-55,105,0.19,1.4,2000,,,,,,1.2,54,4000,UPJ1A181MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,290,205.0,EOL,1800.0,Normal,0.59
10,220,0.38,6.3,15,-55,105,0.19,1.145,2000,1.39,1.0,1.33,1.39,1.13,0.95,66,4000,UPJ1A221MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,370,270.0,EOL,2200.0,Normal,0.72
10,270,0.31,6.3,15,-55,105,0.19,0.933,2000,,,,,,0.78,81,4000,UPJ1A271MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,405,300.0,EOL,2700.0,Normal,0.72
10,330,0.26,8,11.5,-55,105,0.19,0.764,3000,1.35,1.0,1.31,1.35,1.12,0.65,99,3000,UPJ1A331MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,460,350.0,MP,3300.0,Normal,1.19
10,390,0.22,8,15,-55,105,0.19,0.646,3000,,,,,,0.55,117,2000,UPJ1A391MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,550,430.0,MP,3900.0,Normal,1.36
10,390,0.24,10,12.5,-55,105,0.19,0.646,5000,,,,,,0.6,117,2000,UPJ1A391MPD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,555,430.0,MP,3900.0,Normal,1.49
10,470,0.19,8,15,-55,105,0.19,0.536,3000,1.3,1.0,1.26,1.3,1.1,0.48,141,2000,UPJ1A471MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,595,475.0,MP,4700.0,Normal,1.36
10,470,0.21,10,12.5,-55,105,0.19,0.536,5000,1.3,1.0,1.26,1.3,1.1,0.53,141,2000,UPJ1A471MPD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,600,475.0,MP,4700.0,Normal,1.49
