Voltage,Capacitance,ESR 20°C@120Hz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 105°C@120Hz,Status,Vibration resistant,Weight (g)
250,68,3.901,16,20,-40,105,0.2,10000,780,600,UCY2E680MHD3,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,650,MP,Normal,6.6
250,82,3.235,12.5,25,-40,105,0.2,12000,920,800,UCY2E820MHD9,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,615,MP,Normal,4.56
250,82,3.235,12.5,30.5,-40,105,0.2,12000,920,600,UCY2E820MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,715,MP,Normal,6.01
250,82,3.235,16,20,-40,105,0.2,10000,920,600,UCY2E820MHD3,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,690,MP,Normal,6.6
250,100,2.653,12.5,35.5,-40,105,0.2,12000,1100,500,UCY2E101MHD6,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,785,MP,Normal,7.06
250,100,2.653,16,20,-40,105,0.2,10000,1100,600,UCY2E101MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,715,MP,Normal,6.6
250,120,2.21,12.5,35.5,-40,105,0.2,12000,1300,500,UCY2E121MHD9,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,785,MP,Normal,7.06
250,120,2.21,12.5,40,-40,105,0.2,12000,1300,400,UCY2E121MHD3,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,890,MP,Normal,7.57
250,120,2.21,16,25,-40,105,0.2,12000,1300,400,UCY2E121MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,845,MP,Normal,8.2
250,120,2.21,18,20,-40,105,0.2,10000,1300,400,UCY2E121MHD6,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,815,MP,Normal,9.0
250,150,1.768,12.5,40,-40,105,0.2,12000,1600,400,UCY2E151MHD6,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,990,MP,Normal,7.57
250,150,1.768,18,25,-40,105,0.2,12000,1600,300,UCY2E151MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,970,MP,Normal,10.6
250,180,1.474,16,30.5,-40,105,0.2,12000,1900,300,UCY2E181MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1110,MP,Normal,9.6
250,180,1.474,18,25,-40,105,0.2,12000,1900,300,UCY2E181MHD6,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1050,MP,Normal,10.6
250,220,1.206,16,35.5,-40,105,0.2,12000,2300,300,UCY2E221MHD9,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1220,MP,Normal,11.8
250,220,1.206,16,40,-40,105,0.2,12000,2300,300,UCY2E221MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1295,MP,Normal,14.1
250,220,1.206,18,30.5,-40,105,0.2,12000,2300,300,UCY2E221MHD3,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1160,MP,Normal,13.1
250,270,0.982,16,40,-40,105,0.2,12000,2800,300,UCY2E271MHD6,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1350,MP,Normal,14.1
250,270,0.982,18,35.5,-40,105,0.2,12000,2800,250,UCY2E271MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1450,MP,Normal,14.2
250,330,0.804,18,40,-40,105,0.2,12000,3400,200,UCY2E331MHD9,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1530,MP,Normal,17.7
250,330,0.804,18,46,-40,105,0.2,12000,3400,200,UCY2E331MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1600,MP,Normal,20.9
350,12,26.526,10,16,-40,105,0.24,10000,268,1800,UCY2V120MPD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,160,MP,Normal,1.77
350,15,21.221,10,20,-40,105,0.24,10000,310,1400,UCY2V150MPD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,180,MP,Normal,2.34
350,18,17.684,10,20,-40,105,0.24,10000,352,1400,UCY2V180MPD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,215,MP,Normal,2.34
350,22,14.469,10,20,-40,105,0.24,10000,408,1400,UCY2V220MPD9,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,215,MP,Normal,2.34
350,22,14.469,10,25,-40,105,0.24,12000,408,1200,UCY2V220MPD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,255,MP,Normal,3.07
350,22,14.469,12.5,20,-40,105,0.24,10000,408,1000,UCY2V220MHD3,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,325,MP,Normal,3.43
350,27,11.789,10,25,-40,105,0.24,12000,478,1200,UCY2V270MPD9,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,255,MP,Normal,3.07
350,27,11.789,10,30.5,-40,105,0.24,12000,478,1000,UCY2V270MPD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,305,MP,Normal,3.21
350,33,9.646,12.5,20,-40,105,0.24,10000,562,1000,UCY2V330MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,380,MP,Normal,3.43
350,33,9.646,16,20,-40,105,0.24,10000,562,600,UCY2V330MHD3,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,450,MP,Normal,6.6
