Voltage,Capacitance,Dissipation Factor,ESR 20°C@100kHz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),ESR -40°C@100kHz,ESR(est.) 20°C@120Hz,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 125°C@100kHz,Ripple Current 125°C@10kHz,Ripple Current 125°C@120Hz,Ripple Current 125°C@1kHz,Ripple Current 135°C@100kHz,Status,VC,Vibration resistant,Weight (g)
80,1300,0.08,0.023,18,35.5,-40,135,0.12,0.102,2000,3120,250,UBY1K132MHL6,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,5220,4938.68,3125.75,4532.34,3690,MP,104000,Normal,14.2
80,1600,0.08,0.021,18,40,-40,135,0.11,0.083,2000,3840,200,UBY1K162MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,5660,5354.97,3389.22,4914.37,3820,MP,128000,Normal,17.7
100,160,0.08,0.074,12.5,20,-40,135,0.56,0.663,2000,480,1000,UBY2A161MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,1640,1476,656,1233.28,1420,MP,16000,Normal,3.43
100,220,0.08,0.054,12.5,25,-40,135,0.39,0.482,2000,660,800,UBY2A221MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,2520,2368.8,1260,2142,2050,MP,22000,Normal,4.56
100,270,0.08,0.053,16,20,-40,135,0.34,0.393,2000,810,600,UBY2A271MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,2140,2011.6,1070,1819,1910,MP,27000,Normal,6.6
100,300,0.08,0.042,12.5,30.5,-40,135,0.3,0.354,2000,900,600,UBY2A301MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,3110,2923.4,1555,2643.5,2630,MP,30000,Normal,6.01
100,360,0.08,0.038,12.5,35.5,-40,135,0.25,0.295,2000,1080,500,UBY2A361MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,3760,3534.4,1880,3196,2970,MP,36000,Normal,7.06
100,360,0.08,0.048,18,20,-40,135,0.26,0.295,2000,1080,400,UBY2A361MHL6,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,2350,2209,1175,1997.5,2100,MP,36000,Normal,9
100,390,0.08,0.038,16,25,-40,135,0.23,0.272,2000,1170,400,UBY2A391MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,2940,2763.6,1470,2499,2680,MP,39000,Normal,8.2
100,430,0.08,0.031,12.5,40,-40,135,0.22,0.247,2000,1290,400,UBY2A431MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,4610,4333.4,2305,3918.5,3260,MP,43000,Normal,7.57
100,470,0.08,0.034,16,30.5,-40,135,0.2,0.226,2000,1410,300,UBY2A471MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,3860,3628.4,1930,3281,3050,MP,47000,Normal,9.6
100,510,0.08,0.035,18,25,-40,135,0.19,0.208,2000,1530,300,UBY2A511MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,3080,2895.2,1540,2618,2810,MP,51000,Normal,10.6
100,560,0.08,0.027,16,35.5,-40,135,0.15,0.189,2000,1680,300,UBY2A561MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,4590,4314.6,2295,3901.5,3420,MP,56000,Normal,11.8
100,680,0.08,0.028,18,30.5,-40,135,0.15,0.156,2000,2040,300,UBY2A681MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,4080,3860.12,2443.11,3542.51,3220,MP,68000,Normal,13.1
100,750,0.08,0.025,16,40,-40,135,0.14,0.141,2000,2250,300,UBY2A751MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,5190,4910.3,3107.78,4506.29,3670,MP,75000,Normal,14.1
100,820,0.08,0.023,18,35.5,-40,135,0.12,0.129,2000,2460,250,UBY2A821MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,5220,4938.68,3125.75,4532.34,3690,MP,82000,Normal,14.2
100,950,0.08,0.021,18,40,-40,135,0.11,0.112,2000,2850,200,UBY2A951MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,5660,5354.97,3389.22,4914.37,3820,MP,95000,Normal,17.7
