Voltage,Capacitance,Dissipation Factor,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,ESR(est.) 20°C@120Hz,Impedance -10°C@100kHz,Part Number,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,VC
35,2700,,0.015,18,31.5,,0.04,EKY-350E□□272MMN3S,4170,3981.88,3135.34,3762.41,94500
35,3300,,0.013,16,40,,0.038,EKY-350E□□332ML40S,4080,3895.94,3067.67,3681.2,115500
35,3300,,0.014,18,35.5,,0.038,EKY-350E□□332MMP1S,4220,4029.62,3172.93,3807.52,115500
35,3900,,0.012,18,40,,0.032,EKY-350E□□392MM40S,4280,4086.92,3218.05,3861.65,136500
50,150,,0.12,10,12.5,,0.48,EKY-500E□□151MJC5S,760,684,304,571.52,7500
50,220,,0.084,10,16,,0.34,EKY-500E□□221MJ16S,1050,987,525,892.5,11000
50,270,,0.06,10,20,,0.24,EKY-500E□□271MJ20S,1220,1146.8,610,1037,13500
50,270,,0.061,12.5,15,,0.2,EKY-500E□□271MK15S,1260,1184.4,630,1071,13500
50,330,,0.055,10,25,,0.22,EKY-500E□□331MJ25S,1440,1353.6,720,1224,16500
50,470,,0.043,10,30,,0.17,EKY-500E□□471MJ30S,1690,1588.6,845,1436.5,23500
50,470,,0.045,12.5,20,,0.15,EKY-500E□□471MK20S,1660,1560.4,830,1411,23500
50,470,,0.055,16,15,,0.17,EKY-500E□□471ML15S,1690,1588.6,845,1436.5,23500
50,560,,0.034,12.5,25,,0.11,EKY-500E□□561MK25S,1950,1833,975,1657.5,28000
50,560,,0.054,18,15,,0.15,EKY-500E□□561MM15S,1930,1814.2,965,1640.5,28000
50,680,,0.03,12.5,30,,0.1,EKY-500E□□681MK30S,2310,2185.51,1383.23,2005.69,34000
50,820,,0.025,12.5,35,,0.083,EKY-500E□□821MK35S,2510,2374.73,1502.99,2179.34,41000
50,820,,0.034,16,20,,0.1,EKY-500E□□821ML20S,2210,2090.9,1323.35,1918.86,41000
50,1000,,0.021,12.5,40,,0.069,EKY-500E□□102MK40S,2920,2762.63,1748.5,2535.33,50000
50,1000,,0.025,16,25,,0.075,EKY-500E□□102ML25S,2555,2417.31,1529.94,2218.41,50000
50,1000,,0.036,18,20,,0.097,EKY-500E□□102MM20S,2490,2355.81,1491.02,2161.98,50000
50,1200,,0.022,16,31.5,,0.066,EKY-500E□□122MLN3S,3010,2847.78,1802.4,2613.47,60000
50,1200,,0.026,18,25,,0.07,EKY-500E□□122MM25S,2740,2592.34,1640.72,2379.04,60000
50,1500,,0.019,16,35.5,,0.057,EKY-500E□□152MLP1S,3150,2980.24,1886.23,2735.03,75000
50,1800,,0.016,16,40,,0.048,EKY-500E□□182ML40S,3710,3510.06,2221.56,3221.26,90000
50,1800,,0.021,18,31.5,,0.057,EKY-500E□□182MMN3S,3635,3439.1,2176.65,3156.14,90000
50,2200,,0.017,18,35.5,,0.046,EKY-500E□□222MMP1S,3680,3513.98,2766.92,3320.3,110000
50,2700,,0.014,18,40,,0.038,EKY-500E□□272MM40S,3800,3628.57,2857.14,3428.57,135000
63,82,,0.11,10,12.5,,0.44,EKY-630E□□820MJC5S,690,621,276,518.88,5166
63,120,,0.076,10,16,,0.31,EKY-630E□□121MJ16S,950,855,380,714.4,7560
63,180,,0.056,10,20,,0.23,EKY-630E□□181MJ20S,1150,1035,460,864.8,11340
63,180,,0.072,12.5,16,,0.29,EKY-630E□□181MK16S,1150,1035,460,864.8,11340
63,220,,0.046,10,25,,0.19,EKY-630E□□221MJ25S,1350,1269,675,1147.5,13860
63,270,,0.041,12.5,20,,0.13,EKY-630E□□271MK20S,1500,1410,750,1275,17010
