Voltage,Capacitance,Dissipation Factor,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),ESR(est.) 20°C@120Hz,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,Ripple Current 105°C@300Hz,Ripple Current 105°C@50Hz,Status,V,VC,Vibration resistant,Weight (g)
50,2200,0.14,16,30.5,-55,105,0.109,2000,3300,300,UVY1H222MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,1621.5,1410,1593.3,1551,1198.5,MP,6.3 to 100,110000,Normal,9.6
50,3300,0.16,18,35.5,-55,105,0.088,2000,4950,250,UVY1H332MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,2035.5,1770,2000.1,1947,1504.5,MP,6.3 to 100,165000,Normal,14.2
50,4700,0.18,20,40,-55,105,0.073,2000,7050,150,UVY1H472MRD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,2415,2100,2373,2310,1785,EOL,6.3 to 100,235000,Normal,19.6
50,6800,0.22,22,50,-55,105,0.066,2000,10200,250,UVY1H682MRD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,2875,2500,2825,2750,2125,EOL,6.3 to 100,340000,Normal,27.4
50,10000,0.3,25,50,-55,105,0.066,2000,15000,140,UVY1H103MRD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,3277.5,2850,3220.5,3135,2422.5,EOL,6.3 to 100,500000,Normal,38.8
63,22,0.1,5,11,-55,105,6.029,1000,42,6000,UVY1J220MDD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,113.6,71,99.4,88.75,56.8,EOL,160 to 450,1386,Normal,0.44
63,33,0.1,6.3,11,-55,105,4.019,1000,62,4000,UVY1J330MED,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,200,100,157,135,75,EOL,6.3 to 100,2079,Normal,0.59
63,33,0.1,6.3,11,-55,105,4.019,1000,62,4000,UVY1J330MED,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,160,100,140,125,80,EOL,160 to 450,2079,Normal,0.59
63,47,0.1,6.3,11,-55,105,2.822,1000,89,4000,UVY1J470MED,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,240,120,188.4,162,90,EOL,6.3 to 100,2961,Normal,0.59
63,47,0.1,6.3,11,-55,105,2.822,1000,89,4000,UVY1J470MED,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,192,120,168,150,96,EOL,160 to 450,2961,Normal,0.59
63,68,0.1,8,11.5,-55,105,1.95,1000,129,3000,UVY1J680MPD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,310,155,243.35,209.25,116.25,MP,6.3 to 100,4284,Normal,1.19
63,68,0.1,8,11.5,-55,105,1.95,1000,129,3000,UVY1J680MPD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,248,155,217,193.75,124,MP,160 to 450,4284,Normal,1.19
63,100,0.1,8,11.5,-55,105,1.326,1000,189,3000,UVY1J101MPD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,300,200,268,246,160,MP,6.3 to 100,6300,Normal,1.19
63,100,0.1,8,11.5,-55,105,1.326,1000,189,3000,UVY1J101MPD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,320,200,280,250,160,MP,160 to 450,6300,Normal,1.19
63,220,0.1,10,16,-55,105,0.603,2000,416,1800,UVY1J221MPD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,502.5,335,448.9,412.05,268,MP,6.3 to 100,13860,Normal,1.77
