Voltage,Capacitance,ESR(est.) 20°C@100kHz,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR(est.) 20°C@120Hz,Frequency Coefficient 100kHz,Frequency Coefficient 10kHz,Frequency Coefficient 120Hz,Frequency Coefficient 1kHz,Impedance -10°C@100kHz,Part Number,Ripple Current 105°C@100kHz,VC
50,2700,0.039,0.013,18,35.5,0.1,0.069,1.33,1.27,1.0,1.2,0.052,EKYB500E□□272MMP1S,4100,135000.0
63,18,1.061,0.5,5,11,0.09,6.631,2.5,2.25,1.0,1.88,2.0,EKYB630E□□180ME11D,220,1134.0
63,33,0.579,0.25,6.3,11,0.09,3.617,2.5,2.25,1.0,1.88,1.0,EKYB630E□□330MF11D,350,2079.0
63,56,0.341,0.16,8,11.5,0.09,2.132,2.5,2.25,1.0,1.88,0.64,EKYB630E□□560MHB5D,530,3528.0
63,82,0.233,0.12,8,15,0.09,1.456,2.5,2.25,1.0,1.88,0.48,EKYB630E□□820MH15D,700,5166.0
63,120,0.159,0.085,8,20,0.09,0.995,2.5,2.25,1.0,1.88,0.34,EKYB630E□□121MH20D,880,7560.0
63,120,0.159,0.11,10,12.5,0.09,0.995,2.5,2.25,1.0,1.88,0.44,EKYB630E□□121MJC5S,725,7560.0
63,180,0.106,0.073,10,16,0.09,0.663,2.5,2.25,1.0,1.88,0.3,EKYB630E□□181MJ16S,1050,11340.0
63,220,0.136,0.055,10,20,0.09,0.543,2.0,1.88,1.0,1.7,0.22,EKYB630E□□221MJ20S,1300,13860.0
63,330,0.09,0.045,10,25,0.09,0.362,2.0,1.88,1.0,1.7,0.18,EKYB630E□□331MJ25S,1550,20790.0
63,390,0.077,0.04,10,30,0.09,0.306,2.0,1.88,1.0,1.7,0.16,EKYB630E□□391MJ30S,1780,24570.0
63,390,0.077,0.036,12.5,20,0.09,0.306,2.0,1.88,1.0,1.7,0.15,EKYB630E□□391MK20S,1780,24570.0
