Voltage,Capacitance,ESR(est.) 20°C@100kHz,Case Size Length,CV (µF x V),Dissipation Factor,ESR(est.) 20°C@120Hz,Frequency Coefficient 100kHz,Frequency Coefficient 10kHz,Frequency Coefficient 120Hz,Frequency Coefficient 1kHz,Frequency Coefficient 50Hz,Frequency Coefficient 60Hz,Part Number,Ripple Current 85°C@120Hz,VC
63,330,0.111,10,≤1000,0.1,0.402,1.9,1.9,1,1.6,0.8,0.8,RE3-63V331M,710.0,20790.0
63,330,0.238,10,>1000,0.1,0.402,1.3,1.3,1,1.2,0.8,0.8,RE3-63V331M,710.0,20790.0
63,470,0.078,12.5,≤1000,0.1,0.282,1.9,1.9,1,1.6,0.8,0.8,RE3-63V471M,900.0,29610.0
63,470,0.167,12.5,>1000,0.1,0.282,1.3,1.3,1,1.2,0.8,0.8,RE3-63V471M,900.0,29610.0
63,1000,0.044,16,≤1000,0.1,0.159,1.9,1.9,1,1.6,0.8,0.8,RE3-63V102M,1300.0,63000.0
63,1000,0.094,16,>1000,0.1,0.159,1.3,1.3,1,1.2,0.8,0.8,RE3-63V102M,1300.0,63000.0
100,0.1,293.915,5,≤1000,0.08,1061.034,1.9,1.9,1,1.6,0.8,0.8,RE3-100VR10M,2.1,10.0
100,0.1,627.831,5,>1000,0.08,1061.034,1.3,1.3,1,1.2,0.8,0.8,RE3-100VR10M,2.1,10.0
100,0.22,133.598,5,≤1000,0.08,482.288,1.9,1.9,1,1.6,0.8,0.8,RE3-100VR22M,4.7,22.0
100,0.22,285.378,5,>1000,0.08,482.288,1.3,1.3,1,1.2,0.8,0.8,RE3-100VR22M,4.7,22.0
100,0.33,89.065,5,≤1000,0.08,321.525,1.9,1.9,1,1.6,0.8,0.8,RE3-100VR33M,7.0,33.0
100,0.33,190.252,5,>1000,0.08,321.525,1.3,1.3,1,1.2,0.8,0.8,RE3-100VR33M,7.0,33.0
100,0.47,62.535,5,≤1000,0.08,225.752,1.9,1.9,1,1.6,0.8,0.8,RE3-100VR47M,10.0,47.0
100,0.47,133.581,5,>1000,0.08,225.752,1.3,1.3,1,1.2,0.8,0.8,RE3-100VR47M,10.0,47.0
100,1,29.392,5,≤1000,0.08,106.103,1.9,1.9,1,1.6,0.8,0.8,RE3-100V010M,21.0,100.0
100,1,62.783,5,>1000,0.08,106.103,1.3,1.3,1,1.2,0.8,0.8,RE3-100V010M,21.0,100.0
100,2.2,13.36,5,≤1000,0.08,48.229,1.9,1.9,1,1.6,0.8,0.8,RE3-100V2R2M,30.0,220.00000000000003
100,2.2,28.538,5,>1000,0.08,48.229,1.3,1.3,1,1.2,0.8,0.8,RE3-100V2R2M,30.0,220.00000000000003
100,3.3,8.907,5,≤1000,0.08,32.153,1.9,1.9,1,1.6,0.8,0.8,RE3-100V3R3M,40.0,330.0
100,3.3,19.025,5,>1000,0.08,32.153,1.3,1.3,1,1.2,0.8,0.8,RE3-100V3R3M,40.0,330.0
100,4.7,6.254,5,≤1000,0.08,22.575,1.9,1.9,1,1.6,0.8,0.8,RE3-100V4R7M,45.0,470.0
100,4.7,13.358,5,>1000,0.08,22.575,1.3,1.3,1,1.2,0.8,0.8,RE3-100V4R7M,45.0,470.0
100,10,2.939,6.3,≤1000,0.08,10.61,1.9,1.9,1,1.6,0.8,0.8,RE3-100V100M,75.0,1000.0
100,10,6.278,6.3,>1000,0.08,10.61,1.3,1.3,1,1.2,0.8,0.8,RE3-100V100M,75.0,1000.0
100,22,1.336,6.3,≤1000,0.08,4.823,1.9,1.9,1,1.6,0.8,0.8,RE3-100V220M,130.0,2200.0
100,22,2.854,6.3,>1000,0.08,4.823,1.3,1.3,1,1.2,0.8,0.8,RE3-100V220M,130.0,2200.0
100,33,0.891,8,≤1000,0.08,3.215,1.9,1.9,1,1.6,0.8,0.8,RE3-100V330M,180.0,3300.0
100,33,1.903,8,>1000,0.08,3.215,1.3,1.3,1,1.2,0.8,0.8,RE3-100V330M,180.0,3300.0
100,47,0.625,10,≤1000,0.08,2.258,1.9,1.9,1,1.6,0.8,0.8,RE3-100V470M,230.0,4700.0
100,47,1.336,10,>1000,0.08,2.258,1.3,1.3,1,1.2,0.8,0.8,RE3-100V470M,230.0,4700.0
100,100,0.294,10,≤1000,0.08,1.061,1.9,1.9,1,1.6,0.8,0.8,RE3-100V101M,370.0,10000.0
100,100,0.628,10,>1000,0.08,1.061,1.3,1.3,1,1.2,0.8,0.8,RE3-100V101M,370.0,10000.0
100,220,0.134,12.5,≤1000,0.08,0.482,1.9,1.9,1,1.6,0.8,0.8,RE3-100V221M,620.0,22000.0
100,220,0.285,12.5,>1000,0.08,0.482,1.3,1.3,1,1.2,0.8,0.8,RE3-100V221M,620.0,22000.0
100,330,0.089,12.5,≤1000,0.08,0.322,1.9,1.9,1,1.6,0.8,0.8,RE3-100V331M,760.0,33000.0
100,330,0.19,12.5,>1000,0.08,0.322,1.3,1.3,1,1.2,0.8,0.8,RE3-100V331M,760.0,33000.0
100,470,0.063,16,≤1000,0.08,0.226,1.9,1.9,1,1.6,0.8,0.8,RE3-100V471M,1000.0,47000.0
100,470,0.134,16,>1000,0.08,0.226,1.3,1.3,1,1.2,0.8,0.8,RE3-100V471M,1000.0,47000.0
