Voltage,Capacitance,ESR 20°C@120Hz,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,Endurance,Impedance -10°C@100kHz,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current,Status,Vibration resistant,Weight (g)
25,470,0.395,38,10,16,-40,105,0.14,4000,120,118,1800,UHD1E471MPD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1430,MP,Normal,1.77
25,680,0.273,23,10,20,-40,105,0.14,4000,69,170,1400,UHD1E681MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1820,MP,Normal,2.34
25,820,0.226,22,10,25,-40,105,0.14,4000,66,205,1200,UHD1E821MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2150,MP,Normal,3.07
25,1000,0.186,21,12.5,20,-40,105,0.14,5000,53,250,1000,UHD1E102MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2360,MP,Normal,3.43
25,1500,0.124,18,12.5,25,-40,105,0.14,5000,45,375,800,UHD1E152MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2770,MP,Normal,4.56
25,1800,0.103,16,12.5,30.5,-40,105,0.14,5000,41,450,600,UHD1E182MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3290,MP,Normal,6.01
25,1800,0.103,18,16,20,-40,105,0.14,5000,45,450,600,UHD1E182MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3140,MP,Normal,6.6
25,2200,0.096,15,12.5,35.5,-40,105,0.16,5000,39,550,500,UHD1E222MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3400,MP,Normal,7.06
25,2700,0.079,16,16,25,-40,105,0.16,5000,43,675,400,UHD1E272MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3460,MP,Normal,8.2
35,33,4.823,300,5,11,-40,105,0.12,2000,1000,12,6000,UHD1V330MDD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,250,EOL,Normal,0.44
35,56,2.842,130,6.3,11,-40,105,0.12,2000,410,20,4000,UHD1V560MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,405,EOL,Normal,0.59
35,150,1.061,72,8,11.5,-40,105,0.12,3000,220,53,3000,UHD1V151MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,760,MP,Normal,1.19
35,220,0.723,56,8,15,-40,105,0.12,3000,170,77,2000,UHD1V221MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,995,MP,Normal,1.36
35,220,0.723,53,10,12.5,-40,105,0.12,4000,160,77,2000,UHD1V221MPD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1030,MP,Normal,1.49
35,270,0.589,41,8,20,-40,105,0.12,3000,130,95,2000,UHD1V271MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1250,MP,Normal,1.66
35,330,0.482,38,10,16,-40,105,0.12,4000,120,116,1800,UHD1V331MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1430,MP,Normal,1.77
