Voltage,Capacitance,ESR(est.) 20°C@10kHz,ESR(est.) 20°C@100kHz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,ESR(est.) 20°C@120Hz,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,Status,VC,Vibration resistant,Weight (g)
250,6.8,16.197,12.967,8,11.5,-40,105,0.24,46.81,15000,168,3000,ULD2E6R8MPD,Uni-Polar,Radial Lead,Minitualized Long Life,68,60.84,35.79,53.68,LTB,1700,Normal,1.19
250,10,11.014,8.817,10,12.5,-40,105,0.24,31.831,15000,200,2000,ULD2E100MPD,Uni-Polar,Radial Lead,Minitualized Long Life,90,80.53,47.37,71.05,LTB,2500,Normal,1.49
250,12,9.178,7.348,10,12.5,-40,105,0.24,26.526,15000,220,2000,ULD2E120MPD,Uni-Polar,Radial Lead,Minitualized Long Life,97,86.79,51.05,76.58,LTB,3000,Normal,1.49
250,18,6.119,4.899,10,16,-40,105,0.24,17.684,20000,280,1800,ULD2E180MPD,Uni-Polar,Radial Lead,Minitualized Long Life,129,115.42,67.89,101.84,LTB,4500,Normal,1.77
400,1,,,6.3,11,-40,105,0.24,318.31,12000,80,4000,ULD2G010MED,Uni-Polar,Radial Lead,Minitualized Long Life,24,,,,EOL,400,Normal,0.59
400,1.5,,,6.3,11,-40,105,0.24,212.207,12000,100,4000,ULD2G1R5MED,Uni-Polar,Radial Lead,Minitualized Long Life,29,,,,EOL,600,Normal,0.59
400,2.2,44.656,36.172,8,11.5,-40,105,0.24,144.686,15000,128,3000,ULD2G2R2MPD,Uni-Polar,Radial Lead,Minitualized Long Life,40,36,20,32,MP,880.0000000000001,Normal,1.19
400,2.7,36.387,29.473,8,11.5,-40,105,0.24,117.893,15000,143,3000,ULD2G2R7MPD,Uni-Polar,Radial Lead,Minitualized Long Life,43,38.7,21.5,34.4,MP,1080,Normal,1.19
400,3.3,29.771,24.114,8,11.5,-40,105,0.24,96.458,15000,153,3000,ULD2G3R3MPD,Uni-Polar,Radial Lead,Minitualized Long Life,47,42.3,23.5,37.6,MP,1320,Normal,1.19
400,3.9,25.191,20.404,10,12.5,-40,105,0.24,81.618,15000,162,2000,ULD2G3R9MPD,Uni-Polar,Radial Lead,Minitualized Long Life,57,51.3,28.5,45.6,MP,1560,Normal,1.49
400,4.7,20.903,16.931,10,12.5,-40,105,0.24,67.726,15000,175,2000,ULD2G4R7MPD,Uni-Polar,Radial Lead,Minitualized Long Life,61,54.9,30.5,48.8,MP,1880,Normal,1.49
400,5.6,17.544,14.21,10,12.5,-40,105,0.24,56.841,15000,190,2000,ULD2G5R6MPD,Uni-Polar,Radial Lead,Minitualized Long Life,64,57.6,32,51.2,MP,2240,Normal,1.49
400,6.8,16.197,12.967,10,16,-40,105,0.24,46.81,20000,209,1800,ULD2G6R8MPD,Uni-Polar,Radial Lead,Minitualized Long Life,85,76.05,44.74,67.11,MP,2720,Normal,1.77
400,8.2,13.432,10.753,10,16,-40,105,0.24,38.818,20000,231,1800,ULD2G8R2MPD,Uni-Polar,Radial Lead,Minitualized Long Life,88,78.74,46.32,69.47,MP,3279.9999999999995,Normal,1.77
450,5.6,17.544,14.21,10,16,-40,105,0.24,56.841,20000,201,1800,ULD2W5R6MPD,Uni-Polar,Radial Lead,Minitualized Long Life,58,52.2,29,46.4,MP,2520,Normal,1.77
450,6.8,16.197,12.967,10,16,-40,105,0.24,46.81,20000,222,1800,ULD2W6R8MPD,Uni-Polar,Radial Lead,Minitualized Long Life,62,55.47,32.63,48.95,MP,3060,Normal,1.77
450,8.2,13.432,10.753,10,20,-40,105,0.24,38.818,20000,248,1400,ULD2W8R2MPD,Uni-Polar,Radial Lead,Minitualized Long Life,88,78.74,46.32,69.47,MP,3689.9999999999995,Normal,2.34
450,10,11.014,8.817,10,20,-40,105,0.24,31.831,20000,280,1400,ULD2W100MPD,Uni-Polar,Radial Lead,Minitualized Long Life,92,82.32,48.42,72.63,MP,4500,Normal,2.34
450,15,7.343,5.878,12.5,20,-40,105,0.24,21.221,20000,370,1000,ULD2W150MHD,Uni-Polar,Radial Lead,Minitualized Long Life,140,125.26,73.68,110.53,MP,6750,Normal,3.43
450,22,5.652,4.466,12.5,25,-40,105,0.24,14.469,20000,496,800,ULD2W220MHD,Uni-Polar,Radial Lead,Minitualized Long Life,240,213.33,133.33,186.67,MP,9900,Normal,4.56
450,22,5.652,4.466,16,20,-40,105,0.24,14.469,20000,496,600,ULD2W220MHD6,Uni-Polar,Radial Lead,Minitualized Long Life,292,259.56,162.22,227.11,MP,9900,Normal,6.6
450,27,4.605,3.639,16,20,-40,105,0.24,11.789,20000,586,600,ULD2W270MHD,Uni-Polar,Radial Lead,Minitualized Long Life,305,271.11,169.44,237.22,MP,12150,Normal,6.6
450,33,3.768,2.977,16,25,-40,105,0.24,9.646,20000,694,400,ULD2W330MHD,Uni-Polar,Radial Lead,Minitualized Long Life,392,348.44,217.78,304.89,MP,14850,Normal,8.2
450,33,3.768,2.977,18,20,-40,105,0.24,9.646,20000,694,400,ULD2W330MHD6,Uni-Polar,Radial Lead,Minitualized Long Life,312,277.33,173.33,242.67,MP,14850,Normal,9
450,47,2.646,2.09,18,25,-40,105,0.24,6.773,20000,946,300,ULD2W470MHD,Uni-Polar,Radial Lead,Minitualized Long Life,480,426.67,266.67,373.33,MP,21150,Normal,10.6
450,68,1.829,1.445,18,30.5,-40,105,0.24,4.681,20000,1324,300,ULD2W680MHD,Uni-Polar,Radial Lead,Minitualized Long Life,520,462.22,288.89,404.44,MP,30600,Normal,13.1
