Voltage,Capacitance,Dissipation Factor,ESR 20°C@100kHz,Case Size Diameter,Case Size Length,ESR -40°C@100kHz,ESR(est.) 20°C@120Hz,Part Number,Ripple Current 125°C@100kHz,Ripple Current 125°C@10kHz,Ripple Current 125°C@120Hz,Ripple Current 125°C@1kHz,Ripple Current 125°C@300Hz,Ripple Current 125°C@50Hz,VC
63,820,,0.055,18,20,0.29,,EGXF630E□□821MM20S,1750,1655.69,1047.9,1519.46,,,51660
63,910,,0.042,14.5,30,0.30,,EGXF630E□□911MU30S,2700,2554.49,1616.77,2344.31,,,57330
63,910,,0.047,16,25,0.27,,EGXF630E□□911ML25S,2300,2176.05,1377.25,1997.01,,,57330
63,1000,,0.038,12.5,40,0.26,,EGXF630E□□102MK40S,3080,2914.01,1844.31,2674.25,,,63000
63,1100,,0.037,14.5,35,0.24,,EGXF630E□□112MU35S,2940,2781.56,1760.48,2552.69,,,69300
63,1100,,0.037,16,30,0.23,,EGXF630E□□112ML30S,2940,2781.56,1760.48,2552.69,,,69300
63,1200,,0.044,18,25,0.22,,EGXF630E□□122MM25S,2440,2308.5,1461.08,2118.56,,,75600
63,1300,,0.032,14.5,40,0.20,,EGXF630E□□132MU40S,3350,3169.46,2005.99,2908.68,,,81900
63,1300,,0.031,16,35,0.17,,EGXF630E□□132ML35S,3220,3046.47,1928.14,2795.81,,,81900
63,1500,,0.037,18,30,0.18,,EGXF630E□□152MM30S,3100,2932.93,1856.29,2691.62,,,94500
63,1800,,0.028,16,40,0.15,,EGXF630E□□182ML40S,3590,3396.53,2149.7,3117.07,,,113400
63,2000,,0.028,18,35,0.13,,EGXF630E□□202MM35S,3450,3264.07,2065.87,2995.51,,,126000
63,2400,,0.023,18,40,0.10,,EGXF630E□□242MM40S,3690,3523.53,2774.44,3329.32,,,151200
80,240,,0.097,12.5,20,0.75,,EGXF800E□□241MK20S,1310,1220.92,524,1074.2,,,19200
80,330,,0.072,12.5,25,0.55,,EGXF800E□□331MK25S,1880,1767.2,940,1598,,,26400
80,330,,0.072,14.5,20,0.59,,EGXF800E□□331MU20S,1510,1419.4,755,1283.5,,,26400
80,390,,0.062,16,20,0.39,,EGXF800E□□391ML20S,1630,1532.2,815,1385.5,,,31200
80,430,,0.052,12.5,30,0.37,,EGXF800E□□431MK30S,2410,2265.4,1205,2048.5,,,34400
80,470,,0.054,14.5,25,0.40,,EGXF800E□□471MU25S,2130,2002.2,1065,1810.5,,,37600
80,560,,0.044,12.5,35,0.29,,EGXF800E□□561MK35S,2760,2594.4,1380,2346,,,44800
80,560,,0.047,16,25,0.27,,EGXF800E□□561ML25S,2300,2162,1150,1955,,,44800
80,560,,0.055,18,20,0.29,,EGXF800E□□561MM20S,1750,1645,875,1487.5,,,44800
80,620,,0.038,12.5,40,0.26,,EGXF800E□□621MK40S,3080,2914.01,1844.31,2674.25,,,49600
80,620,,0.042,14.5,30,0.30,,EGXF800E□□621MU30S,2700,2554.49,1616.77,2344.31,,,49600
80,680,,0.037,14.5,35,0.24,,EGXF800E□□681MU35S,2940,2781.56,1760.48,2552.69,,,54400
80,680,,0.037,16,30,0.23,,EGXF800E□□681ML30S,2940,2781.56,1760.48,2552.69,,,54400
80,750,,0.044,18,25,0.22,,EGXF800E□□751MM25S,2440,2308.5,1461.08,2118.56,,,60000
80,820,,0.032,14.5,40,0.20,,EGXF800E□□821MU40S,3350,3169.46,2005.99,2908.68,,,65600
80,910,,0.031,16,35,0.17,,EGXF800E□□911ML35S,3220,3046.47,1928.14,2795.81,,,72800
80,910,,0.037,18,30,0.18,,EGXF800E□□911MM30S,3100,2932.93,1856.29,2691.62,,,72800
80,1100,,0.028,16,40,0.15,,EGXF800E□□112ML40S,3590,3396.53,2149.7,3117.07,,,88000
