Voltage,Capacitance,ESR(est.) 20°C@10kHz,ESR(est.) 20°C@100kHz,ESR 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR -10°C@100kHz,ESR(est.) 20°C@120Hz,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,Ripple Current 105°C@300Hz,Ripple Current 105°C@50Hz,Ripple Current 105°C@60Hz,Size Code,VC
50,22,0.544,0.544,0.9,5,11.5,0.1,1.8,6.029,173,173,51.95,138.71,86.76,34.81,34.81,C11,1100
50,27,0.443,0.443,0.9,5,11.5,0.1,1.8,4.912,173,173,51.95,138.71,86.76,34.81,34.81,C11,1350
50,33,0.362,0.362,0.4,6.3,11.5,0.1,0.8,4.019,285,285,85.59,228.51,142.93,57.34,57.34,D11,1650
50,47,0.254,0.254,0.4,6.3,11.5,0.1,0.8,2.822,285,285,85.59,228.51,142.93,57.34,57.34,D11,2350
50,56,0.214,0.214,0.4,6.3,11.5,0.1,0.8,2.368,285,285,85.59,228.51,142.93,57.34,57.34,D11,2800
50,82,0.682,0.682,0.19,8,12,0.1,0.38,1.617,508,508,329.87,432.13,379.35,280.39,280.39,E12,4100
50,100,0.559,0.559,0.155,8,15,0.1,0.31,1.326,636,636,412.99,541.01,474.94,351.04,351.04,E15,5000
50,150,0.373,0.373,0.17,10,12.5,0.1,0.34,0.884,628,628,407.79,534.21,468.96,346.62,346.62,F12,7500
50,180,0.311,0.311,0.17,10,12.5,0.1,0.34,0.737,628,628,407.79,534.21,468.96,346.62,346.62,F12,9000
50,220,0.254,0.254,0.119,10,16,0.1,0.238,0.603,850,850,551.95,723.05,634.74,469.16,469.16,F16,11000
50,270,0.207,0.207,0.081,10,20,0.1,0.162,0.491,1120,1120,727.27,952.73,836.36,618.18,618.18,F20,13500
50,330,0.169,0.169,0.081,10,20,0.1,0.162,0.402,1120,1120,727.27,952.73,836.36,618.18,618.18,F20,16500
50,330,0.169,0.169,0.09,12.5,15,0.1,0.18,0.402,1170,1170,759.74,995.26,873.7,645.78,645.78,G15,16500
50,470,0.16,0.16,0.057,12.5,20,0.1,0.114,0.282,1540,1540,1157.89,1389.47,1238.95,1076.84,1076.84,G20,23500
50,560,0.134,0.134,0.042,12.5,25,0.1,0.084,0.237,1910,1910,1436.09,1723.31,1536.62,1335.56,1335.56,G25,28000
50,680,0.11,0.11,0.034,18,20,0.1,0.068,0.195,2420,2420,1819.55,2183.46,1946.92,1692.18,1692.18,K20,34000
50,820,0.091,0.091,0.038,12.5,30,0.1,0.076,0.162,2290,2290,1721.8,2066.17,1842.33,1601.28,1601.28,G30,41000
50,820,0.091,0.091,0.034,18,20,0.1,0.068,0.162,2420,2420,1819.55,2183.46,1946.92,1692.18,1692.18,K20,41000
50,1000,0.09,0.09,0.031,16,25,0.1,0.062,0.159,2450,2450,1842.11,2210.53,1971.05,1713.16,1713.16,J25,50000
50,1000,0.09,0.09,0.034,18,20,0.1,0.068,0.159,2420,2420,1819.55,2183.46,1946.92,1692.18,1692.18,K20,50000
50,1200,0.095,0.095,0.029,18,25,0.1,0.058,0.133,2750,2750,2330.51,2610.17,2470.34,2190.68,2190.68,K25,60000
50,1500,0.076,0.076,0.027,16,31.5,0.1,0.054,0.106,3100,3100,2627.12,2942.37,2784.75,2469.49,2469.49,J31,75000
50,1500,0.076,0.076,0.029,18,25,0.1,0.058,0.106,2750,2750,2330.51,2610.17,2470.34,2190.68,2190.68,K25,75000
50,1800,0.064,0.064,0.023,16,35.5,0.1,0.046,0.088,3530,3530,2991.53,3350.51,3171.02,2812.03,2812.03,J35,90000
50,1800,0.064,0.064,0.025,18,31.5,0.1,0.05,0.088,3200,3200,2711.86,3037.29,2874.58,2549.15,2549.15,K31,90000
50,2200,0.061,0.061,0.02,16,40,0.1,0.04,0.084,3830,3830,3245.76,3635.25,3440.51,3051.02,3051.02,J40,110000
50,2200,0.061,0.061,0.022,18,35.5,0.1,0.044,0.084,3670,3670,3110.17,3483.39,3296.78,2923.56,2923.56,K35,110000
50,2700,0.049,0.049,0.018,18,40,0.1,0.036,0.069,4160,4160,3525.42,3948.47,3736.95,3313.9,3313.9,K40,135000
63,10,1.196,1.196,2.5,5,11.5,0.1,10,13.263,135,135,40.54,108.24,67.7,27.16,27.16,C11,630
63,22,0.544,0.544,1.2,6.3,11.5,0.1,4.8,6.029,225,225,67.57,180.41,112.84,45.27,45.27,D11,1386
63,27,0.443,0.443,1.2,6.3,11.5,0.1,4.8,4.912,225,225,67.57,180.41,112.84,45.27,45.27,D11,1701
63,33,0.362,0.362,1.2,6.3,11.5,0.1,4.8,4.019,225,225,67.57,180.41,112.84,45.27,45.27,D11,2079
63,47,0.254,0.254,0.6,8,12,0.1,1.8,2.822,380,380,114.11,304.68,190.57,76.46,76.46,E12,2961
63,56,0.214,0.214,0.6,8,12,0.1,1.8,2.368,380,380,114.11,304.68,190.57,76.46,76.46,E12,3528
63,82,0.682,0.682,0.3,8,20,0.1,0.9,1.617,682,682,442.86,580.14,509.29,376.43,376.43,E20,5166
63,100,0.559,0.559,0.32,10,16,0.1,0.64,1.326,620,620,402.6,527.4,462.99,342.21,342.21,F16,6300
63,150,0.373,0.373,0.25,10,20,0.1,0.5,0.884,800,800,519.48,680.52,597.4,441.56,441.56,F20,9450
63,180,0.311,0.311,0.18,10,25,0.1,0.36,0.737,960,960,623.38,816.62,716.88,529.87,529.87,F25,11340
63,220,0.254,0.254,0.075,12.5,20,0.1,0.15,0.603,1340,1340,870.13,1139.87,1000.65,739.61,739.61,G20,13860
63,330,0.169,0.169,0.065,12.5,25,0.1,0.13,0.402,1730,1730,1123.38,1471.62,1291.88,954.87,954.87,G25,20790
63,470,0.16,0.16,0.055,12.5,30,0.1,0.11,0.282,2110,2110,1586.47,1903.76,1697.52,1475.41,1475.41,G30,29610
63,470,0.16,0.16,0.052,16,25,0.1,0.104,0.282,2180,2180,1639.1,1966.92,1753.83,1524.36,1524.36,J25,29610
63,470,0.16,0.16,0.058,18,20,0.1,0.116,0.282,2290,2290,1721.8,2066.17,1842.33,1601.28,1601.28,K20,29610
63,560,0.134,0.134,0.052,16,25,0.1,0.104,0.237,2180,2180,1639.1,1966.92,1753.83,1524.36,1524.36,J25,35280
63,560,0.134,0.134,0.058,18,20,0.1,0.116,0.237,2290,2290,1721.8,2066.17,1842.33,1601.28,1601.28,K20,35280
63,680,0.11,0.11,0.042,16,31.5,0.1,0.084,0.195,2710,2710,2037.59,2445.11,2180.23,1894.96,1894.96,J31,42840
63,680,0.11,0.11,0.05,18,25,0.1,0.1,0.195,2610,2610,1962.41,2354.89,2099.77,1825.04,1825.04,K25,42840
63,820,0.091,0.091,0.042,16,31.5,0.1,0.084,0.162,2710,2710,2037.59,2445.11,2180.23,1894.96,1894.96,J31,51660
63,820,0.091,0.091,0.05,18,25,0.1,0.1,0.162,2610,2610,1962.41,2354.89,2099.77,1825.04,1825.04,K25,51660
63,1000,0.09,0.09,0.036,16,35.5,0.1,0.072,0.159,2820,2820,2120.3,2544.36,2268.72,1971.88,1971.88,J35,63000
63,1000,0.09,0.09,0.042,18,31.5,0.1,0.084,0.159,3080,3080,2315.79,2778.95,2477.89,2153.68,2153.68,K31,63000
63,1500,0.076,0.076,0.035,18,35.5,0.1,0.07,0.106,3530,3530,2991.53,3350.51,3171.02,2812.03,2812.03,K35,94500
63,1800,0.064,0.064,0.032,18,40,0.1,0.064,0.088,3880,3880,3288.14,3682.71,3485.42,3090.85,3090.85,K40,113400
80,10,0.957,0.957,2.5,5,11.5,0.08,10,10.61,135,135,40.54,108.24,67.7,27.16,27.16,C11,800
80,22,0.435,0.435,0.6,8,12,0.08,1.8,4.823,380,380,114.11,304.68,190.57,76.46,76.46,E12,1760
80,33,0.29,0.29,0.6,8,12,0.08,1.8,3.215,380,380,114.11,304.68,190.57,76.46,76.46,E12,2640
80,47,0.204,0.204,0.45,8,15,0.08,1.4,2.258,470,470,141.14,376.85,235.71,94.56,94.56,E15,3760
80,56,0.171,0.171,0.47,10,12.5,0.08,0.94,1.895,480,480,144.14,384.86,240.72,96.58,96.58,F12,4480
80,82,0.546,0.546,0.32,10,16,0.08,0.64,1.294,620,620,402.6,527.4,462.99,342.21,342.21,F16,6560
80,100,0.447,0.447,0.25,10,20,0.08,0.5,1.061,800,800,519.48,680.52,597.4,441.56,441.56,F20,8000
80,150,0.298,0.298,0.075,12.5,20,0.08,0.15,0.707,1340,1340,870.13,1139.87,1000.65,739.61,739.61,G20,12000
80,220,0.203,0.203,0.065,12.5,25,0.08,0.13,0.482,1730,1730,1123.38,1471.62,1291.88,954.87,954.87,G25,17600
80,330,0.136,0.136,0.055,12.5,30,0.08,0.11,0.322,2110,2110,1370.13,1794.87,1575.65,1164.61,1164.61,G30,26400
80,470,0.128,0.128,0.042,16,31.5,0.08,0.084,0.226,2710,2710,2037.59,2445.11,2180.23,1894.96,1894.96,J31,37600
80,470,0.128,0.128,0.05,18,25,0.08,0.1,0.226,2610,2610,1962.41,2354.89,2099.77,1825.04,1825.04,K25,37600
80,560,0.107,0.107,0.042,16,31.5,0.08,0.084,0.189,2710,2710,2037.59,2445.11,2180.23,1894.96,1894.96,J31,44800
80,560,0.107,0.107,0.05,18,25,0.08,0.1,0.189,2610,2610,1962.41,2354.89,2099.77,1825.04,1825.04,K25,44800
80,680,0.088,0.088,0.036,16,35.5,0.08,0.072,0.156,2820,2820,2120.3,2544.36,2268.72,1971.88,1971.88,J35,54400
80,680,0.088,0.088,0.042,18,31.5,0.08,0.084,0.156,3080,3080,2315.79,2778.95,2477.89,2153.68,2153.68,K31,54400
80,820,0.073,0.073,0.032,16,40,0.08,0.064,0.129,3140,3140,2360.9,2833.08,2526.17,2195.64,2195.64,J40,65600
80,820,0.073,0.073,0.035,18,35.5,0.08,0.07,0.129,3530,3530,2654.14,3184.96,2839.92,2468.35,2468.35,K35,65600
80,1000,0.075,0.075,0.032,18,40,0.08,0.064,0.133,3880,3880,2917.29,3500.75,3121.5,2713.08,2713.08,K40,80000
100,10,0.957,0.957,1.7,6.3,11.5,0.08,6.8,10.61,186,186,55.86,149.14,93.28,37.42,37.42,D11,1000
100,22,0.435,0.435,0.7,8,12,0.08,2.1,4.823,315,315,94.59,252.57,157.97,63.38,63.38,E12,2200
100,33,0.29,0.29,0.51,8,15,0.08,1.53,3.215,423,423,127.03,339.16,212.14,85.11,85.11,E15,3300
100,47,0.204,0.204,0.54,10,12.5,0.08,1.08,2.258,392,392,117.72,314.31,196.59,78.87,78.87,F12,4700
100,56,0.171,0.171,0.37,10,16,0.08,0.74,1.895,520,520,156.16,416.94,260.78,104.62,104.62,F16,5600
100,82,0.546,0.546,0.29,10,20,0.08,0.58,1.294,640,640,415.58,544.42,477.92,353.25,353.25,F20,8200
100,100,0.447,0.447,0.2,10,25,0.08,0.4,1.061,820,820,532.47,697.53,612.34,452.6,452.6,F25,10000
100,150,0.298,0.298,0.11,12.5,25,0.08,0.22,0.707,1200,1200,779.22,1020.78,896.1,662.34,662.34,G25,15000
100,220,0.203,0.203,0.09,12.5,30,0.08,0.18,0.482,1450,1450,941.56,1233.44,1082.79,800.32,800.32,G30,22000
100,330,0.136,0.136,0.079,16,25,0.08,0.16,0.322,1650,1650,1071.43,1403.57,1232.14,910.71,910.71,J25,33000
100,470,0.128,0.128,0.052,16,35.5,0.08,0.104,0.226,2340,2340,1759.4,2111.28,1882.56,1636.24,1636.24,J35,47000
100,470,0.128,0.128,0.054,18,31.5,0.08,0.108,0.226,2350,2350,1766.92,2120.3,1890.6,1643.23,1643.23,K31,47000
100,560,0.107,0.107,0.045,16,40,0.08,0.09,0.189,2650,2650,1992.48,2390.98,2131.95,1853.01,1853.01,J40,56000
100,560,0.107,0.107,0.044,18,35.5,0.08,0.088,0.189,2730,2730,2052.63,2463.16,2196.32,1908.95,1908.95,K35,56000
100,680,0.088,0.088,0.045,16,40,0.08,0.09,0.156,2650,2650,1992.48,2390.98,2131.95,1853.01,1853.01,J40,68000
100,680,0.088,0.088,0.044,18,35.5,0.08,0.088,0.156,2730,2730,2052.63,2463.16,2196.32,1908.95,1908.95,K35,68000
100,820,0.073,0.073,0.039,18,40,0.08,0.078,0.129,3050,3050,2293.23,2751.88,2453.76,2132.71,2132.71,K40,82000
