Voltage,Capacitance,ESR 20°C@120Hz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 85°C@120Hz,Status,Vibration resistant,Weight (g)
35,1000,0.186,12.5,20,-40,85,0.14,2000,1050,1000,UVR1V102MHD,Uni-Polar,Radial Lead,Standard,1150,MP,Normal,3.43
35,2200,0.096,16,25,-40,85,0.16,2000,2310,400,UVR1V222MHD,Uni-Polar,Radial Lead,Standard,1800,MP,Normal,8.2
35,3300,0.072,16,35.5,-40,85,0.18,2000,3465,300,UVR1V332MHD,Uni-Polar,Radial Lead,Standard,2280,MP,Normal,11.8
35,4700,0.056,18,35.5,-40,85,0.2,2000,4935,250,UVR1V472MHD,Uni-Polar,Radial Lead,Standard,2700,MP,Normal,14.2
35,4700,0.056,20,31,-40,85,0.2,2000,4935,200,UVR1V472MRD6,Uni-Polar,Radial Lead,Standard,2700,EOL,Normal,13.7
35,6800,0.047,20,40,-40,85,0.24,2000,7140,150,UVR1V682MRD,Uni-Polar,Radial Lead,Standard,3000,EOL,Normal,19.6
35,6800,0.047,25,30,-40,85,0.24,2000,7140,160,UVR1V682MRD6,Uni-Polar,Radial Lead,Standard,2900,EOL,Normal,21.5
35,10000,0.042,22,50,-40,85,0.32,2000,10500,250,UVR1V103MRD,Uni-Polar,Radial Lead,Standard,3700,EOL,Normal,27.4
35,10000,0.042,25,40,-40,85,0.32,2000,10500,180,UVR1V103MRD6,Uni-Polar,Radial Lead,Standard,3600,EOL,Normal,27.4
35,15000,0.037,25,50,-40,85,0.42,2000,15750,140,UVR1V153MRD,Uni-Polar,Radial Lead,Standard,4300,EOL,Normal,38.8
50,2.2,72.343,5,11,-40,85,0.12,2000,4,6000,UVR1H2R2MDD,Uni-Polar,Radial Lead,Standard,28,EOL,Normal,0.44
50,3.3,48.229,5,11,-40,85,0.12,2000,5,6000,UVR1H3R3MDD,Uni-Polar,Radial Lead,Standard,35,EOL,Normal,0.44
50,4.7,33.863,5,11,-40,85,0.12,2000,7,6000,UVR1H4R7MDD,Uni-Polar,Radial Lead,Standard,40,EOL,Normal,0.44
50,10,15.916,5,11,-40,85,0.12,2000,15,6000,UVR1H100MDD,Uni-Polar,Radial Lead,Standard,60,EOL,Normal,0.44
50,22,7.234,5,11,-40,85,0.12,2000,33,6000,UVR1H220MDD,Uni-Polar,Radial Lead,Standard,95,EOL,Normal,0.44
50,33,4.823,5,11,-40,85,0.12,2000,50,6000,UVR1H330MDD,Uni-Polar,Radial Lead,Standard,125,EOL,Normal,0.44
