Voltage,Capacitance,Dissipation Factor,Case Size Diameter,Case Size Length,ESR(est.) 20°C@120Hz,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,Ripple Current 105°C@500Hz,Ripple Current 105°C@50Hz,Ripple Current 105°C@60Hz,VC
160,560,0.2,16,45,0.474,3520,3344,1760,2640,2288,1408,1408,89600
160,560,0.2,18,35,0.474,3480,3306,1740,2610,2262,1392,1392,89600
160,680,0.2,18,40,0.39,4000,3800,2000,3000,2600,1600,1600,108800
160,820,0.2,18,50,0.323,4460,4237,2230,3345,2899,1784,1784,131200
200,33,0.2,10,16,8.038,650,546,260,390,338,208,208,6600
200,47,0.2,10,20,5.644,800,672,320,480,416,256,256,9400
200,56,0.2,16,16,4.737,1350,1134,540,810,702,432,432,11200
200,68,0.2,10,25,3.901,1075,903,430,645,559,344,344,13600
200,68,0.2,12.5,20,3.901,1350,1134,540,810,702,432,432,13600
200,82,0.2,10,30,3.235,1250,1050,500,750,650,400,400,16400
200,82,0.2,18,16,3.235,1550,1302,620,930,806,496,496,16400
200,100,0.2,10,35,2.653,1440,1280,640,960,832,512,512,20000
200,100,0.2,14.5,20,2.653,1305,1160,580,870,754,464,464,20000
200,120,0.2,10,40,2.21,1665,1480,740,1110,962,592,592,24000
200,120,0.2,12.5,25,2.21,1463,1300,650,975,845,520,520,24000
200,120,0.2,16,20,2.21,1800,1600,800,1200,1040,640,640,24000
200,150,0.2,10,45,1.768,1755,1560,780,1170,1014,624,624,30000
200,150,0.2,12.5,30,1.768,1800,1600,800,1200,1040,640,640,30000
200,150,0.2,14.5,25,1.768,1778,1580,790,1185,1027,632,632,30000
200,180,0.2,12.5,35,1.474,2070,1840,920,1380,1196,736,736,36000
200,180,0.2,14.5,30,1.474,2138,1900,950,1425,1235,760,760,36000
200,180,0.2,16,25,1.474,2025,1800,900,1350,1170,720,720,36000
200,180,0.2,18,20,1.474,2250,2000,1000,1500,1300,800,800,36000
200,220,0.2,12.5,40,1.206,2363,2100,1050,1575,1365,840,840,44000
200,220,0.2,14.5,35,1.206,2453,2180,1090,1635,1417,872,872,44000
200,220,0.2,16,30,1.206,2430,2160,1080,1620,1404,864,864,44000
200,270,0.2,12.5,50,0.982,2520,2394,1260,1890,1638,1008,1008,54000
200,270,0.2,14.5,40,0.982,2520,2394,1260,1890,1638,1008,1008,54000
200,270,0.2,16,30,0.982,2360,2242,1180,1770,1534,944,944,54000
200,270,0.2,18,25,0.982,2200,2090,1100,1650,1430,880,880,54000
200,330,0.2,14.5,45,0.804,2740,2603,1370,2055,1781,1096,1096,66000
200,330,0.2,16,40,0.804,2860,2717,1430,2145,1859,1144,1144,66000
200,330,0.2,18,30,0.804,2600,2470,1300,1950,1690,1040,1040,66000
200,390,0.2,14.5,50,0.68,2960,2812,1480,2220,1924,1184,1184,78000
200,390,0.2,16,45,0.68,3100,2945,1550,2325,2015,1240,1240,78000
200,390,0.2,18,35,0.68,2860,2717,1430,2145,1859,1144,1144,78000
200,470,0.2,16,50,0.564,3360,3192,1680,2520,2184,1344,1344,94000
200,470,0.2,18,40,0.564,3240,3078,1620,2430,2106,1296,1296,94000
200,560,0.2,18,45,0.474,3540,3363,1770,2655,2301,1416,1416,112000
220,33,0.2,10,16,8.038,600,504,240,360,312,192,192,7260
220,47,0.2,10,20,5.644,750,630,300,450,390,240,240,10340
220,56,0.2,10,25,4.737,1000,840,400,600,520,320,320,12320
220,68,0.2,12.5,20,3.901,1200,1008,480,720,624,384,384,14960
