Voltage,Capacitance,ESR(est.) 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR(est.) 20°C@120Hz,Frequency Coefficient 100kHz,Frequency Coefficient 10kHz,Frequency Coefficient 120Hz,Frequency Coefficient 1kHz,Impedance -10°C,Impedance 20°C,Part Number,Ripple Current 105°C@100kHz,VC
35,1800,0.037,18,20,0.12,0.103,1.67,1.58,1.0,1.45,0.06,0.02,EKZN350E□□182MM20S,3450,63000.0
35,2700,0.044,16,31.5,0.12,0.079,1.33,1.27,1.0,1.2,0.048,0.016,EKZN350E□□272MLN3S,4100,94500.0
35,2700,0.044,18,25,0.12,0.079,1.33,1.27,1.0,1.2,0.048,0.016,EKZN350E□□272MM25S,3880,94500.0
35,3300,0.041,16,35.5,0.12,0.072,1.33,1.27,1.0,1.2,0.042,0.014,EKZN350E□□332MLP1S,4280,115500.0
35,3300,0.041,18,31.5,0.12,0.072,1.33,1.27,1.0,1.2,0.042,0.014,EKZN350E□□332MMN3S,4190,115500.0
35,3900,0.035,16,40,0.12,0.061,1.33,1.27,1.0,1.2,0.039,0.013,EKZN350E□□392ML40S,4580,136500.0
35,3900,0.035,18,35.5,0.12,0.061,1.33,1.27,1.0,1.2,0.036,0.012,EKZN350E□□392MMP1S,4380,136500.0
35,4700,0.041,18,40,0.12,0.056,1.18,1.15,1.0,1.12,0.033,0.011,EKZN350E□□472MM40S,4960,164500.0
50,27,0.786,5,11,0.1,4.912,2.5,2.25,1.0,1.88,1.3,0.4,EKZN500E□□270ME11D,450,1350.0
50,56,0.379,6.3,11,0.1,2.368,2.5,2.25,1.0,1.88,0.54,0.18,EKZN500E□□560MF11D,700,2800.0
50,100,0.212,8,11.5,0.1,1.326,2.5,2.25,1.0,1.88,0.26,0.085,EKZN500E□□101MHB5D,1200,5000.0
50,120,0.177,8,15,0.1,1.105,2.5,2.25,1.0,1.88,0.2,0.065,EKZN500E□□121MH15D,1600,6000.0
50,150,0.141,10,12.5,0.1,0.884,2.5,2.25,1.0,1.88,0.22,0.073,EKZN500E□□151MJC5S,1280,7500.0
50,180,0.118,8,20,0.1,0.737,2.5,2.25,1.0,1.88,0.16,0.049,EKZN500E□□181MH20D,1960,9000.0
50,220,0.151,10,16,0.1,0.603,2.0,1.88,1.0,1.7,0.16,0.053,EKZN500E□□221MJ16S,1650,11000.0
50,330,0.1,10,20,0.1,0.402,2.0,1.88,1.0,1.7,0.12,0.038,EKZN500E□□331MJ20S,2060,16500.0
50,330,0.1,12.5,16,0.1,0.402,2.0,1.88,1.0,1.7,0.14,0.045,EKZN500E□□331MK16S,2160,16500.0
50,390,0.085,10,25,0.1,0.34,2.0,1.88,1.0,1.7,0.1,0.032,EKZN500E□□391MJ25S,2420,19500.0
50,470,0.071,12.5,20,0.1,0.282,2.0,1.88,1.0,1.7,0.1,0.032,EKZN500E□□471MK20S,2300,23500.0
50,680,0.07,12.5,25,0.1,0.195,1.67,1.58,1.0,1.45,0.08,0.025,EKZN500E□□681MK25S,2800,34000.0
50,820,0.058,12.5,30,0.1,0.162,1.67,1.58,1.0,1.45,0.074,0.023,EKZN500E□□821MK30S,3370,41000.0
50,820,0.058,16,20,0.1,0.162,1.67,1.58,1.0,1.45,0.084,0.026,EKZN500E□□821ML20S,3070,41000.0
