Voltage,Capacitance,ESR(est.) 20°C@10kHz,ESR(est.) 20°C@100kHz,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,ESR(est.) 20°C@120Hz,Endurance,Frequency Coefficient 100kHz,Frequency Coefficient 10kHz,Frequency Coefficient 120Hz,Frequency Coefficient 1kHz,Impedance -10°C@100kHz,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 105°C@100kHz,Status,VC,Vibration resistant,Weight (g)
16,2700,0.064,0.058,0.014,12.5,25,-40,105,0.17,0.103,6000,1.33,1.27,1.0,1.2,0.036,432,800,UHV1C272MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3190,MP,43200.0,Normal,4.56
16,3300,0.062,0.057,0.012,12.5,30.5,-40,105,0.19,0.1,6000,1.33,1.27,1.0,1.2,0.031,528,600,UHV1C332MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3795,MP,52800.0,Normal,6.01
16,3300,0.062,0.057,0.014,16,20,-40,105,0.19,0.1,6000,1.33,1.27,1.0,1.2,0.036,528,600,UHV1C332MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3575,MP,52800.0,Normal,6.6
16,3900,0.053,0.048,0.011,12.5,35.5,-40,105,0.19,0.085,6000,1.33,1.27,1.0,1.2,0.029,624,500,UHV1C392MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3925,MP,62400.0,Normal,7.06
16,4700,0.062,0.059,0.012,16,25,-40,105,0.21,0.082,6000,1.18,1.15,1.0,1.12,0.033,752,400,UHV1C472MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3990,MP,75200.0,Normal,8.2
25,68,2.536,2.536,0.23,5,11,-40,105,0.13,2.536,5000,,,,,0.76,17,6000,UHV1E680MDD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,360,EOL,1700.0,Normal,0.44
25,100,1.724,1.724,0.1,6.3,11,-40,105,0.13,1.724,5000,,,,,0.33,25,4000,UHV1E101MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,450,EOL,2500.0,Normal,0.59
25,150,0.227,0.184,0.1,6.3,11,-40,105,0.13,1.149,5000,2.5,2.25,1.0,1.88,0.33,38,4000,UHV1E151MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,550,EOL,3750.0,Normal,0.59
25,220,0.222,0.196,0.059,8,11.5,-40,105,0.13,0.784,6000,2.0,1.88,1.0,1.7,0.181,55,3000,UHV1E221MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,810,MP,5500.0,Normal,1.19
25,270,0.181,0.16,0.059,8,11.5,-40,105,0.13,0.639,6000,2.0,1.88,1.0,1.7,0.181,68,3000,UHV1E271MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,900,MP,6750.0,Normal,1.19
25,330,0.148,0.131,0.059,8,11.5,-40,105,0.13,0.522,6000,2.0,1.88,1.0,1.7,0.181,83,3000,UHV1E331MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,990,MP,8250.0,Normal,1.19
25,390,0.125,0.111,0.046,8,15,-40,105,0.13,0.442,6000,2.0,1.88,1.0,1.7,0.143,98,2000,UHV1E391MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1330,MP,9750.0,Normal,1.36
25,470,0.104,0.092,0.043,10,12.5,-40,105,0.13,0.367,6000,2.0,1.88,1.0,1.7,0.133,118,2000,UHV1E471MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1360,MP,11750.0,Normal,1.49
25,560,0.087,0.077,0.031,8,20,-40,105,0.13,0.308,6000,2.0,1.88,1.0,1.7,0.105,140,2000,UHV1E561MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1550,MP,14000.0,Normal,1.66
25,680,0.102,0.091,0.03,10,16,-40,105,0.13,0.254,6000,1.67,1.58,1.0,1.45,0.095,170,1800,UHV1E681MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1815,MP,17000.0,Normal,1.77
25,820,0.084,0.075,0.019,10,20,-40,105,0.13,0.21,6000,1.67,1.58,1.0,1.45,0.057,205,1400,UHV1E821MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2160,MP,20500.0,Normal,2.34
25,1000,0.08,0.071,0.017,10,25,-40,105,0.13,0.199,6000,1.67,1.58,1.0,1.45,0.051,250,1200,UHV1E102MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2475,MP,25000.0,Normal,3.07
25,1200,0.066,0.059,0.016,12.5,20,-40,105,0.13,0.166,6000,1.67,1.58,1.0,1.45,0.041,300,1000,UHV1E122MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2475,MP,30000.0,Normal,3.43
25,1500,0.053,0.048,0.016,12.5,20,-40,105,0.13,0.133,6000,1.67,1.58,1.0,1.45,0.041,375,1000,UHV1E152MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2725,MP,37500.0,Normal,3.43
25,1800,0.044,0.04,0.014,12.5,25,-40,105,0.13,0.111,6000,1.67,1.58,1.0,1.45,0.036,450,800,UHV1E182MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3190,MP,45000.0,Normal,4.56
25,2200,0.071,0.065,0.012,12.5,30.5,-40,105,0.15,0.115,6000,1.33,1.27,1.0,1.2,0.031,550,600,UHV1E222MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3795,MP,55000.0,Normal,6.01
25,2200,0.071,0.065,0.014,16,20,-40,105,0.15,0.115,6000,1.33,1.27,1.0,1.2,0.036,550,600,UHV1E222MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3575,MP,55000.0,Normal,6.6
25,2700,0.058,0.053,0.011,12.5,35.5,-40,105,0.15,0.093,6000,1.33,1.27,1.0,1.2,0.029,675,500,UHV1E272MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3925,MP,67500.0,Normal,7.06
25,3300,0.057,0.052,0.012,16,25,-40,105,0.17,0.092,6000,1.33,1.27,1.0,1.2,0.033,825,400,UHV1E332MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3990,MP,82500.0,Normal,8.2
35,47,3.104,3.104,0.23,5,11,-40,105,0.11,3.104,5000,,,,,0.76,16,6000,UHV1V470MDD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,360,EOL,1645.0,Normal,0.44
35,68,2.145,2.145,0.1,6.3,11,-40,105,0.11,2.145,5000,,,,,0.33,24,4000,UHV1V680MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,450,EOL,2380.0,Normal,0.59
35,100,1.459,1.459,0.1,6.3,11,-40,105,0.11,1.459,5000,,,,,0.33,35,4000,UHV1V101MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,550,EOL,3500.0,Normal,0.59
35,150,0.192,0.156,0.059,8,11.5,-40,105,0.11,0.973,6000,2.5,2.25,1.0,1.88,0.181,53,3000,UHV1V151MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,820,MP,5250.0,Normal,1.19
35,220,0.188,0.166,0.059,8,11.5,-40,105,0.11,0.663,6000,2.0,1.88,1.0,1.7,0.181,77,3000,UHV1V221MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,990,MP,7700.0,Normal,1.19
35,270,0.153,0.135,0.046,8,15,-40,105,0.11,0.54,6000,2.0,1.88,1.0,1.7,0.143,95,2000,UHV1V271MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1330,MP,9450.0,Normal,1.36
35,330,0.125,0.111,0.043,10,12.5,-40,105,0.11,0.442,6000,2.0,1.88,1.0,1.7,0.133,116,2000,UHV1V331MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1360,MP,11550.0,Normal,1.49
35,390,0.106,0.094,0.031,8,20,-40,105,0.11,0.374,6000,2.0,1.88,1.0,1.7,0.105,137,2000,UHV1V391MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1550,MP,13650.0,Normal,1.66
35,470,0.088,0.078,0.03,10,16,-40,105,0.11,0.31,6000,2.0,1.88,1.0,1.7,0.095,165,1800,UHV1V471MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1815,MP,16450.0,Normal,1.77
35,560,0.074,0.065,0.019,10,20,-40,105,0.11,0.261,6000,2.0,1.88,1.0,1.7,0.057,196,1400,UHV1V561MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2160,MP,19600.0,Normal,2.34
35,680,0.086,0.077,0.017,10,25,-40,105,0.11,0.215,6000,1.67,1.58,1.0,1.45,0.051,238,1200,UHV1V681MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2475,MP,23800.0,Normal,3.07
35,820,0.071,0.064,0.016,12.5,20,-40,105,0.11,0.178,6000,1.67,1.58,1.0,1.45,0.041,287,1000,UHV1V821MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2725,MP,28700.0,Normal,3.43
35,1000,0.069,0.062,0.016,12.5,20,-40,105,0.11,0.172,6000,1.67,1.58,1.0,1.45,0.041,350,1000,UHV1V102MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2920,MP,35000.0,Normal,3.43
35,1200,0.058,0.052,0.014,12.5,25,-40,105,0.11,0.144,6000,1.67,1.58,1.0,1.45,0.041,420,800,UHV1V122MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3190,MP,42000.0,Normal,4.56
35,1500,0.046,0.041,0.012,12.5,30.5,-40,105,0.11,0.115,6000,1.67,1.58,1.0,1.45,0.031,525,600,UHV1V152MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3795,MP,52500.0,Normal,6.01
35,1500,0.046,0.041,0.014,16,20,-40,105,0.11,0.115,6000,1.67,1.58,1.0,1.45,0.036,525,600,UHV1V152MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3575,MP,52500.0,Normal,6.6
35,1800,0.038,0.034,0.011,12.5,35.5,-40,105,0.11,0.096,6000,1.67,1.58,1.0,1.45,0.029,630,500,UHV1V182MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3925,MP,63000.0,Normal,7.06
35,2200,0.064,0.058,0.012,16,25,-40,105,0.13,0.102,6000,1.33,1.27,1.0,1.2,0.033,770,400,UHV1V222MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3990,MP,77000.0,Normal,8.2
