Voltage,Capacitance,ESR 20°C@120Hz,Case Size Diameter,Case Size Length,Dissipation Factor,Ripple Current @100kHz,Ripple Current @120Hz
420,47,7.055,14.5,25,0.25,1.125,0.45
420,47,7.055,16,25,0.25,1.1,0.44
420,56,5.921,12.5,35,0.25,1.275,0.51
420,56,5.921,12.5,40,0.25,1.425,0.57
420,56,5.921,14.5,30,0.25,1.4,0.56
420,56,5.921,16,25,0.25,1.275,0.51
420,56,5.921,18,20,0.25,1.2,0.48
420,68,4.876,12.5,45,0.25,1.5,0.6
420,68,4.876,12.5,50,0.25,1.675,0.67
420,68,4.876,14.5,35,0.25,1.6,0.64
420,68,4.876,16,30,0.25,1.4,0.56
420,68,4.876,18,25,0.25,1.538,0.615
420,82,4.044,12.5,50,0.25,1.725,0.69
420,82,4.044,14.5,40,0.25,1.7,0.68
420,82,4.044,14.5,45,0.25,1.875,0.75
420,82,4.044,16,30,0.25,1.6,0.64
420,82,4.044,16,35,0.25,1.725,0.69
420,82,4.044,18,25,0.25,1.6,0.64
420,82,4.044,18,30,0.25,1.825,0.73
420,100,3.316,14.5,45,0.25,1.778,0.79
420,100,3.316,14.5,50,0.25,1.901,0.845
420,100,3.316,16,35,0.25,1.643,0.73
420,100,3.316,16,40,0.25,1.8,0.8
420,100,3.316,18,30,0.25,1.755,0.78
420,100,3.316,18,35,0.25,1.879,0.835
420,120,2.763,16,40,0.25,1.89,0.84
420,120,2.763,16,45,0.25,2.07,0.92
420,120,2.763,18,35,0.25,1.913,0.85
420,120,2.763,18,40,0.25,2.093,0.93
420,150,2.21,16,50,0.25,2.115,0.94
420,150,2.21,18,40,0.25,2.25,1.0
420,150,2.21,18,45,0.25,2.385,1.06
420,180,1.842,18,45,0.25,2.475,1.1
450,10,33.157,10,16,0.25,0.325,0.13
450,15,22.105,10,20,0.25,0.475,0.19
450,15,22.105,16,16,0.25,0.525,0.21
450,18,18.421,10,25,0.25,0.575,0.23
450,22,15.072,10,30,0.25,0.675,0.27
450,22,15.072,12.5,20,0.25,0.7,0.28
450,22,15.072,18,16,0.25,0.85,0.34
450,27,12.28,10,35,0.25,0.8,0.32
450,27,12.28,12.5,25,0.25,0.85,0.34
450,27,12.28,14.5,20,0.25,0.838,0.335
450,33,10.048,10,40,0.25,0.9,0.36
450,33,10.048,12.5,25,0.25,0.9,0.36
450,33,10.048,12.5,30,0.25,1.0,0.4
450,33,10.048,14.5,25,0.25,1.0,0.4
450,39,8.502,10,45,0.25,1.025,0.41
450,39,8.502,12.5,30,0.25,1.075,0.43
450,39,8.502,12.5,35,0.25,1.15,0.46
450,39,8.502,14.5,25,0.25,1.075,0.43
450,39,8.502,16,20,0.25,1.0,0.4
