Rated voltage (V),Capacitance (±20 %) (μF),Case size (mm) øD,Case size (mm) L,Ripple current 105C@100kHz (mA rms),Impedance (Ω) 20C@100kHz,Endurance (h),Lead dia. (ød),Lead space Straight,Lead space Taping ✽B,Lead space Taping ✽H,Part No.,Straight leads,Taping
50.0,270.0,10.0,12.5,1290,0.043,6000,0.6,5.0,5.0,—,EEUFR1V271( ),200,500
50.0,330.0,10.0,12.5,1330,0.043,5000,0.6,5.0,5.0,—,EEUFR1V331U( ),200,500
50.0,390.0,8.0,20.0,1560,0.03,9000,0.6,3.5,5.0,—,EEUFR1V391L( ),200,1000
50.0,470.0,8.0,20.0,1560,0.03,9000,0.6,3.5,5.0,—,EEUFR1V471L( ),200,1000
50.0,470.0,10.0,16.0,1790,0.028,8000,0.6,5.0,5.0,—,EEUFR1V471( ),200,500
50.0,560.0,10.0,20.0,2180,0.02,10000,0.6,5.0,5.0,—,EEUFR1V561( ),200,500
50.0,680.0,10.0,20.0,2180,0.02,10000,0.6,5.0,5.0,—,EEUFR1V681( ),200,500
50.0,680.0,10.0,25.0,2470,0.018,10000,0.6,5.0,5.0,—,EEUFR1V681L( ),200,500
50.0,820.0,10.0,25.0,2470,0.018,10000,0.6,5.0,5.0,—,EEUFR1V821L( ),200,500
50.0,1000.0,12.5,20.0,2600,0.018,10000,0.6,5.0,5.0,—,EEUFR1V102( ),200,500
50.0,1200.0,12.5,25.0,3190,0.015,10000,0.6,5.0,5.0,—,EEUFR1V122( ),200,500
50.0,1500.0,12.5,30.0,3630,0.013,10000,0.8,5.0,—,—,EEUFR1V152L,100,—
50.0,1800.0,12.5,35.0,3750,0.012,10000,0.8,5.0,—,—,EEUFR1V182L,100,—
50.0,1800.0,16.0,20.0,3300,0.017,10000,0.8,7.5,7.5,—,EEUFR1V182S( ),100,250
50.0,2200.0,12.5,35.0,3750,0.012,10000,0.8,5.0,—,—,EEUFR1V222L,100,—
50.0,2200.0,16.0,25.0,3820,0.014,10000,0.8,7.5,7.5,—,EEUFR1V222( ),100,250
50.0,4.7,5.0,11.0,185,0.62,5000,0.5,2.0,5.0,2.5,EEUFR1H4R7( ),200,2000
50.0,10.0,5.0,11.0,250,0.34,5000,0.5,2.0,5.0,2.5,EEUFR1H100( ),200,2000
50.0,22.0,5.0,11.0,250,0.34,5000,0.5,2.0,5.0,2.5,EEUFR1H220( ),200,2000
50.0,47.0,6.3,11.2,405,0.14,5000,0.5,2.5,5.0,—,EEUFR1H470( ),200,2000
50.0,56.0,6.3,11.2,405,0.14,5000,0.5,2.5,5.0,2.5,EEUFR1H560( ),200,2000
50.0,100.0,8.0,11.5,870,0.061,6000,0.6,3.5,5.0,—,EEUFR1H101( ),200,1000
50.0,120.0,8.0,15.0,1140,0.045,8000,0.6,3.5,5.0,—,EEUFR1H121L( ),200,1000
50.0,150.0,10.0,12.5,1170,0.042,6000,0.6,5.0,5.0,—,EEUFR1H151( ),200,500
50.0,180.0,8.0,20.0,1430,0.033,9000,0.6,3.5,5.0,—,EEUFR1H181L( ),200,1000
50.0,220.0,10.0,16.0,1650,0.03,8000,0.6,5.0,5.0,—,EEUFR1H221( ),200,500
50.0,270.0,10.0,20.0,1890,0.023,10000,0.6,5.0,5.0,—,EEUFR1H271( ),200,500
50.0,330.0,10.0,25.0,2150,0.022,10000,0.6,5.0,5.0,—,EEUFR1H331L( ),200,500
50.0,470.0,12.5,20.0,2260,0.022,10000,0.6,5.0,5.0,—,EEUFR1H471( ),200,500
50.0,560.0,12.5,25.0,2660,0.018,10000,0.6,5.0,5.0,—,EEUFR1H561( ),200,500
50.0,680.0,12.5,30.0,3160,0.016,10000,0.8,5.0,—,—,EEUFR1H681L,100,—
50.0,820.0,12.5,35.0,3270,0.014,10000,0.8,5.0,—,—,EEUFR1H821L,100,—
50.0,820.0,16.0,20.0,2870,0.019,10000,0.8,7.5,7.5,—,EEUFR1H821S( ),100,250
50.0,1000.0,16.0,25.0,3320,0.016,10000,0.8,7.5,7.5,—,EEUFR1H102( ),100,250
63.0,18.0,5.0,11.0,175,0.51,5000,0.5,2.0,5.0,2.5,EEUFR1J180( ),200,2000
63.0,47.0,6.3,11.2,284,0.21,5000,0.5,2.5,5.0,2.5,EEUFR1J470( ),200,2000
63.0,82.0,8.0,11.5,566,0.092,6000,0.6,3.5,5.0,—,EEUFR1J820( ),200,1000
