Rated voltage (V),Rated capacitance (µF),Case φDxL (mm),Size code,Impedance (Ωmax.) 20℃,Impedance (Ωmax.) -10℃,Rated ripple current (mArms)
63.0,560.0,12.5 × 35,G35,0.024,0.07,2500.0
63.0,680.0,12.5 × 40,G40,0.021,0.063,2800.0
63.0,680.0,16 × 25,J25,0.025,0.075,2600.0
63.0,680.0,18 × 20,K20,0.03,0.09,2500.0
63.0,820.0,16 × 31.5,J31,0.021,0.063,2850.0
63.0,820.0,18 × 25,K25,0.024,0.072,2800.0
63.0,1000.0,16 × 35.5,J35,0.019,0.057,2900.0
63.0,1200.0,16 × 40,J40,0.018,0.054,3400.0
63.0,1200.0,18 × 31.5,K31,0.02,0.06,3300.0
63.0,1500.0,18 × 35.5,K35,0.018,0.054,3400.0
63.0,1800.0,18 × 40,K40,0.017,0.051,3500.0
80.0,6.8,,,,,
80.0,15.0,,,,,
80.0,27.0,,,,,
80.0,33.0,,,,,
80.0,39.0,,,,,
80.0,47.0,,,,,
80.0,56.0,,,,,
80.0,68.0,10 × 12.5,F12,0.17,0.66,480.0
80.0,82.0,,,,,
80.0,100.0,10 × 16,F16,0.11,0.47,600.0
80.0,120.0,10 × 20,F20,0.084,0.34,800.0
80.0,150.0,10 × 25,F25,0.069,0.28,900.0
80.0,180.0,,,,,
80.0,220.0,12.5 × 20,G20,0.062,0.18,1100.0
80.0,270.0,,,,,
80.0,330.0,12.5 × 25,G25,0.047,0.14,1250.0
80.0,330.0,16 × 20,J20,0.048,0.15,1350.0
80.0,390.0,12.5 × 30,G30,0.042,0.13,1500.0
80.0,470.0,12.5 × 35,G35,0.036,0.11,1650.0
80.0,470.0,16 × 25,J25,0.038,0.12,1700.0
80.0,470.0,18 × 20,K20,0.045,0.14,1500.0
80.0,560.0,,,,,
80.0,680.0,16 × 31.5,J31,0.032,0.095,1850.0
80.0,820.0,16 × 35.5,J35,0.029,0.086,2000.0
80.0,820.0,18 × 31.5,K31,0.03,0.09,1900.0
80.0,1000.0,,,,,
80.0,1200.0,18 × 40,K40,0.026,0.077,2700.0
80.0,1500.0,,,,,
80.0,1800.0,,,,,
100.0,6.8,5 × 11.5,C11,1.4,5.6,125.0
100.0,15.0,6.3 × 11.5,D11,0.57,2.3,205.0
100.0,27.0,8 × 12,E12,0.36,1.4,335.0
100.0,33.0,,,,,
100.0,39.0,8 × 15,E15,0.25,1.0,450.0
100.0,47.0,10 × 12.5,F12,0.17,0.66,480.0
100.0,56.0,8 × 20,E20,0.19,0.76,565.0
