Part Number,Status,Rated Voltage Range (V.D.C),Rated Capacitance Range (μF),Product diameter : D(mm),Product height : L(mm),Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Endurance (h),Weight (g),Tangent of loss angle (tanδ),Leakage Current  (µA),Ripple Rating (105℃/100kHz),Rated Ripple2(mArms),ESR(Ω)（20℃/100kHz）,ESR(Ω) (-40℃/100kHz）,ESR(Ω) after endurance test,"ESL(Typ.)（nH,40MHz）",Impedance (Ω)(-10℃/100kHz),Impedance (Ω)(20℃/100kHz),Minimum Quantity,Product category,Product summary,Polarity type,Vibration resistant
UHV1E102MPD,MP,25.0,1000.00,10.0,25.0,-40,105,6000,3.07,0.13,250,2475,,,,,,0.051,0.017,1200,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHV1E122MHD,MP,25.0,1200.00,12.5,20.0,-40,105,6000,3.43,0.13,300,2475,,,,,,0.041,0.016,1000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHV1E152MHD,MP,25.0,1500.00,12.5,20.0,-40,105,6000,3.43,0.13,375,2725,,,,,,0.041,0.016,1000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHV1E182MHD,MP,25.0,1800.00,12.5,25.0,-40,105,6000,4.56,0.13,450,3190,,,,,,0.036,0.014,800,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHV1E222MHD,MP,25.0,2200.00,12.5,30.5,-40,105,6000,6.01,0.15,550,3795,,,,,,0.031,0.012,600,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHV1E222MHD6,MP,25.0,2200.00,16.0,20.0,-40,105,6000,6.60,0.15,550,3575,,,,,,0.036,0.014,600,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHV1E272MHD,MP,25.0,2700.00,12.5,35.5,-40,105,6000,7.06,0.15,675,3925,,,,,,0.029,0.011,500,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHV1E332MHD,MP,25.0,3300.00,16.0,25.0,-40,105,6000,8.20,0.17,825,3990,,,,,,0.033,0.012,400,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHV1V470MDD,EOL,35.0,47.00,5.0,11.0,-40,105,5000,0.44,0.11,16,360,,,,,,0.76,0.23,6000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHV1V680MED,EOL,35.0,68.00,6.3,11.0,-40,105,5000,0.59,0.11,24,450,,,,,,0.33,0.1,4000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHV1V101MED,EOL,35.0,100.00,6.3,11.0,-40,105,5000,0.59,0.11,35,550,,,,,,0.33,0.1,4000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHV1V151MPD,MP,35.0,150.00,8.0,11.5,-40,105,6000,1.19,0.11,53,820,,,,,,0.181,0.059,3000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHV1V221MPD,MP,35.0,220.00,8.0,11.5,-40,105,6000,1.19,0.11,77,990,,,,,,0.181,0.059,3000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHV1V271MPD,MP,35.0,270.00,8.0,15.0,-40,105,6000,1.36,0.11,95,1330,,,,,,0.143,0.046,2000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHV1V331MPD,MP,35.0,330.00,10.0,12.5,-40,105,6000,1.49,0.11,116,1360,,,,,,0.133,0.043,2000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHV1V391MPD,MP,35.0,390.00,8.0,20.0,-40,105,6000,1.66,0.11,137,1550,,,,,,0.105,0.031,2000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHV1V471MPD,MP,35.0,470.00,10.0,16.0,-40,105,6000,1.77,0.11,165,1815,,,,,,0.095,0.03,1800,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHV1V561MPD,MP,35.0,560.00,10.0,20.0,-40,105,6000,2.34,0.11,196,2160,,,,,,0.057,0.019,1400,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHV1V681MPD,MP,35.0,680.00,10.0,25.0,-40,105,6000,3.07,0.11,238,2475,,,,,,0.051,0.017,1200,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHV1V821MHD,MP,35.0,820.00,12.5,20.0,-40,105,6000,3.43,0.11,287,2725,,,,,,0.041,0.016,1000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHV1V102MHD,MP,35.0,1000.00,12.5,20.0,-40,105,6000,3.43,0.11,350,2920,,,,,,0.041,0.016,1000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHV1V122MHD,MP,35.0,1200.00,12.5,25.0,-40,105,6000,4.56,0.11,420,3190,,,,,,0.041,0.014,800,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHV1V152MHD,MP,35.0,1500.00,12.5,30.5,-40,105,6000,6.01,0.11,525,3795,,,,,,0.031,0.012,600,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHV1V152MHD6,MP,35.0,1500.00,16.0,20.0,-40,105,6000,6.60,0.11,525,3575,,,,,,0.036,0.014,600,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHV1V182MHD,MP,35.0,1800.00,12.5,35.5,-40,105,6000,7.06,0.11,630,3925,,,,,,0.029,0.011,500,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHV1V222MHD,MP,35.0,2200.00,16.0,25.0,-40,105,6000,8.20,0.13,770,3990,,,,,,0.033,0.012,400,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
