Part Number,Status,Rated Voltage Range (V.D.C),Rated Capacitance Range (μF),Product diameter : D(mm),Product height : L(mm),Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Endurance (h),Weight (g),Tangent of loss angle (tanδ),Leakage Current  (µA),Rated Ripple1(mArms),Rated Ripple2(mArms),ESR(mΩ)（20℃/100kHz）,ESR(mΩ) (-40℃/100kHz）,ESR(mΩ) after endurance test,"ESL(Typ.)（nH,40MHz）",Impedance (mΩ)(-10℃/100kHz),Impedance (mΩ)(20℃/100kHz),Minimum Quantity,Product category,Product summary,Polarity type,Vibration resistant
UVY1H471MPD,MP,50.0,470.00,10.0,20.0,-55,105,2000,2.34,0.12,705,540,,,,,,,,1400,Radial Lead,Minitualized Wide Temp. Range,Uni-Polar,Normal
UVY1H102MHD,MP,50.0,1000.00,12.5,25.0,-55,105,2000,4.56,0.12,1500,950,,,,,,,,800,Radial Lead,Minitualized Wide Temp. Range,Uni-Polar,Normal
UVY1H222MHD,MP,50.0,2200.00,16.0,30.5,-55,105,2000,9.60,0.14,3300,1410,,,,,,,,300,Radial Lead,Minitualized Wide Temp. Range,Uni-Polar,Normal
UVY1H332MHD,MP,50.0,3300.00,18.0,35.5,-55,105,2000,14.20,0.16,4950,1770,,,,,,,,250,Radial Lead,Minitualized Wide Temp. Range,Uni-Polar,Normal
UVY1H472MRD,EOL,50.0,4700.00,20.0,40.0,-55,105,2000,19.60,0.18,7050,2100,,,,,,,,150,Radial Lead,Minitualized Wide Temp. Range,Uni-Polar,Normal
UVY1H682MRD,EOL,50.0,6800.00,22.0,50.0,-55,105,2000,27.40,0.22,10200,2500,,,,,,,,250,Radial Lead,Minitualized Wide Temp. Range,Uni-Polar,Normal
UVY1H103MRD,EOL,50.0,10000.00,25.0,50.0,-55,105,2000,38.80,0.30,15000,2850,,,,,,,,140,Radial Lead,Minitualized Wide Temp. Range,Uni-Polar,Normal
UVY1J220MDD,EOL,63.0,22.00,5.0,11.0,-55,105,1000,0.44,0.10,42,71,,,,,,,,6000,Radial Lead,Minitualized Wide Temp. Range,Uni-Polar,Normal
UVY1J330MED,EOL,63.0,33.00,6.3,11.0,-55,105,1000,0.59,0.10,62,100,,,,,,,,4000,Radial Lead,Minitualized Wide Temp. Range,Uni-Polar,Normal
UVY1J470MED,EOL,63.0,47.00,6.3,11.0,-55,105,1000,0.59,0.10,89,120,,,,,,,,4000,Radial Lead,Minitualized Wide Temp. Range,Uni-Polar,Normal
UVY1J680MPD,MP,63.0,68.00,8.0,11.5,-55,105,1000,1.19,0.10,129,155,,,,,,,,3000,Radial Lead,Minitualized Wide Temp. Range,Uni-Polar,Normal
UVY1J101MPD,MP,63.0,100.00,8.0,11.5,-55,105,1000,1.19,0.10,189,200,,,,,,,,3000,Radial Lead,Minitualized Wide Temp. Range,Uni-Polar,Normal
UVY1J221MPD,MP,63.0,220.00,10.0,16.0,-55,105,2000,1.77,0.10,416,335,,,,,,,,1800,Radial Lead,Minitualized Wide Temp. Range,Uni-Polar,Normal
