Part Number,Status,Rated Voltage Range (V.D.C),Rated Capacitance Range (μF),Product diameter : D(mm),Product height : L(mm),Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Endurance (h),Weight (g),Tangent of loss angle (tanδ),Leakage Current  (µA),Rated Ripple1(mArms),Rated Ripple2(mArms),ESR(mΩ)（20℃/100kHz）,ESR(mΩ) (-40℃/100kHz）,ESR(mΩ) after endurance test,"ESL(Typ.)（nH,40MHz）",Impedance (mΩ)(-10℃/100kHz),Impedance (mΩ)(20℃/100kHz),Minimum Quantity,Product category,Product summary,Polarity type,Vibration resistant
UHE1C222MHD6,MP,16.0,2200.00,18.0,15.0,-40,105,10000,6.31,0.18,352,2210,,,,,,110,43,400,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UHE1C272MHD,MP,16.0,2700.00,12.5,30.5,-40,105,10000,6.01,0.18,432,2650,,,,,,78,24,600,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UHE1C272MHD6,MP,16.0,2700.00,16.0,20.0,-40,105,10000,6.60,0.18,432,2530,,,,,,78,27,600,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UHE1C332MHD,MP,16.0,3300.00,12.5,35.5,-40,105,10000,7.06,0.20,528,2880,,,,,,65,20,500,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UHE1C392MHD,MP,16.0,3900.00,12.5,40.0,-40,105,10000,7.57,0.20,624,3350,,,,,,56,17,400,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UHE1C392MHD3,MP,16.0,3900.00,16.0,20.0,-40,105,10000,6.60,0.20,624,2860,,,,,,67,26,600,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UHE1C392MHD6,MP,16.0,3900.00,16.0,25.0,-40,105,10000,8.20,0.20,624,2930,,,,,,60,21,400,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UHE1C472MHD,MP,16.0,4700.00,16.0,30.5,-40,105,10000,9.60,0.22,752,3450,,,,,,50,17,300,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UHE1C472MHD6,MP,16.0,4700.00,18.0,25.0,-40,105,10000,10.60,0.22,752,3140,,,,,,49,19,300,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UHE1C562MHD,MP,16.0,5600.00,16.0,35.5,-40,105,10000,11.80,0.24,896,3610,,,,,,44,15,300,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UHE1C562MHD6,MP,16.0,5600.00,18.0,30.5,-40,105,10000,13.10,0.24,896,4170,,,,,,40,15,300,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UHE1C682MHD,MP,16.0,6800.00,16.0,40.0,-40,105,10000,14.10,0.26,1088,4080,,,,,,38,13,300,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UHE1C822MHD,MP,16.0,8200.00,18.0,35.5,-40,105,10000,14.20,0.30,1312,4220,,,,,,38,14,250,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UHE1C103MHD,MP,16.0,10000.00,18.0,40.0,-40,105,10000,17.70,0.34,1600,4280,,,,,,32,12,200,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
