Part Number,Status,Rated Voltage Range (V.D.C),Rated Capacitance Range (μF),Product diameter : D(mm),Product height : L(mm),Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Endurance (h),Weight (g),Tangent of loss angle (tanδ),Leakage Current  (µA),Ripple Rating (105℃/100kHz),Ripple Rating (105℃/120Hz),ESR(Ω)（20℃/100kHz）,ESR(Ω) (-40℃/100kHz）,ESR(Ω) after endurance test,"ESL(Typ.)（nH,40MHz）",Impedance (Ω)(-10℃/100kHz),Impedance (Ω)(20℃/100kHz),Minimum Quantity,Product category,Product summary,Polarity type,Vibration resistant
UPJ1A272MHD,MP,10.0,2700.00,12.5,30.5,-55,105,5000,6.01,0.21,810,1940,1740.0,,,,,0.09,0.036,600,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1A272MHD6,MP,10.0,2700.00,16.0,20.0,-55,105,5000,6.60,0.21,810,1740,1560.0,,,,,0.13,0.051,600,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1A332MHD,MP,10.0,3300.00,12.5,35.5,-55,105,5000,7.06,0.23,990,2180,1960.0,,,,,0.08,0.032,500,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1A332MHD6,MP,10.0,3300.00,16.0,20.0,-55,105,5000,6.60,0.23,990,1850,1660.0,,,,,0.11,0.045,600,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1A392MHD,MP,10.0,3900.00,12.5,40.0,-55,105,5000,7.57,0.23,1170,2360,2120.0,,,,,0.075,0.03,400,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1A392MHD6,MP,10.0,3900.00,18.0,20.0,-55,105,5000,9.00,0.23,1170,2050,1840.0,,,,,0.1,0.041,400,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1A472MHD,MP,10.0,4700.00,16.0,30.5,-55,105,5000,9.60,0.25,1410,2420,2170.0,,,,,0.07,0.028,300,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1A472MHD6,MP,10.0,4700.00,18.0,25.0,-55,105,5000,10.60,0.25,1410,2250,2020.0,,,,,0.088,0.035,300,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1A562MHD,MP,10.0,5600.00,16.0,35.5,-55,105,5000,11.80,0.27,1680,2610,2340.0,,,,,0.065,0.026,300,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPJ1A562MHD6,MP,10.0,5600.00,18.0,25.0,-55,105,5000,10.60,0.27,1680,2340,2100.0,,,,,0.083,0.033,300,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
